CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
mu;;COUNTRY;Mauritius;;
mu17;mu;REGION;Plaines Wilhems;;
mu934570;mu17;CITY;Curepipe;;
mu933945;mu17;CITY;Vacoas;;
mu934131;mu17;CITY;Quatre Bornes;;
mu1106748;mu17;CITY;Ebene CyberCity;;
mu934282;mu17;CITY;Midlands;;
mu934001;mu17;CITY;Solférino;;
mu933925;mu17;CITY;Ville d’Apray;;
mu934077;mu17;CITY;Roches Brunes;;
mu934181;mu17;CITY;Phoenix;;
mu934538;mu17;CITY;Seizième Mille;;
mu1106727;mu17;CITY;Forest Side;;
mu1106728;mu17;CITY;Engrais Cathan;;
mu1106729;mu17;CITY;Engrais Martial;;
mu1106731;mu17;CITY;Mesnil;;
mu1106732;mu17;CITY;Saint Antoine;;
mu1106733;mu17;CITY;Belle Terre;;
mu1106734;mu17;CITY;Cinq Arpents;;
mu1106736;mu17;CITY;Petit Camp;;
mu1106737;mu17;CITY;Camp Caval;;
mu1106738;mu17;CITY;Camp Mapou;;
mu1106739;mu17;CITY;Camp La Savanne;;
mu1106740;mu17;CITY;Camp Roches;;
mu1106741;mu17;CITY;Glen Park;;
mu1106742;mu17;CITY;Holyrood;;
mu1106743;mu17;CITY;Les Casernes;;
mu1106744;mu17;CITY;Carreau La Liane;;
mu1106746;mu17;CITY;La Source;;
mu1106747;mu17;CITY;Stanley;;
mu1106749;mu17;CITY;Plaisance;;
mu1106750;mu17;CITY;Belle Étoile;;
mu1106792;mu17;CITY;Malherbes;;
mu1106793;mu17;CITY;Eaux Coulée;;
mu1106794;mu17;CITY;Bonne Terre;;
mu1106795;mu17;CITY;La Louise;;
mu1106796;mu17;CITY;Pellegrin;;
mu1106797;mu17;CITY;Beau Séjour;;
mu1106798;mu17;CITY;Barkly;;
mu1106800;mu17;CITY;Vuillemain;;
mu1106824;mu17;CITY;Saint Jean;;
mu1106827;mu17;CITY;Candos;;
mu1106828;mu17;CITY;River Side;;
mu1106829;mu17;CITY;Saint Paul;;
mu933961;mu17;CITY;Trianon;;
mu934110;mu17;CITY;Réunion;;
mu934388;mu17;CITY;La Marie;;
mu934401;mu17;CITY;La Croisée;;
mu934442;mu17;CITY;Henrietta;;
mu934515;mu17;CITY;Floréal;;
