CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
mx;;COUNTRY;Mexico;;
mx09;mx;REGION;Mexico City;;
mx3526683;mx09;CITY;Iztapalapa;;
mx3514674;mx09;CITY;Gustavo Adolfo Madero;;
mx3530139;mx09;CITY;Coyoacán;;
mx3514450;mx09;CITY;Xochimilco;;
mx3515428;mx09;CITY;Tlalpan;;
mx3530049;mx09;CITY;Delegación Cuajimalpa de Morelos;;
mx3827408;mx09;CITY;Miguel Hidalgo;;
mx3827409;mx09;CITY;Cuauhtémoc;;
mx3526700;mx09;CITY;Iztacalco;;
mx3532497;mx09;CITY;Azcapotzalco;;
mx3515463;mx09;CITY;Tláhuac;;
mx3523124;mx09;CITY;San Andrés Mixquic;;
mx3523760;mx09;CITY;Magdalena Contreras;;
mx3515259;mx09;CITY;San Miguel Topilejo;;
mx3827406;mx09;CITY;Benito Juarez;;
mx3522246;mx09;CITY;San Pablo Oztotepec;;
mx3523202;mx09;CITY;Milpa Alta;;
mx3518293;mx09;CITY;San Miguel Ajusco;;
mx3827380;mx09;CITY;San Pedro Atocpan;;
mx3519658;mx09;CITY;San Bartolome Xicomulco;;
mx3517649;mx09;CITY;Santa Catarina Yecahuizotl;;
mx3518650;mx09;CITY;San Juan Ixtayopan;;
mx3514925;mx09;CITY;Unidad del Seguro Social en Santa Fe;;
mx3529897;mx09;CITY;Culhuacán;;
mx3530675;mx09;CITY;Churubusco;;
mx3519346;mx09;CITY;San Francisco Tlalnepantla;;
mx3523761;mx09;CITY;Magdalena Petlacalco;;
mx3524474;mx09;CITY;Colonia La Venta;;
mx3515758;mx09;CITY;Tetelco;;
mx3517728;mx09;CITY;Santa Ana Tlacotenco;;
mx28;mx;REGION;Tamaulipas;;
mx3522551;mx28;CITY;Nuevo Laredo;;
mx3523466;mx28;CITY;Heroica Matamoros;;
mx3523149;mx28;CITY;Miramar;;
mx3522525;mx28;CITY;Nuevo Progreso;;
mx3523608;mx28;CITY;Ursulo Galván;;
mx3482884;mx28;CITY;Esteros;;
mx3525379;mx28;CITY;La Misión;;
mx8858202;mx28;CITY;El Campanario y Oradel;;
mx3482873;mx28;CITY;Maclovio Herrera;;
mx3482935;mx28;CITY;Graciano Sánchez;;
mx3483049;mx28;CITY;Veinte de Noviembre (El Refugio);;
mx3483328;mx28;CITY;El Control;;
mx3483454;mx28;CITY;Morelos;;
mx3520243;mx28;CITY;Río Rico;;
mx3522068;mx28;CITY;Nicolás Bravo;;
mx3522526;mx28;CITY;Nuevo Progreso;;
mx3515627;mx28;CITY;Tierra Nueva;;
mx3516339;mx28;CITY;Tancasneque;;
mx3517482;mx28;CITY;Guillermo Zúñiga;;
