CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
fm;;COUNTRY;Micronesia;;
fm02;fm;REGION;Pohnpei;;
fm2082038;fm02;CITY;Kolonia Town;;
fm4045305;fm02;CITY;Nukuoro Village;;
fm2081154;fm02;CITY;Oumoar;;
fm4042048;fm02;CITY;Sounting;;
fm4042174;fm02;CITY;Tomwara;;
fm2082342;fm02;CITY;Dienpo;;
fm7626849;fm02;CITY;Kapingamarangi Village;;
fm2081552;fm02;CITY;Pohnmangahng;;
fm2081653;fm02;CITY;Pwel Weita;;
fm2081756;fm02;CITY;Nin Soksok;;
fm2082316;fm02;CITY;Awak Powe;;
fm2082337;fm02;CITY;Alohkapw;;
fm2081652;fm02;CITY;Paliais;;
fm2081828;fm02;CITY;Pahlap;;
fm4041718;fm02;CITY;Pohnseiuh;;
fm4041817;fm02;CITY;Pwudoi;;
fm4041825;fm02;CITY;Seidihne;;
fm4041830;fm02;CITY;Rekihpas;;
fm4041835;fm02;CITY;Reou;;
fm4041849;fm02;CITY;Roie;;
fm4041868;fm02;CITY;Sakariso;;
fm4041873;fm02;CITY;Sakartik;;
fm4041885;fm02;CITY;Salong;;
fm4041889;fm02;CITY;Sehp;;
fm4041930;fm02;CITY;Sapworo;;
fm4041957;fm02;CITY;Sekeren Iap;;
fm4041967;fm02;CITY;Sekeren Lapahu;;
fm4041980;fm02;CITY;Pahn Kalang;;
fm4042015;fm02;CITY;Soledi;;
fm4042017;fm02;CITY;Tahio;;
fm4042030;fm02;CITY;Sopwlong;;
fm4042040;fm02;CITY;Sounamw;;
fm4042091;fm02;CITY;Tamwarohi;;
fm4042495;fm02;CITY;Niheke;;
fm4042621;fm02;CITY;Nipaip;;
fm4042638;fm02;CITY;Nin Loang;;
fm4042642;fm02;CITY;Nihwel;;
fm4042645;fm02;CITY;Nihmoak;;
fm4042647;fm02;CITY;Nihkaras;;
fm4042649;fm02;CITY;Nih Pwongin;;
fm4042650;fm02;CITY;Nihkawad;;
fm4042762;fm02;CITY;Nanwei;;
fm4042765;fm02;CITY;Nansolohi;;
fm4042767;fm02;CITY;Nanpwok;;
fm4042770;fm02;CITY;Nanpei;;
fm4042806;fm02;CITY;Mahnd;;
fm4042807;fm02;CITY;Nan Paremwed;;
fm4042824;fm02;CITY;Nan Dapang;;
fm4042847;fm02;CITY;Mwoakot;;
fm4042870;fm02;CITY;Muntakai;;
fm4042912;fm02;CITY;Meiuhpw;;
fm4042929;fm02;CITY;Maramosok;;
fm4042964;fm02;CITY;Lukopoas;;
fm4043010;fm02;CITY;Lehiak;;
fm4043039;fm02;CITY;Kitialap;;
fm4043043;fm02;CITY;Kitamw;;
fm4043062;fm02;CITY;Nihkewe;;
fm4043063;fm02;CITY;Kepin Keileng;;
fm4043066;fm02;CITY;Kepehs;;
fm4043076;fm02;CITY;Kamwele;;
fm4043087;fm02;CITY;Ipwek;;
fm4043088;fm02;CITY;Ipwal;;
fm4043291;fm02;CITY;Seinwar;;
fm4043371;fm02;CITY;Alamoar;;
fm4043376;fm02;CITY;Ahseia;;
fm4043380;fm02;CITY;Aderew;;
fm4043385;fm02;CITY;Nanitipw;;
fm4043787;fm02;CITY;Mwalok;;
fm4044174;fm02;CITY;Pohndimur;;
fm4044176;fm02;CITY;Pohndau;;
fm4044183;fm02;CITY;Pohn Sok;;
fm4044186;fm02;CITY;Pohn Pwehl;;
fm4044194;fm02;CITY;Pohn Koi;;
fm4044204;fm02;CITY;Poatoik;;
fm4044261;fm02;CITY;Peilong;;
fm4044264;fm02;CITY;Peiak;;
fm4044265;fm02;CITY;Peiai;;
fm4044273;fm02;CITY;Parau;;
fm4044276;fm02;CITY;Panaihs;;
fm4044290;fm02;CITY;Pahntorong;;
fm4044291;fm02;CITY;Pahntipwe;;
fm4044292;fm02;CITY;Diadi;;
fm4044300;fm02;CITY;Pahnasang;;
fm4044317;fm02;CITY;Pahlap;;
fm4044426;fm02;CITY;Pohnlangas;;
fm4044433;fm02;CITY;Nihsein;;
fm4044435;fm02;CITY;Nihkaikes;;
fm4044496;fm02;CITY;Nanpei;;
fm4044502;fm02;CITY;Nankepiniak;;
fm4044508;fm02;CITY;Nanehngk;;
fm4044516;fm02;CITY;Nan Pahlap;;
fm4044575;fm02;CITY;Marap;;
fm4044595;fm02;CITY;Luhke;;
fm4044601;fm02;CITY;Lipwour;;
fm4044602;fm02;CITY;Likkie;;
fm4044649;fm02;CITY;Kamweng;;
fm4044657;fm02;CITY;Iohl;;
fm4044665;fm02;CITY;Ikeme;;
fm4044756;fm02;CITY;Dienrar;;
fm4044762;fm02;CITY;Dekehn Iap;;
fm4044931;fm02;CITY;Irenkodi;;
fm4044938;fm02;CITY;Keimwin Kiti;;
fm4044946;fm02;CITY;Kepindau;;
fm4044947;fm02;CITY;Kepinwou;;
fm4044971;fm02;CITY;Lehle Mwahu;;
fm4045023;fm02;CITY;Metipw En Uh;;
fm4045024;fm02;CITY;Mesenpal;;
fm4045027;fm02;CITY;Nipaip;;
fm4045050;fm02;CITY;Mwetihleng;;
fm4045075;fm02;CITY;Nanseinpwel;;
fm4045077;fm02;CITY;Nankapairong;;
fm4045078;fm02;CITY;Naneir;;
fm4045086;fm02;CITY;Nanpahlap;;
fm4045149;fm02;CITY;Nihmesehl;;
fm4045202;fm02;CITY;Pohn Uhs;;
fm4045206;fm02;CITY;Pohn Mwasowel;;
fm4045210;fm02;CITY;Pohn Iak;;
fm4045261;fm02;CITY;Pahnaul;;
fm4045270;fm02;CITY;Pahina;;
fm4045330;fm02;CITY;Pahn Tehlap;;
fm4045341;fm02;CITY;Pahn Kipar;;
fm4045344;fm02;CITY;Sakarakapw;;
fm4045352;fm02;CITY;Paison;;
fm4045364;fm02;CITY;Peilik;;
fm4045393;fm02;CITY;Pohniak;;
fm7649131;fm02;CITY;Diendoar;;
fm7627185;fm02;CITY;Pingelap Village;;
fm7627313;fm02;CITY;Mokil Village;;
fm7627387;fm02;CITY;Kapingamarangi Settlement not permanent;;
fm7627467;fm02;CITY;Pakin Village;;
fm2081486;fm02;CITY;Saladak;;
fm2081844;fm02;CITY;Kepin Lahpar;;
fm2082070;fm02;CITY;Ipat;;
fm2082281;fm02;CITY;Danipei;;
fm03;fm;REGION;Chuuk;;
fm7645370;fm03;CITY;Lukunor Village;;
fm7645385;fm03;CITY;Satowan Village;;
fm7628249;fm03;CITY;Pulap Village;;
