CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
md;;COUNTRY;Moldova;;
md58;md;REGION;Transnistria;;
md617486;md58;CITY;Rîbniţa;;
md618365;md58;CITY;Dubăsari;;
md617381;md58;CITY;Slobozia;;
md618234;md58;CITY;Hryhoriopol;;
md618387;md58;CITY;Dnestrovsc;;
md618453;md58;CITY;Camenca;;
md617053;md58;CITY;Tiraspolul Nou;;
md617602;md58;CITY;Pervomaisc;;
md617830;md58;CITY;Maiac;;
md617973;md58;CITY;Crasnoe;;
md618090;md58;CITY;Hrustoveni;;
md618265;md58;CITY;Hlinaia;;
md618378;md58;CITY;Doibani Unul;;
md617040;md58;CITY;Jura;;
md617050;md58;CITY;Zaporojeţ;;
md617064;md58;CITY;Hârjău;;
md617091;md58;CITY;Ofatinţi;;
md617103;md58;CITY;Vărăncău;;
md617114;md58;CITY;Vladimirovca;;
md617120;md58;CITY;Vinogradnoe;;
md617125;md58;CITY;Vesioloe;;
md617146;md58;CITY;Prioziornoe;;
md617160;md58;CITY;Valea Adâncă;;
md617162;md58;CITY;Vadul Turcului;;
md617200;md58;CITY;Ţâbuleuca;;
md617247;md58;CITY;Târnauca;;
md617260;md58;CITY;Taşlâc;;
md617291;md58;CITY;Sucleia;;
md617300;md58;CITY;Stroieşti;;
md617358;md58;CITY;Andriasevca Veche;;
md617389;md58;CITY;Slobozia-Raşcov;;
md617417;md58;CITY;Smalena;;
md617438;md58;CITY;Severinovca;;
md617526;md58;CITY;Raşcov;;
md617570;md58;CITY;Popencu;;
md617579;md58;CITY;Podoimiţa;;
md617582;md58;CITY;Plopi;;
md617591;md58;CITY;Pâcalova;;
md617628;md58;CITY;Parcani;;
md617660;md58;CITY;Ocniţa;;
md617666;md58;CITY;Goianul Nou;;
md617731;md58;CITY;Coşniţa Nouă;;
md617741;md58;CITY;Andriaşevca Nouă;;
md617763;md58;CITY;Nezavertailovca;;
md617772;md58;CITY;Năpadova;;
md617792;md58;CITY;Mocreachi;;
md617793;md58;CITY;Mocra;;
md617863;md58;CITY;Mălăieşti;;
md617879;md58;CITY;Lunga;;
md617969;md58;CITY;Crasnâi Vinogradari;;
md617970;md58;CITY;Crasnăi Octeabri;;
md617977;md58;CITY;Crasnencoe;;
md617979;md58;CITY;Crasnaia Besarabia;;
md618014;md58;CITY;Corjova;;
md618016;md58;CITY;Corotna;;
md618029;md58;CITY;Copanca;;
md618044;md58;CITY;Colosova;;
md618049;md58;CITY;Colbasna;;
md618074;md58;CITY;Chirov;;
md618123;md58;CITY;Caterinovca;;
md618130;md58;CITY;Carmanova;;
md618135;md58;CITY;Caragaş;;
md618197;md58;CITY;Hlinaia;;
md618202;md58;CITY;Hârtop;;
md618243;md58;CITY;Goian;;
md618301;md58;CITY;Harmaţca;;
md618303;md58;CITY;Haraba;;
md618321;md58;CITY;Frunză;;
md618353;md58;CITY;Dzerjinscoe;;
md618377;md58;CITY;Doibani Doi;;
md618462;md58;CITY;Bâcioc;;
md618467;md58;CITY;Butuceni;;
md618469;md58;CITY;Butor;;
md618508;md58;CITY;Broşteni;;
md618534;md58;CITY;Molochişul Mare;;
md618556;md58;CITY;Blijnii Hutor;;
md618581;md58;CITY;Beloci;;
md618639;md58;CITY;Andreevca;;
md824097;md58;CITY;Rotari;;
md824140;md58;CITY;Cremenciug;;
