CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
me;;COUNTRY;Montenegro;;
me10;me;REGION;Kotor;;
me3191631;me10;CITY;Risan;;
me3192576;me10;CITY;Prčanj;;
me3193504;me10;CITY;Perast;;
me3318253;me10;CITY;Škaljari;;
me3317197;me10;CITY;Malov Do;;
me3220351;me10;CITY;Mirac;;
me3208055;me10;CITY;Knežlaz;;
me3208056;me10;CITY;Unijerina;;
me3196401;me10;CITY;Leševići;;
me3198434;me10;CITY;Kaluđerovići;;
me3194069;me10;CITY;Donji Orahovac;;
me3187346;me10;CITY;Vranovići;;
me3318372;me10;CITY;Radanovići;;
me3318385;me10;CITY;Vuksanovići;;
me3318386;me10;CITY;Mezalini;;
me3318387;me10;CITY;Bogetići;;
me3316978;me10;CITY;Veljinići;;
me3316985;me10;CITY;Kljajevići;;
me3317067;me10;CITY;Podi;;
me3317110;me10;CITY;Jastrin Do;;
me3317967;me10;CITY;Čolani;;
me3317968;me10;CITY;Bućin;;
me3317973;me10;CITY;Gorica;;
me3213016;me10;CITY;Lastvica;;
me3220479;me10;CITY;Grkavac;;
me3220481;me10;CITY;Han;;
me3194654;me10;CITY;Muo;;
me3189425;me10;CITY;Sutvara;;
me3186926;me10;CITY;Zagora;;
me3187877;me10;CITY;Velje Selo;;
me3203545;me10;CITY;Bratešići;;
me3325300;me10;CITY;Granica;;
me3325315;me10;CITY;Skvarište;;
me3325317;me10;CITY;Jelovi Do;;
me3325318;me10;CITY;Vuči Do;;
me3325331;me10;CITY;Cerovik;;
me3325371;me10;CITY;Klanica;;
me3325388;me10;CITY;Banja;;
me3325805;me10;CITY;Ježević;;
me3318228;me10;CITY;Dražin Vrt;;
me3318229;me10;CITY;Stepen;;
me3318234;me10;CITY;Ljuta;;
me3318236;me10;CITY;Marovići;;
me3318244;me10;CITY;Vališta;;
me3318256;me10;CITY;Pržice;;
me3318259;me10;CITY;Dub;;
me3318313;me10;CITY;Velji Zalazi;;
me3318317;me10;CITY;Donji Gačevići;;
me3318322;me10;CITY;Plagente;;
me3318368;me10;CITY;Nalježići;;
me3318370;me10;CITY;Odži;;
me3318371;me10;CITY;Pelinovo;;
me3318373;me10;CITY;Šišići;;
me3318389;me10;CITY;Kralj;;
me3318395;me10;CITY;Jaz;;
me3318546;me10;CITY;Tomići;;
me3341146;me10;CITY;Gobovići;;
me3341148;me10;CITY;Drakulovići;;
me3341149;me10;CITY;Batute;;
me3341150;me10;CITY;Milojci;;
