CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
ma;;COUNTRY;Morocco;;
ma04;ma;REGION;Rabat-Salé-Kénitra;;
ma2537763;ma04;CITY;Salé;;
ma2533191;ma04;CITY;Sidi Kacem;;
ma2542768;ma04;CITY;Mehdya;;
ma10920963;ma04;CITY;Salé Al Jadida;;
ma2532821;ma04;CITY;Sidi Yahya Zaer;;
ma2539056;ma04;CITY;Douar Lamrabih;;
ma2551836;ma04;CITY;Douar el Caïd el Gueddari;;
ma2532379;ma04;CITY;Sidi Amer El Hadi;;
ma2535530;ma04;CITY;Bouknadel;;
ma2536383;ma04;CITY;Sidi Allal Tazi;;
ma2536393;ma04;CITY;Sidi Allal el Bahraoui;;
ma2539334;ma04;CITY;Oulad Essayh;;
ma2539346;ma04;CITY;Douar Oulad Erriyahi;;
ma2539411;ma04;CITY;Douar Oulad Nouil;;
ma2539433;ma04;CITY;Oulad Msallem;;
ma2539672;ma04;CITY;Douar Oulad Jmil;;
ma2539823;ma04;CITY;Douar Oulad Ettouijer Eddechira;;
ma2539853;ma04;CITY;Douar Oulad Hmidi;;
ma2540005;ma04;CITY;Douar Lahlahla;;
ma2540047;ma04;CITY;Douar Oulad Bou el Hsaïne;;
ma2540116;ma04;CITY;Douar Oulad Ben Said;;
ma2540260;ma04;CITY;Oulad Amer;;
ma2541266;ma04;CITY;Nouasser Ben Nacer;;
ma2541663;ma04;CITY;Douar Mghaytene Oulad Abdellah;;
ma2542124;ma04;CITY;Douar Mkarza;;
ma2542522;ma04;CITY;Mghiten Oulad Slimane;;
ma2542525;ma04;CITY;Mghiten Lahrahra;;
ma2552758;ma04;CITY;Douar El Hassaïnat;;
ma2552823;ma04;CITY;Douar el Abiat;;
ma2553221;ma04;CITY;Chouake;;
ma2553224;ma04;CITY;Chouafaa;;
ma2553714;ma04;CITY;Douar Bghayliya Mhajba;;
ma2555798;ma04;CITY;Douar Bni Khallad;;
ma2555956;ma04;CITY;Ben Aziz;;
ma2557134;ma04;CITY;Ar Rommani;;
ma2548330;ma04;CITY;Had Brachoua;;
ma2548755;ma04;CITY;Frahiyyne;;
ma2549223;ma04;CITY;Douar Esselahma;;
ma2549542;ma04;CITY;Mograne;;
ma2549687;ma04;CITY;Douar Lmarja;;
ma2549703;ma04;CITY;Douar Lamaiziyyine;;
ma2549788;ma04;CITY;Douar Lekrimat;;
ma2549835;ma04;CITY;Douar Ghzalat;;
ma2549878;ma04;CITY;Douar el Khenanès;;
ma2549895;ma04;CITY;Khmis Sidi Yahia;;
ma2550049;ma04;CITY;Douar Ejjorf;;
ma2550244;ma04;CITY;Douar el Haji;;
ma2550368;ma04;CITY;Douar Lgueddara;;
ma2550469;ma04;CITY;Douar Lafdoul;;
ma2550472;ma04;CITY;Douar el Fdoul;;
ma2550575;ma04;CITY;Douar Labhalla;;
ma2550723;ma04;CITY;Laararsa;;
ma2550789;ma04;CITY;Lamamra;;
ma2550820;ma04;CITY;Douar El Ayyach;;
ma2550935;ma04;CITY;Dlalha;;
ma2551287;ma04;CITY;Douar Ouled Merim;;
ma2551321;ma04;CITY;Douar Oulad Tourjer;;
ma2551331;ma04;CITY;Sidi Mouhamed Ben Kacem;;
ma2551334;ma04;CITY;Douar Oulad Brahim;;
ma2551335;ma04;CITY;Douar Oulad Sidi Ben Yahya;;
ma2551340;ma04;CITY;Oulad Snane;;
ma2551402;ma04;CITY;Oulad Khlifa;;
ma2551429;ma04;CITY;Douar Lahjajama;;
ma2551488;ma04;CITY;Oulad Aissa Tirs;;
ma2551567;ma04;CITY;Douar Maarif Sedra;;
ma2551575;ma04;CITY;Douar Loghzaoui;;
ma2551880;ma04;CITY;Douar El Aouakla;;
ma2551969;ma04;CITY;Chaouiat Harryad Rmel;;
ma2552040;ma04;CITY;Beni Oual Sehira;;
ma2552109;ma04;CITY;Qabat Lqabliya;;
ma2552123;ma04;CITY;Douar Ait Lahsen Ichou;;
ma2552421;ma04;CITY;Douar Gueddara;;
ma2565313;ma04;CITY;Aïn Zohra;;
ma2559655;ma04;CITY;Aït Lahsene;;
ma2560939;ma04;CITY;Ain El Aouda;;
ma2532418;ma04;CITY;Souk Jema el Haouafa;;
ma2532421;ma04;CITY;Souk et Tnine Jorf el Mellah;;
ma2532423;ma04;CITY;Souk Tlet El Gharb;;
ma2544279;ma04;CITY;Khobziyine;;
ma2544334;ma04;CITY;Khenichet-sur Ouerrha;;
ma2544459;ma04;CITY;Lakhmalcha;;
ma2544816;ma04;CITY;Dar Oulad Daouya;;
ma2525864;ma04;CITY;Zouiriyine;;
ma2526105;ma04;CITY;Douar Zahriyine;;
ma10937711;ma04;CITY;Sidi Mohamed Lahmar;;
ma10921335;ma04;CITY;Haddada;;
ma11025970;ma04;CITY;Moulay Abdelkader;;
ma11026048;ma04;CITY;Ain Dfali;;
ma2534361;ma04;CITY;Sidi Lahssen;;
ma2534461;ma04;CITY;Douar Lemmalk;;
ma2536392;ma04;CITY;Sidi Allal El Bahraoui;;
ma2537561;ma04;CITY;Douar Sefyane;;
ma2537614;ma04;CITY;Sebt Ait Ikkou;;
ma2537661;ma04;CITY;Ain Sbaa;;
ma2537950;ma04;CITY;Douar Rouala;;
ma2538072;ma04;CITY;Douar Riyah Lqabliya;;
ma2538073;ma04;CITY;Douar Riah;;
ma2538291;ma04;CITY;Remiki;;
ma2538397;ma04;CITY;Douar Ras Mqil;;
ma2538456;ma04;CITY;Douar Regragua;;
ma2538907;ma04;CITY;Ouljat Essoltane;;
ma2538931;ma04;CITY;Oulad Taleb;;
ma2539005;ma04;CITY;Ouled Mbarek;;
ma2539048;ma04;CITY;Oulad Ziloun;;
ma2539057;ma04;CITY;Oulad Ben Ziyane;;
ma2539058;ma04;CITY;Oulad Ziyane;;
ma2539090;ma04;CITY;Oulad Youssef;;
ma2539123;ma04;CITY;Douar Oulad Yahya;;
ma2539128;ma04;CITY;Douar Triaat;;
ma2539138;ma04;CITY;Oulad Tayeb;;
ma2539265;ma04;CITY;Douar Oulad Sellam;;
ma2539273;ma04;CITY;Oulad Mansour;;
ma2539317;ma04;CITY;Douar Oulad Saïd;;
ma2539318;ma04;CITY;Douar Oulad Saïd;;
ma2539347;ma04;CITY;Oulad Riahi;;
ma2539348;ma04;CITY;Oulad Riyahi;;
ma2539355;ma04;CITY;Douar Oulad El Gharbi Hamri;;
ma2539361;ma04;CITY;Oulad Ghayda;;
ma2539390;ma04;CITY;Douar Oulad Rafaa;;
ma2539410;ma04;CITY;Oulad Nouala;;
ma2539423;ma04;CITY;Douar Oulad Naoual;;
ma2539434;ma04;CITY;Chouafea Oulad Mssahel;;
ma2539445;ma04;CITY;Oulad Moussa Lekrayma;;
ma2539452;ma04;CITY;Oulad Moussa Rmal;;
ma2539454;ma04;CITY;Oulad Moussa Madegh;;
ma2539462;ma04;CITY;Douar Oulad Moussa;;
ma2539480;ma04;CITY;Oulad Mesbah;;
ma2539523;ma04;CITY;Oulad Mhamed;;
ma2539530;ma04;CITY;Oulad Messour;;
ma2539539;ma04;CITY;Oulad Messaoud;;
ma2539552;ma04;CITY;Douar Oulad Marouane;;
ma2539578;ma04;CITY;Oulad Masbah;;
ma2539590;ma04;CITY;Douar Oulad Lmamoune;;
ma2539601;ma04;CITY;Douar Oulad El Mehdi;;
ma2539607;ma04;CITY;Douar Oulad Loucha;;
ma2539625;ma04;CITY;Douar Oulad Ketir;;
ma2539657;ma04;CITY;Douar Oulad Kaddour;;
ma2539671;ma04;CITY;Douar Oulad Jmil Fergane;;
ma2539695;ma04;CITY;Oulad Jabar;;
ma2539728;ma04;CITY;Oulad al ’Arbi;;
ma2539765;ma04;CITY;Oulad Hammad;;
ma2539787;ma04;CITY;Douar Oulad Hajjaj;;
ma2539825;ma04;CITY;Douar El Qattara;;
ma2539847;ma04;CITY;Oulad Jaaydi;;
ma2539849;ma04;CITY;Oulad Lhirech;;
ma2539850;ma04;CITY;Douar Oulad Lharti;;
