CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
mz;;COUNTRY;Mozambique;;
mz06;mz;REGION;Nampula;;
mz1035025;mz06;CITY;Nacala;;
mz1052944;mz06;CITY;Angoche;;
mz1037390;mz06;CITY;Mozambique;;
mz1088155;mz06;CITY;Mutuáli;;
mz1033797;mz06;CITY;Namialo;;
mz1043244;mz06;CITY;Lumbo;;
mz1046045;mz06;CITY;Gêlo;;
mz1037021;mz06;CITY;Mossuril;;
mz1037180;mz06;CITY;Monapo;;
mz1037225;mz06;CITY;Moma;;
mz1038044;mz06;CITY;Metocheria;;
mz1038882;mz06;CITY;Memba;;
mz1041480;mz06;CITY;Malema;;
mz1028054;mz06;CITY;Ribàué;;
mz1033915;mz06;CITY;Namacuna;;
mz1035010;mz06;CITY;Nacala-a-Velha;;
mz1035233;mz06;CITY;Mutulo;;
mz1046050;mz06;CITY;Geba;;
mz1038756;mz06;CITY;Mepaua;;
mz1040141;mz06;CITY;Massuti;;
mz1041510;mz06;CITY;Malatane;;
mz1026856;mz06;CITY;Sequirire;;
mz1028301;mz06;CITY;Quissimajula;;
mz1088746;mz06;CITY;Meconta;;
mz1034969;mz06;CITY;Nacaroa;;
mz1036273;mz06;CITY;Muecate;;
mz1091794;mz06;CITY;Tomeia;;
mz1093360;mz06;CITY;Sétimo de Abril;;
mz1089160;mz06;CITY;Plantação Mezerepane;;
mz1089165;mz06;CITY;Naverra;;
mz1029542;mz06;CITY;Nova Chave;;
mz1029720;mz06;CITY;Régulo Mizo;;
mz1029969;mz06;CITY;Nicarara;;
mz1030050;mz06;CITY;Retiua;;
mz1032031;mz06;CITY;Régulo Nivale;;
mz1032081;mz06;CITY;Tegue;;
mz1032111;mz06;CITY;Netel;;
mz1032177;mz06;CITY;Nemara;;
mz1032203;mz06;CITY;Negururo;;
mz1032395;mz06;CITY;Neurouro;;
mz1032410;mz06;CITY;Nela;;
mz1032737;mz06;CITY;Naponete;;
mz1033002;mz06;CITY;Nantar;;
mz1033228;mz06;CITY;Murruma;;
mz1033359;mz06;CITY;Régulo Nampuíta;;
mz1033436;mz06;CITY;Namacala;;
mz1033815;mz06;CITY;Namituma;;
mz1033843;mz06;CITY;Mamutamua;;
mz1033857;mz06;CITY;Chefe Sebastião;;
mz1033881;mz06;CITY;Namirôa;;
mz1033916;mz06;CITY;Nameeuna;;
mz1033932;mz06;CITY;Namicoio;;
mz1034069;mz06;CITY;Namapala;;
mz1034593;mz06;CITY;Naéti;;
mz1034648;mz06;CITY;Nacopa;;
mz1034786;mz06;CITY;Nacopo;;
mz1034820;mz06;CITY;Nacolo;;
mz1034885;mz06;CITY;Macomia;;
mz1035134;mz06;CITY;Mivóva;;
mz1035610;mz06;CITY;Muquela;;
mz1047987;mz06;CITY;Matias;;
mz1048178;mz06;CITY;Chire;;
mz1048464;mz06;CITY;Chiute;;
mz1049992;mz06;CITY;Muemué;;
mz1050037;mz06;CITY;Chequeia;;
mz1050266;mz06;CITY;Chapola;;
mz1050811;mz06;CITY;João;;
mz1050859;mz06;CITY;Cabo Catahare;;
mz1050897;mz06;CITY;Castelo;;
mz1051042;mz06;CITY;Canameja;;
mz1051811;mz06;CITY;Cunaxa;;
mz1051830;mz06;CITY;Cabeceira;;
mz1051838;mz06;CITY;Cabaceira Pequena;;
mz1052711;mz06;CITY;Aube;;
mz1052899;mz06;CITY;Paulino;;
mz1052999;mz06;CITY;Anchil;;
mz1053133;mz06;CITY;Aiupa;;
mz1053168;mz06;CITY;Ali;;
mz1053355;mz06;CITY;Abudo;;
mz1041952;mz06;CITY;Régulo Mazeze;;
mz1042699;mz06;CITY;Maxangula;;
mz1043751;mz06;CITY;Régulo Lima;;
mz1044045;mz06;CITY;Melapa;;
mz1044145;mz06;CITY;Olaica;;
mz1044316;mz06;CITY;Cabo José;;
mz1044892;mz06;CITY;Eriua;;
mz1044919;mz06;CITY;Inxique;;
mz1045353;mz06;CITY;Ilapu;;
mz1045723;mz06;CITY;Guarancia;;
mz1046024;mz06;CITY;Régulo Guerra;;
mz1046369;mz06;CITY;Régulo Fernando;;
mz1047446;mz06;CITY;Cunca;;
mz1047722;mz06;CITY;Cotarrua;;
mz1047865;mz06;CITY;Praia de Condúcia;;
mz1035873;mz06;CITY;Mizope;;
mz1035918;mz06;CITY;Muitacale;;
mz1035921;mz06;CITY;Mutucua;;
mz1036017;mz06;CITY;Sagali;;
mz1036184;mz06;CITY;Luaha;;
mz1036265;mz06;CITY;Muacarro;;
mz1036324;mz06;CITY;Mucubola;;
mz1036326;mz06;CITY;Mucuculo;;
mz1036761;mz06;CITY;Muamuquina;;
mz1036798;mz06;CITY;Cabo Mualeia;;
mz1036835;mz06;CITY;Régulo Mazulia;;
mz1037039;mz06;CITY;Morrrupa;;
mz1037056;mz06;CITY;Régulo Morroma;;
mz1037081;mz06;CITY;Régulo Morrola;;
mz1037082;mz06;CITY;Régulo Morrola;;
mz1037189;mz06;CITY;Momola;;
mz1037238;mz06;CITY;Malola;;
mz1037301;mz06;CITY;Moendaze;;
mz1037333;mz06;CITY;Mecubúri;;
mz1037383;mz06;CITY;Mocapera;;
mz1037440;mz06;CITY;Mivete;;
mz1037728;mz06;CITY;Milalande;;
mz1037912;mz06;CITY;Mivia;;
mz1037921;mz06;CITY;Nanvarre;;
mz1038239;mz06;CITY;Metalina;;
mz1038244;mz06;CITY;Mutualoma;;
mz1038349;mz06;CITY;Régulo Mussevel;;
mz1038533;mz06;CITY;Mecoliua;;
mz1038621;mz06;CITY;Tomás;;
mz1038730;mz06;CITY;Meparerra;;
mz1038803;mz06;CITY;Mepaio;;
mz1038897;mz06;CITY;Chefe Muleva;;
mz1038976;mz06;CITY;Metage;;
mz1039127;mz06;CITY;Mecuma;;
mz1039234;mz06;CITY;Mecolene;;
mz1039409;mz06;CITY;Mucuna;;
mz1039543;mz06;CITY;Maxilone;;
mz1039672;mz06;CITY;Muaula;;
mz1039742;mz06;CITY;Chefe Matuta;;
mz1039920;mz06;CITY;Matibane;;
mz1040338;mz06;CITY;Assane;;
mz1040352;mz06;CITY;Régulo Marrué;;
mz1040562;mz06;CITY;Marengi;;
mz1040754;mz06;CITY;Mapaguira;;
mz1040893;mz06;CITY;Manuel;;
