CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
mm;;COUNTRY;Myanmar;;
mm10;mm;REGION;Sagain;;
mm1308522;mm10;CITY;Monywa;;
mm1296736;mm10;CITY;Shwebo;;
mm1310120;mm10;CITY;Mawlaik;;
mm1310371;mm10;CITY;Matu;;
mm1310413;mm10;CITY;Masum Zup;;
mm1310430;mm10;CITY;Masein;;
mm1310431;mm10;CITY;Masein;;
mm1310514;mm10;CITY;Manyu;;
mm1310578;mm10;CITY;Mantun;;
mm1310579;mm10;CITY;Mantun;;
mm1310588;mm10;CITY;Māntonhe;;
mm1310604;mm10;CITY;Mān Thet;;
mm1310605;mm10;CITY;Manthe;;
mm1310665;mm10;CITY;Mansi;;
mm1310677;mm10;CITY;Mansein;;
mm1310678;mm10;CITY;Mansein;;
mm1310896;mm10;CITY;Man Pang;;
mm1310918;mm10;CITY;Manpagale;;
mm1310920;mm10;CITY;Manpa;;
mm1311118;mm10;CITY;Manna;;
mm1311173;mm10;CITY;Mān Maw;;
mm1311174;mm10;CITY;Mān Maw;;
mm1311337;mm10;CITY;Mānlinta;;
mm1311455;mm10;CITY;Man Kin;;
mm1311526;mm10;CITY;Nankaw;;
mm1311534;mm10;CITY;Mankat;;
mm1311608;mm10;CITY;Mān Huna;;
mm1311614;mm10;CITY;Manhton;;
mm1311821;mm10;CITY;Mangu;;
mm1311832;mm10;CITY;Mangon;;
mm1311863;mm10;CITY;Mandung;;
mm1311878;mm10;CITY;Manda;;
mm1311899;mm10;CITY;Manawtha;;
mm1311960;mm10;CITY;Malon;;
mm1312034;mm10;CITY;Mala;;
mm1312165;mm10;CITY;Makaukpat;;
mm1312210;mm10;CITY;Maingwe;;
mm1312230;mm10;CITY;Maingnaung;;
mm1312242;mm10;CITY;Maingkaing;;
mm1312247;mm10;CITY;Maingdaung;;
mm1312313;mm10;CITY;Mahu;;
mm1312368;mm10;CITY;Mahaw;;
mm1312459;mm10;CITY;Magyigon;;
mm1312460;mm10;CITY;Magyigon;;
mm1312461;mm10;CITY;Magyigon;;
mm1312463;mm10;CITY;Magyigon;;
mm1312570;mm10;CITY;Magyibin;;
mm1312726;mm10;CITY;Lwin-u;;
mm1312765;mm10;CITY;Lwegyaung;;
mm1313665;mm10;CITY;Linlu;;
mm1313682;mm10;CITY;Linhpa;;
mm1313702;mm10;CITY;Lingadipa;;
mm1313811;mm10;CITY;Le-u;;
mm1313812;mm10;CITY;Le-u;;
mm1313858;mm10;CITY;Letsaunggan;;
mm1313859;mm10;CITY;Letsaunggan;;
mm1313866;mm10;CITY;Letpanzin;;
mm1313883;mm10;CITY;Letpantha;;
mm1313884;mm10;CITY;Letpantha;;
mm1313894;mm10;CITY;Letpannginaung;;
mm1313913;mm10;CITY;Letpangyin;;
mm1313914;mm10;CITY;Letpangyin;;
mm1313996;mm10;CITY;Letpan;;
mm1314134;mm10;CITY;Letagawng;;
mm1314200;mm10;CITY;Lemi;;
mm1314328;mm10;CITY;Leiksaw;;
mm1314380;mm10;CITY;Legyin;;
mm1314381;mm10;CITY;Legyin;;
mm1314382;mm10;CITY;Legyidaw;;
mm1314592;mm10;CITY;Lawngsawk;;
mm1314596;mm10;CITY;Lawngpawng;;
mm1314598;mm10;CITY;Lawngmin;;
