CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
np;;COUNTRY;Nepal;;
np3;np;REGION;Province 3;;
np1282931;np3;CITY;Patan;;
np1283613;np3;CITY;Bharatpur;;
np1283339;np3;CITY;Hetauda;;
np1283190;np3;CITY;Kirtipur;;
np8411054;np3;CITY;Madhyapur Thimi;;
np1282950;np3;CITY;Panauti̇̄;;
np1283142;np3;CITY;Langtang;;
np1283189;np3;CITY;Kodari;;
np1283448;np3;CITY;Dhulikhel;;
np1283679;np3;CITY;Banepā;;
np1282857;np3;CITY;Rasuwāgaḍhi̇̄;;
np1283046;np3;CITY;Meghauli;;
np1283298;np3;CITY;Jiri;;
np1282604;np3;CITY;Yārsā;;
np1282684;np3;CITY;Thānkoṭ;;
np1282747;np3;CITY;Sundari̇̄jal;;
np1282775;np3;CITY;Sindhuli̇̄ Garhi;;
np1282813;np3;CITY;Sā̃khu;;
np1282948;np3;CITY;Pā̃chkhāl;;
np1282993;np3;CITY;Nuwākoṭ;;
np1282996;np3;CITY;Naubise;;
np1283001;np3;CITY;Nārāyaṇgaḍh;;
np1283099;np3;CITY;Mahādevṭār;;
np1283273;np3;CITY;Kakani̇̄;;
np1283304;np3;CITY;Jhuwani;;
np1283347;np3;CITY;Hariharpur Gaḍhi̇̄;;
np1283380;np3;CITY;Gopālpur;;
np1283429;np3;CITY;Dolālghāt;;
np1283447;np3;CITY;Dhunche;;
np1283461;np3;CITY;Dharampur;;
np1283471;np3;CITY;Dhāding;;
np1283494;np3;CITY;Dakṣiṇkāli̇̄;;
np1283515;np3;CITY;Chobhār;;
np1283539;np3;CITY;Chautārā;;
np1283544;np3;CITY;Chaturāle;;
np1283546;np3;CITY;Chari̇̄koṭ;;
np1283604;np3;CITY;Bhīmphedi;;
np1283636;np3;CITY;Benighāt;;
np1283706;np3;CITY;Bārhabise;;
np8410804;np3;CITY;Kamalamai;;
np8533064;np3;CITY;Manthali;;
np6254835;np3;CITY;Nagarjun;;
np10330198;np3;CITY;Āndheri̇̄;;
np10330229;np3;CITY;Aruṅ Ṭhākur;;
np10321868;np3;CITY;Chisāpāni̇̄;;
np10316467;np3;CITY;Chāpāgāũ;;
np10316888;np3;CITY;Dhārāpāni̇̄;;
np10276855;np3;CITY;Siddhipur;;
np11773182;np3;CITY;Rāni̇̄shwā̃rā;;
np1282653;np3;CITY;Tokha;;
np1282621;np3;CITY;Upardang Gadhi;;
np1282641;np3;CITY;Trisūli Bāzār;;
np1282674;np3;CITY;Thoduṅ;;
np1282683;np3;CITY;Thāpāgāũ;;
np1282737;np3;CITY;Shyāphru;;
np1282860;np3;CITY;Rasanālu Pātle;;
np1282926;np3;CITY;Pāṭi̇̄bhañjyāṅ;;
np1282933;np3;CITY;Pashupati̇̄nāth;;
np1282946;np3;CITY;Pā̃gā Biṣṇudevi̇̄;;
np1282951;np3;CITY;Pāluṅ;;
np1283005;np3;CITY;Nāgāũ;;
np1283080;np3;CITY;Melamchi̇̄gāū;;
np1283084;np3;CITY;Makawānpur Gaḍhi̇̄;;
np1283097;np3;CITY;Mahankai;;
np1283122;np3;CITY;Lipiṅ;;
np1283147;np3;CITY;Lāmābagar;;
np1283153;np3;CITY;Lamodihi;;
np1283192;np3;CITY;Kirā̃ti̇̄chhāp;;
np1283432;np3;CITY;Doklāṅ;;
np1283458;np3;CITY;Dhorsiṅ;;
np1283569;np3;CITY;Buḍhānilkanṭha;;
np1283571;np3;CITY;Bungmati;;
np1283623;np3;CITY;Bhai̇̃sedobhān;;
np1283652;np3;CITY;Baṭṭār Bajār;;
np1283674;np3;CITY;Bansā̃ghu;;
np1283678;np3;CITY;Bāneswar;;
np6254838;np3;CITY;Ranipauwa;;
np10322087;np3;CITY;Sunkoshi̇̄;;
np10316810;np3;CITY;Chhāpḍā̃ḍā;;
