CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
nl;;COUNTRY;Netherlands;;
nl06;nl;REGION;North Brabant;;
nl2756253;nl06;CITY;Eindhoven;;
nl2758401;nl06;CITY;Breda;;
nl2746301;nl06;CITY;Tilburg;;
nl2754447;nl06;CITY;Helmond;;
nl2756723;nl06;CITY;Dongen;;
nl2759040;nl06;CITY;Best;;
nl2759145;nl06;CITY;Bergen op Zoom;;
nl2747930;nl06;CITY;Roosendaal;;
nl2749234;nl06;CITY;Oss;;
nl2749450;nl06;CITY;Oosterhout;;
nl2745123;nl06;CITY;Waalwijk;;
nl2745726;nl06;CITY;Veghel;;
nl2745860;nl06;CITY;Valkenswaard;;
nl2746005;nl06;CITY;Uden;;
nl2755619;nl06;CITY;Geldrop;;
nl2758460;nl06;CITY;Boxtel;;
nl2749680;nl06;CITY;Oisterwijk;;
nl2745154;nl06;CITY;Vught;;
nl2745706;nl06;CITY;Veldhoven;;
nl2751456;nl06;CITY;Loon op Zand;;
nl2755464;nl06;CITY;Goirle;;
nl2755603;nl06;CITY;Gemonde;;
nl2755996;nl06;CITY;Etten-Leur;;
nl2757874;nl06;CITY;Cuijk;;
nl2746804;nl06;CITY;Steenbergen;;
nl2747021;nl06;CITY;Someren;;
nl2747584;nl06;CITY;Schijndel;;
nl2747910;nl06;CITY;Rosmalen;;
nl2749683;nl06;CITY;Oirschot;;
nl2749780;nl06;CITY;Nuenen;;
nl2744827;nl06;CITY;Werkendam;;
nl2745127;nl06;CITY;Waalre;;
nl2759554;nl06;CITY;Baarle-Nassau;;
nl2760144;nl06;CITY;Aalburg;;
nl2750769;nl06;CITY;Moerdijk;;
nl2755009;nl06;CITY;Haaren;;
nl2755358;nl06;CITY;Grave;;
nl2755605;nl06;CITY;Gemert;;
nl2755669;nl06;CITY;Geertruidenberg;;
nl2756342;nl06;CITY;Eersel;;
nl2757009;nl06;CITY;Deurne;;
nl2758462;nl06;CITY;Boxmeer;;
nl2758878;nl06;CITY;Bladel;;
nl2759132;nl06;CITY;Bergeijk;;
nl2747010;nl06;CITY;Son;;
nl2747227;nl06;CITY;Sint-Oedenrode;;
nl2747234;nl06;CITY;Sint-Michielsgestel;;
nl2747290;nl06;CITY;Sint Anthonis;;
nl2744156;nl06;CITY;Woudrichem;;
nl2744257;nl06;CITY;Woensdrecht;;
nl2751543;nl06;CITY;Lith;;
nl2748130;nl06;CITY;Rijen;;
nl2751325;nl06;CITY;Maarheeze;;
nl2747713;nl06;CITY;Schaijk;;
nl2748361;nl06;CITY;Raamsdonksveer;;
nl2759511;nl06;CITY;Bakel;;
nl2759621;nl06;CITY;Asten;;
nl2759878;nl06;CITY;Almkerk;;
