CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
nz;;COUNTRY;New Zealand;;
nzE7;nz;REGION;Auckland;;
nz2187404;nzE7;CITY;Manukau;;
nz2187454;nzE7;CITY;Mangere;;
nz6231568;nzE7;CITY;Takanini;;
nz2179867;nzE7;CITY;Waitakere City;;
nz2208329;nzE7;CITY;Papakura;;
nz6232082;nzE7;CITY;Pakuranga;;
nz2179532;nzE7;CITY;Wellsford;;
nz2179639;nzE7;CITY;Warkworth;;
nz2179756;nzE7;CITY;Waiuku;;
nz2184927;nzE7;CITY;Parakai;;
nz2186363;nzE7;CITY;Muriwai Beach;;
nz6231124;nzE7;CITY;Helensville;;
nz6232008;nzE7;CITY;Papatoetoe;;
nz6232009;nzE7;CITY;OTAHUHU;;
nz6232064;nzE7;CITY;MANUREWA;;
nz6232067;nzE7;CITY;Otara;;
nz6232192;nzE7;CITY;New Lynn;;
nz6232305;nzE7;CITY;Remuera;;
nz6232400;nzE7;CITY;Newmarket;;
nz6233785;nzE7;CITY;Oneroa;;
nz6233790;nzE7;CITY;Ostend;;
nz2181602;nzE7;CITY;Te Atatu;;
nz2182720;nzE7;CITY;Silverdale;;
nz2183413;nzE7;CITY;Riverhead;;
nz2183794;nzE7;CITY;Ramarama;;
nz2184155;nzE7;CITY;Pukekohe East;;
nz2184240;nzE7;CITY;Puhoi;;
nz2184846;nzE7;CITY;Parnell;;
nz2184888;nzE7;CITY;Paremoremo;;
nz2184894;nzE7;CITY;Parau;;
nz2185125;nzE7;CITY;Paerata;;
nz2185445;nzE7;CITY;Orewa;;
nz2185448;nzE7;CITY;Orere Point;;
nz2185462;nzE7;CITY;Oratia;;
nz2185548;nzE7;CITY;Opaheke;;
nz2187216;nzE7;CITY;Matakana;;
nz2178975;nzE7;CITY;Woodhill;;
nz2178985;nzE7;CITY;Woodcocks;;
nz2179104;nzE7;CITY;Whitford;;
nz2179275;nzE7;CITY;Whangateau;;
nz2179313;nzE7;CITY;Whangaparaoa;;
nz2188426;nzE7;CITY;Leigh;;
nz2188591;nzE7;CITY;Kumeu;;
nz2188993;nzE7;CITY;Kaukapakapa;;
nz2189046;nzE7;CITY;Karekare;;
nz2189697;nzE7;CITY;Huia;;
nz2189854;nzE7;CITY;Homai;;
nz2191177;nzE7;CITY;Favona;;
nz2191468;nzE7;CITY;East Tamaki;;
nz2191610;nzE7;CITY;Drury;;
nz2191945;nzE7;CITY;Dairy Flat;;
nz2192295;nzE7;CITY;Clevedon;;
nz2192676;nzE7;CITY;Campbells Bay;;
nz2193497;nzE7;CITY;Beachlands;;
nz2193703;nzE7;CITY;Avondale;;
nz2194046;nzE7;CITY;Albany;;
nz2207636;nzE7;CITY;Blackpool;;
nz2207714;nzE7;CITY;Mission Bay;;
nz2207739;nzE7;CITY;Belmont;;
nz2207740;nzE7;CITY;Takapuna;;
nz9485439;nzE7;CITY;Castor Bay;;
nz6244556;nzE7;CITY;Snells Beach;;
nz2180448;nzE7;CITY;Waiatarua;;
nz2181616;nzE7;CITY;Te Arai;;
nz2178897;nzE7;CITY;Ardmore College;;
nz2189715;nzE7;CITY;Howick;;
nz6232166;nzE7;CITY;Devonport;;
nz6232237;nzE7;CITY;Mt Eden;;
nz2182164;nzE7;CITY;Surfdale;;
nz2184367;nzE7;CITY;Port Fitzroy;;
nz2188952;nzE7;CITY;Kawau Island;;
nz2180167;nzE7;CITY;Waimauku;;
nz2180951;nzE7;CITY;Torbay;;
nz6230991;nzE7;CITY;Ocean Beach;;
nz6231587;nzE7;CITY;Pukekohe;;
nz6232212;nzE7;CITY;ONEHUNGA;;
nz6232215;nzE7;CITY;MOUNT WELLINGTON;;
nz6232232;nzE7;CITY;One Tree Hill;;
nz6232238;nzE7;CITY;MOUNT ROSKILL;;
nz6232255;nzE7;CITY;MOUNT ALBERT;;
nz6233791;nzE7;CITY;Palm Beach;;
nz6235071;nzE7;CITY;Hot Water Beach;;
nz2179580;nzE7;CITY;Wayby;;
nz2179748;nzE7;CITY;Waiwera;;
nz2180002;nzE7;CITY;Waipipi;;
nz2180232;nzE7;CITY;Waikopua;;
nz2180441;nzE7;CITY;Waiau Pa;;
nz2180569;nzE7;CITY;Upper Waiwera;;
nz2180841;nzE7;CITY;Tryphena;;
nz2181063;nzE7;CITY;Titirangi North;;
nz2181271;nzE7;CITY;Te Whanga;;
nz2181497;nzE7;CITY;Te Kohanga;;
nz2181579;nzE7;CITY;Te Hana;;
nz2181676;nzE7;CITY;Tawharanui;;
nz2181752;nzE7;CITY;Taupaki;;
nz2181787;nzE7;CITY;Tauhoa;;
nz2182001;nzE7;CITY;Taitimu;;
nz2182068;nzE7;CITY;Tahekeroa;;
nz2182136;nzE7;CITY;Swanson;;
nz2183085;nzE7;CITY;Runciman;;
nz2183558;nzE7;CITY;Red Vale;;
nz2183929;nzE7;CITY;Putiki;;
nz2183991;nzE7;CITY;Punganui;;
nz2184108;nzE7;CITY;Pukeowhare;;
nz2184227;nzE7;CITY;Pukapuka;;
nz2184379;nzE7;CITY;Port Albert;;
nz2184475;nzE7;CITY;Pohuehue;;
nz2184612;nzE7;CITY;Piha;;
nz2184778;nzE7;CITY;Patumahoe;;
nz2184853;nzE7;CITY;Parkhurst;;
nz2184926;nzE7;CITY;Parakakau;;
nz2184962;nzE7;CITY;Paparimu;;
nz2184964;nzE7;CITY;Paparata Valley;;
nz2184965;nzE7;CITY;Paparata;;
nz2185041;nzE7;CITY;Pakiri;;
nz2185068;nzE7;CITY;Pakatoa;;
nz2185089;nzE7;CITY;Pahitoa;;
nz2185491;nzE7;CITY;Opuatia;;
nz2185575;nzE7;CITY;Onetangi;;
nz2185627;nzE7;CITY;Omiha;;
nz2185716;nzE7;CITY;Okupu;;
nz2185742;nzE7;CITY;Okiwi;;
nz2185823;nzE7;CITY;Ohirangi;;
nz2186389;nzE7;CITY;Mullet Point;;
nz2186436;nzE7;CITY;Mount Rex;;
nz2187115;nzE7;CITY;Mauku;;
nz2187356;nzE7;CITY;Maraetai;;
nz2179168;nzE7;CITY;Whenuapai;;
nz2179231;nzE7;CITY;Wharepapa;;
nz2179258;nzE7;CITY;Wharehine;;
nz2179364;nzE7;CITY;Whakatiri;;
nz2179432;nzE7;CITY;Weymouth;;
nz2187942;nzE7;CITY;Makarau;;
nz2187991;nzE7;CITY;Mairangi Bay;;
nz2188004;nzE7;CITY;Mahurangi;;
nz2188725;nzE7;CITY;Kokapo;;
nz2188756;nzE7;CITY;Kohekohe;;
nz2189096;nzE7;CITY;Kanohi;;
nz2189623;nzE7;CITY;Hunua;;
nz2189709;nzE7;CITY;Huapai;;
nz2189750;nzE7;CITY;Hoteo;;
nz2189900;nzE7;CITY;Hobsonville;;
nz2190079;nzE7;CITY;Helvetia;;
nz2190547;nzE7;CITY;Grahams Beach;;
nz2190679;nzE7;CITY;Glorit;;
nz2190724;nzE7;CITY;Glenfield;;
nz2190741;nzE7;CITY;Glenbrook;;
nz2191142;nzE7;CITY;Fernleigh;;
nz2192060;nzE7;CITY;Cowes;;
nz2192225;nzE7;CITY;Coatesville;;
nz2192390;nzE7;CITY;Chelsea;;
nz2192854;nzE7;CITY;Buckland;;
nz2192968;nzE7;CITY;Brighams Creek;;
nz2193111;nzE7;CITY;Bombay;;
nz2193333;nzE7;CITY;Big Omaha;;
nz2193641;nzE7;CITY;Awhitu Central;;
nz2193643;nzE7;CITY;Awhitu;;
nz2193670;nzE7;CITY;Awaroa;;
nz2193843;nzE7;CITY;Ararimu;;
nz2194082;nzE7;CITY;Ahuroa;;
nz2207667;nzE7;CITY;Red Beach;;
nz2207668;nzE7;CITY;Stanmore Bay;;
nz2207690;nzE7;CITY;Algies Bay;;
nz2207697;nzE7;CITY;Herne Bay;;
nz2207705;nzE7;CITY;Point Resolution;;
nz2207724;nzE7;CITY;Devonport;;
nz2207730;nzE7;CITY;Northcote Point;;
nz2207731;nzE7;CITY;Bayswater;;
nz2207733;nzE7;CITY;North Head;;
nz2207746;nzE7;CITY;Westlake;;
nz9485434;nzE7;CITY;Cornwallis;;
nz8469223;nzE7;CITY;Bay View;;
nz8469227;nzE7;CITY;Unsworth Heights;;
