CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
ni;;COUNTRY;Nicaragua;;
ni17;ni;REGION;North Caribbean Coast;;
ni3615745;ni17;CITY;Waslala;;
ni3615679;ni17;CITY;Wounta;;
ni3615769;ni17;CITY;Waní;;
ni3615781;ni17;CITY;Walpasiksa;;
ni3615782;ni17;CITY;Walpasiksa;;
ni3615798;ni17;CITY;Waingka Laya;;
ni3615982;ni17;CITY;Tuapí;;
ni3618337;ni17;CITY;Rosita;;
ni3618457;ni17;CITY;Lamlaya;;
ni3618797;ni17;CITY;Kukalaya;;
ni3618810;ni17;CITY;Krukira;;
ni3620568;ni17;CITY;Cabo Gracias a Dios;;
ni3620700;ni17;CITY;Bilwaskarma;;
ni3620828;ni17;CITY;Auastara;;
ni3615746;ni17;CITY;Wasla;;
ni3615948;ni17;CITY;Tuskru Tara;;
ni3616111;ni17;CITY;Tawantara;;
ni3617005;ni17;CITY;Sagua;;
ni3617653;ni17;CITY;Mina Columbus;;
ni3617779;ni17;CITY;Makantaca;;
ni3618016;ni17;CITY;Limbaica;;
ni3618022;ni17;CITY;Li-Dákura;;
ni3618044;ni17;CITY;Layasiksa;;
ni3618470;ni17;CITY;La Luz;;
ni3618754;ni17;CITY;Kuyu Tingni;;
ni3618787;ni17;CITY;Kum;;
ni3618807;ni17;CITY;Kuakuil;;
ni3618830;ni17;CITY;Kiwás Tara;;
ni3618848;ni17;CITY;Kisalaya;;
ni3618892;ni17;CITY;Kambla;;
ni3620139;ni17;CITY;Ebaniso Tasbapauni;;
ni3620241;ni17;CITY;Cuarenta y Tres;;
ni3620540;ni17;CITY;Campamento Omega;;
ni3620583;ni17;CITY;Bum;;
ni3620696;ni17;CITY;Bismuna Tara;;
ni3620847;ni17;CITY;Asang;;
ni3620898;ni17;CITY;Anris;;
ni3620942;ni17;CITY;Alamikamba;;
ni3616612;ni17;CITY;San Pedro del Norte;;
ni3618800;ni17;CITY;Kuikuina;;
ni3618827;ni17;CITY;Klam;;
ni3620903;ni17;CITY;Amparo;;
ni3615677;ni17;CITY;Yabaltara;;
ni3615727;ni17;CITY;Waspuk;;
ni3615880;ni17;CITY;Valle Kuikuinita;;
ni3615918;ni17;CITY;Umbra Sumal;;
ni3615949;ni17;CITY;Tuskru Sirpi;;
