CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
ne;;COUNTRY;Niger;;
ne01;ne;REGION;Agadez;;
ne2447938;ne01;CITY;Alaghsas;;
ne2438914;ne01;CITY;Teguidda I-n-Tessoum;;
ne2596697;ne01;CITY;Dabaga;;
ne2596699;ne01;CITY;Téouat;;
ne2596701;ne01;CITY;Goûgaram;;
ne2596702;ne01;CITY;Imourarene;;
ne2596709;ne01;CITY;Assamakka;;
ne2596775;ne01;CITY;Séguédine;;
ne2443192;ne01;CITY;I-n-Gall;;
ne2445190;ne01;CITY;Fachi;;
ne2445626;ne01;CITY;Djado;;
ne2445886;ne01;CITY;Dao Timmi;;
ne2447615;ne01;CITY;Aouderas;;
ne2447744;ne01;CITY;Aney;;
ne2439409;ne01;CITY;Taggafadi;;
ne2441533;ne01;CITY;Madama;;
ne2448108;ne01;CITY;Afassa;;
ne2448150;ne01;CITY;Adérbissinat;;
ne6271016;ne01;CITY;Akokan;;
ne7102885;ne01;CITY;Dirkou;;
ne11184171;ne01;CITY;Tabelot;;
ne2576584;ne01;CITY;Âguelal;;
ne2443181;ne01;CITY;Inignaoueï;;
ne2443346;ne01;CITY;Iferouâne;;
ne2445258;ne01;CITY;Elok;;
ne2439104;ne01;CITY;Tarhmert;;
ne2439733;ne01;CITY;Sidaouet;;
ne2445345;ne01;CITY;Eldjimma;;
ne2448232;ne01;CITY;Abardokh;;
ne2596774;ne01;CITY;I-n-Azaoua;;
ne2438634;ne01;CITY;Ti-n-Daouine;;
ne2438879;ne01;CITY;Teloues;;
ne2596708;ne01;CITY;I-n-Ouagar;;
ne2445259;ne01;CITY;Elméki;;
ne2446349;ne01;CITY;Chirfa;;
ne2447572;ne01;CITY;Atri;;
ne2447958;ne01;CITY;Akrérèb;;
ne6578683;ne01;CITY;Bourni;;
ne6578712;ne01;CITY;Doumiari;;
ne6578216;ne01;CITY;Ti-n-Taboûrak;;
ne2444149;ne01;CITY;Guermat;;
ne2448027;ne01;CITY;Aguessis;;
ne2448129;ne01;CITY;Adouda;;
ne2576534;ne01;CITY;Toumbélaga;;
ne2596696;ne01;CITY;Azel;;
ne2596698;ne01;CITY;Taghouaji;;
ne2596703;ne01;CITY;Dabos;;
ne2596705;ne01;CITY;Assaouas;;
ne2596706;ne01;CITY;Timoumenîne;;
ne2596707;ne01;CITY;Marandet;;
ne2445248;ne01;CITY;Emi Tchouma;;
ne2445408;ne01;CITY;Drigana;;
ne2445631;ne01;CITY;Djaba;;
ne06;ne;REGION;Tahoua;;
