CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
ng;;COUNTRY;Nigeria;;
ng23;ng;REGION;Kaduna;;
ng2317765;ng23;CITY;Zaria;;
ng2335614;ng23;CITY;Kagoro;;
ng2332079;ng23;CITY;Lere;;
ng2344229;ng23;CITY;Dutsen Wai;;
ng2347061;ng23;CITY;Sofo-Birnin-Gwari;;
ng2336174;ng23;CITY;Jere;;
ng2317812;ng23;CITY;Zango Katab;;
ng2318560;ng23;CITY;Wusasa;;
ng2322957;ng23;CITY;Soba;;
ng2346322;ng23;CITY;Burumburum;;
ng2324624;ng23;CITY;Rahama;;
ng2328757;ng23;CITY;Nok;;
ng2347847;ng23;CITY;Bongo;;
ng2348148;ng23;CITY;Bakin Kasuan Gwari;;
ng2349760;ng23;CITY;Antan;;
ng2349862;ng23;CITY;Angwan Jakada;;
ng2349947;ng23;CITY;Ancuna;;
ng2350046;ng23;CITY;Amon Kasa;;
ng2336549;ng23;CITY;Jamaar Iya;;
ng2338863;ng23;CITY;Igabi;;
ng2340164;ng23;CITY;Gujin;;
ng2340341;ng23;CITY;Masat;;
ng2317816;ng23;CITY;Zangon Aya;;
ng2318290;ng23;CITY;Yabum;;
ng2318600;ng23;CITY;Wuro Tabo;;
ng2319762;ng23;CITY;Ungwan Tabo;;
ng2319774;ng23;CITY;Ungwan Shehu;;
ng2319781;ng23;CITY;Ungwan Sar Pawa;;
ng2319830;ng23;CITY;Angwan Pa;;
ng2319864;ng23;CITY;Ungwan Mapera;;
ng2319954;ng23;CITY;Ungwan Kajinjiri;;
ng2320000;ng23;CITY;Ungwan Gedage;;
ng2320012;ng23;CITY;Ungwan Galadima;;
ng2320028;ng23;CITY;Ungwan Duku;;
ng2320075;ng23;CITY;Ungwan Dado;;
ng2320187;ng23;CITY;Unguwar Masama;;
ng2320220;ng23;CITY;Ungwan Kwasea;;
ng2320243;ng23;CITY;Barrakin Chori;;
ng2320248;ng23;CITY;Ungwan Baki;;
ng2320252;ng23;CITY;Angwan Dauda;;
ng2320265;ng23;CITY;Unguwan Bako;;
ng2320272;ng23;CITY;Unguwar Antai;;
ng2320273;ng23;CITY;Mere;;
ng2341544;ng23;CITY;Gazobi Tsohuwa;;
ng2342009;ng23;CITY;Agwam;;
ng2342860;ng23;CITY;Gang;;
ng2344645;ng23;CITY;Doka;;
ng2330937;ng23;CITY;Mando;;
ng2331119;ng23;CITY;Malagum;;
ng2332812;ng23;CITY;Ungwan Ali Nungu;;
ng2332934;ng23;CITY;Kwahu;;
ng2334519;ng23;CITY;Keya Nungu;;
ng2335158;ng23;CITY;Kanye;;
ng2324513;ng23;CITY;Rigacikun;;
ng2325086;ng23;CITY;Pambeguwa;;
ng2347473;ng23;CITY;Baturi;;
ng2347521;ng23;CITY;Bassawa;;
ng2348137;ng23;CITY;Encha;;
ng2348582;ng23;CITY;Azu;;
ng2348809;ng23;CITY;Awan;;
ng2348810;ng23;CITY;Awan;;
ng2348895;ng23;CITY;Auchan;;
ng2349112;ng23;CITY;Aso;;
ng2349781;ng23;CITY;Ankwa;;
ng2349820;ng23;CITY;Aninkwan;;
ng2349849;ng23;CITY;Angwan-Dangado;;
ng2350167;ng23;CITY;Amatita;;
ng2350183;ng23;CITY;Amar Dogo;;
ng2351247;ng23;CITY;Akache;;
ng2352275;ng23;CITY;Tudun Wada;;
ng2352858;ng23;CITY;Ungwan Gaya;;
ng2335179;ng23;CITY;Kantudu;;
ng2335205;ng23;CITY;Kwarabe;;
ng2335226;ng23;CITY;Kankada;;
ng2335229;ng23;CITY;Kanja;;
ng2335286;ng23;CITY;Kanufi;;
ng2335334;ng23;CITY;Kamaza;;
ng2335336;ng23;CITY;Kamaruikulu;;
ng2335337;ng23;CITY;Kamaru Hausawa;;
ng2335343;ng23;CITY;Kamantan;;
ng2335348;ng23;CITY;Kamel;;
ng2335502;ng23;CITY;Kajul;;
ng2335600;ng23;CITY;Kahuku;;
ng2335647;ng23;CITY;Kafuri;;
