CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
kp;;COUNTRY;North Korea;;
kp03;kp;REGION;Hamgyŏng-namdo;;
kp1877030;kp03;CITY;Hŭngnam;;
kp2038854;kp03;CITY;Yuktae-dong;;
kp2044050;kp03;CITY;Hongwŏn;;
kp1871484;kp03;CITY;Samho-rodongjagu;;
kp2042249;kp03;CITY;Yŏnggwang-ŭp;;
kp2043677;kp03;CITY;Iwŏn-ŭp;;
kp1875588;kp03;CITY;Kowŏn-ŭp;;
kp1869202;kp03;CITY;Soŭngjil-li;;
kp2039155;kp03;CITY;Yongdae-nodongjagu;;
kp2039165;kp03;CITY;Yongch’ŏn-dong;;
kp2039998;kp03;CITY;Hoban-nodabgjagu;;
kp2041071;kp03;CITY;Kŭmgol 2-dong;;
kp2049524;kp03;CITY;Angol-maŭl;;
kp1873884;kp03;CITY;Nagwŏn;;
kp1874594;kp03;CITY;Yŏho-ri;;
kp1877441;kp03;CITY;Hŭngsang-ni;;
kp1932058;kp03;CITY;Sinsang-ni;;
kp1867337;kp03;CITY;Un’gok-tong;;
kp1867719;kp03;CITY;Tongsang-ni;;
kp1868650;kp03;CITY;Taep’yŏng-ni;;
kp1868713;kp03;CITY;Taejŏdo;;
kp1868804;kp03;CITY;Taedŏng-ni;;
kp2038952;kp03;CITY;Yongyŏl-li;;
kp2038964;kp03;CITY;Yŏngung-dong;;
kp2038970;kp03;CITY;Yongwŏn;;
kp2039521;kp03;CITY;Unsal-li;;
kp2039662;kp03;CITY;Tuŏnt’ae-ri;;
kp2039888;kp03;CITY;Tolgogae;;
kp2040062;kp03;CITY;Tanch’ŏn;;
kp2040142;kp03;CITY;Taenam-dong;;
kp2040170;kp03;CITY;Taehŭng 2-dong;;
kp2040285;kp03;CITY;Sŭllyŏlchŏ-ri;;
kp2040312;kp03;CITY;Sŭngbang-dong;;
kp2040364;kp03;CITY;Such’ŏl-li;;
kp2040562;kp03;CITY;Songjŏn;;
kp2040563;kp03;CITY;Songjŏng-ni;;
kp2040736;kp03;CITY;Son’goch’i;;
kp2040752;kp03;CITY;Sŏjung-maŭl;;
kp2040954;kp03;CITY;Sinp’o-dong;;
kp2040959;kp03;CITY;Sinp’o;;
kp2040992;kp03;CITY;Sinhŭng;;
kp2041084;kp03;CITY;Sinch’ang-nodongjagu;;
kp2041104;kp03;CITY;Sinbong-maŭl;;
kp2041168;kp03;CITY;Sasŭmk’o-mal;;
kp2041821;kp03;CITY;Pujŏn;;
kp2041921;kp03;CITY;Ponghwa-ri;;
kp2041967;kp03;CITY;Pohyŏl-li;;
kp2041983;kp03;CITY;P’ogŏ-dong;;
kp2042096;kp03;CITY;Songhŭng-ni;;
kp2042366;kp03;CITY;Paksandu;;
kp2042991;kp03;CITY;Kyŏngp’o-rodongjagu;;
kp2043006;kp03;CITY;Kyodong-maŭl;;
kp2043009;kp03;CITY;Karŭk-kol;;
kp2043081;kp03;CITY;Kwangch’ŏn-dong;;
kp2043396;kp03;CITY;Kokku-ri;;
kp2043497;kp03;CITY;Kaeamsŏm;;
kp2043629;kp03;CITY;Kalchŏl-li;;
kp2043944;kp03;CITY;Poppatkol;;
kp2043985;kp03;CITY;Hŭnggyŏng-ni;;
kp2044061;kp03;CITY;Honggul-li;;
kp2044125;kp03;CITY;Hŏch’ŏn;;
kp2044217;kp03;CITY;Handae-ri;;
kp2044288;kp03;CITY;Hagonp’a;;
kp2044294;kp03;CITY;Hagaru-ri;;
kp2044306;kp03;CITY;Haejup’yŏng;;
kp2044397;kp03;CITY;Chŭngsal-li;;
kp2044473;kp03;CITY;Sŏkhu-ri;;
kp2044816;kp03;CITY;Ch’ŏnandŏgi;;
kp2045121;kp03;CITY;Changjin;;
kp2045235;kp03;CITY;Chajil-li;;
kp2045251;kp03;CITY;Ch’aho-rodongjagu;;
kp2049522;kp03;CITY;Ch’angp’yŏng-ch’on;;
kp2049525;kp03;CITY;Wŏlsandŏng-maŭl;;
kp2049527;kp03;CITY;Sirubongdŏgi;;
kp2049534;kp03;CITY;Saemdŏgi;;
kp2049537;kp03;CITY;Kapsan’gol;;
kp1872509;kp03;CITY;Pŏlmal;;
kp1872515;kp03;CITY;Pŏlgye;;
kp1873033;kp03;CITY;Ŏyŏmmal;;
kp1874456;kp03;CITY;Mayang-dong;;
kp1874792;kp03;CITY;Kyŏnghŭngjŏn;;
kp1875277;kp03;CITY;Kŭmya;;
kp1875304;kp03;CITY;Kŭmsŏnggol;;
kp1875443;kp03;CITY;Kumal-li;;
kp1876035;kp03;CITY;Karugŏrŭm;;
kp1876067;kp03;CITY;K’albŏl;;
kp1891895;kp03;CITY;Yodŏk;;
kp2051993;kp03;CITY;Tang-gol;;
kp2052272;kp03;CITY;Taehŭng I-tong;;
kp2055238;kp03;CITY;Hwangch’ŏlgol;;
kp2055241;kp03;CITY;Pidŭkpaugol;;
kp2055251;kp03;CITY;Sunch’idŏgi;;
kp2055254;kp03;CITY;Sŏjae-maŭl;;
kp2055260;kp03;CITY;Kamaungdŏngi;;
kp1876305;kp03;CITY;Kalgoch’i-ri;;
kp1878135;kp03;CITY;Ch’owŏl-li;;
kp1878193;kp03;CITY;Chŏnt’al-li;;
kp1878227;kp03;CITY;Ch’ŏnnae-ŭp;;
kp1878317;kp03;CITY;Chŏngp’yŏng;;
kp1879415;kp03;CITY;Chakto-dong;;
kp1879593;kp03;CITY;Ansŏgŭn;;
