CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
mk;;COUNTRY;North Macedonia;;
mkF6;mk;REGION;Grad Skopje;;
mk789339;mkF6;CITY;Kondovo;;
mk791131;mkF6;CITY;Dračevo;;
mk792489;mkF6;CITY;Bojane;;
mk790183;mkF6;CITY;Grčec;;
mk791885;mkF6;CITY;Cresevo;;
mk786595;mkF6;CITY;Radishani;;
mk788564;mkF6;CITY;Ljubin;;
mk788950;mkF6;CITY;Krušopek;;
mk793089;mkF6;CITY;Arnakija;;
mk789308;mkF6;CITY;Kopanica;;
mk790266;mkF6;CITY;Gračani;;
mk790311;mkF6;CITY;Gorno Svilare;;
mk790321;mkF6;CITY;Gorno Nerezi;;
mk790680;mkF6;CITY;Glumovo;;
mk790867;mkF6;CITY;Dvorce;;
mk791327;mkF6;CITY;Dolno Svilare;;
mk791337;mkF6;CITY;Dolno Lisiče;;
mk792068;mkF6;CITY;Čajlane;;
mk785984;mkF6;CITY;Semenište;;
mk786466;mkF6;CITY;Rašče;;
mk786473;mkF6;CITY;Raoviḱ;;
mk786552;mkF6;CITY;Raduša;;
mk787233;mkF6;CITY;Paničari;;
mk788102;mkF6;CITY;Matka;;
mk788789;mkF6;CITY;Laskarci;;
mk784747;mkF6;CITY;Usje;;
mk785860;mkF6;CITY;Šiševo;;
mk833592;mkF6;CITY;Rudnik Raduša;;
mk792150;mkF6;CITY;Bukovik;;
mk788579;mkF6;CITY;Ljubanci;;
mk784099;mkF6;CITY;Volkovo;;
mk863663;mkF6;CITY;Pintija;;
mk8549215;mkF6;CITY;Trubarevo;;
mk833277;mkF6;CITY;Viniče;;
mk833482;mkF6;CITY;Orman;;
mk833594;mkF6;CITY;Gorna Raduša;;
mk863669;mkF6;CITY;Dolna Matka;;
mk8426746;mkF6;CITY;Čičino Selo;;
mk11429253;mkF6;CITY;Šula;;
mk12166944;mkF6;CITY;Gorna Arnakija;;
mkC7;mk;REGION;Bogovinje;;
mk789611;mkC7;CITY;Kamenjane;;
mk791332;mkC7;CITY;Dolno Palčište;;
mk790316;mkC7;CITY;Gorno Sedlarce;;
mk790317;mkC7;CITY;Gorno Palčište;;
mk786004;mkC7;CITY;Selce Keč;;
mk786502;mkC7;CITY;Rakovec;;
mk787564;mkC7;CITY;Novo Selo;;
mk787618;mkC7;CITY;Novaḱe;;
mk783910;mkC7;CITY;Žerovjane;;
mk784754;mkC7;CITY;Urvič;;
mk785895;mkC7;CITY;Siničane;;
mk832789;mkC7;CITY;Jelovjane;;
mk790248;mkC7;CITY;Gradec;;
mkD4;mk;REGION;Gostivar;;
mk791371;mkD4;CITY;Dolna Banjica;;
mk792019;mkD4;CITY;Cegrane;;
mk790812;mkD4;CITY;Forino;;
mk791367;mkD4;CITY;Dolna Ǵonovica;;
mk784114;mkD4;CITY;Vrutok;;
mk785639;mkD4;CITY;Srbinovo;;
mk792251;mkD4;CITY;Brodec;;
mk792693;mkD4;CITY;Belovište;;
mk792968;mkD4;CITY;Balin Dol;;
mk789267;mkD4;CITY;Korito;;
mk790333;mkD4;CITY;Gorno Jelovce;;
mk790530;mkD4;CITY;Gorna Ǵonovica;;
mk790535;mkD4;CITY;Gorna Banjica;;
mk791584;mkD4;CITY;Debreše;;
mk792067;mkD4;CITY;Čajle;;
mk786381;mkD4;CITY;Rečane;;
mk786415;mkD4;CITY;Raven;;
mk787149;mkD4;CITY;Pečkovo;;
mk787275;mkD4;CITY;Padalište;;
mk788194;mkD4;CITY;Malo Turčane;;
mk788808;mkD4;CITY;Lakavica;;
mk783960;mkD4;CITY;Zdunje;;
mk784901;mkD4;CITY;Trnovo;;
mk833621;mkD4;CITY;Simnica;;
mk863640;mkD4;CITY;Ḱafa;;
mk787896;mkD4;CITY;Mitroj Krsti;;
mk785267;mkD4;CITY;Sušica;;
mk833650;mkD4;CITY;Han;;
mk863644;mkD4;CITY;Balija Mahala;;
mk863645;mkD4;CITY;Koloverska Mahala;;
mk863646;mkD4;CITY;Vrtok;;
mk791345;mkD4;CITY;Dolno Jelovce;;
mk788691;mkD4;CITY;Lešnica;;
mk788875;mkD4;CITY;Kunovo;;
mk784836;mkD4;CITY;Tumčevište;;
mk833354;mkD4;CITY;Mirdita;;
mk863641;mkD4;CITY;Stalevci;;
mk863642;mkD4;CITY;Pešterci;;
mk863643;mkD4;CITY;Afmate;;
mkB7;mk;REGION;Vrapchishte;;
mk787715;mkB7;CITY;Negotino;;
mk791443;mkB7;CITY;Dobri Dol;;
mk790537;mkB7;CITY;Gorjane;;
mk786830;mkB7;CITY;Požarane;;
mk788501;mkB7;CITY;Lomnica;;
mk783800;mkB7;CITY;Zubovce;;
mk832912;mkB7;CITY;Kalište;;
