CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
sj;;COUNTRY;Svalbard and Jan Mayen;;
sj21;sj;REGION;Svalbard;;
sj2731990;sj21;CITY;Barentsburg;;
sj7535963;sj21;CITY;Ny-Ålesund;;
no;;COUNTRY;Norway;;
no46;no;REGION;Vestland;;
no3336587;no46;CITY;Askøy;;
no3162321;no46;CITY;Austevoll;;
no3149720;no46;CITY;Knarvik;;
no3154558;no46;CITY;Gulen;;
no7288345;no46;CITY;Sogndal;;
no3132174;no46;CITY;Gloppen;;
no3146176;no46;CITY;Meland;;
no3140573;no46;CITY;Sagvåg;;
no3141032;no46;CITY;Rubbestadneset;;
no3133474;no46;CITY;Tysnes;;
no3142754;no46;CITY;Øystese;;
no3131246;no46;CITY;Ytre Arna;;
no3162924;no46;CITY;Indre Arna;;
no3147441;no46;CITY;Lindås;;
no3149727;no46;CITY;Knappskog;;
no3158046;no46;CITY;Espeland;;
no3151272;no46;CITY;Hylkje;;
no3163506;no46;CITY;Ågotnes;;
no9403952;no46;CITY;Fjell;;
no8558570;no46;CITY;Luster;;
no8354589;no46;CITY;Aurland;;
no7288344;no46;CITY;Vik;;
no6697345;no46;CITY;Sandsli;;
no3136986;no46;CITY;Steine;;
no3137116;no46;CITY;Stavang;;
no3137163;no46;CITY;Stanghelle;;
no3137346;no46;CITY;Søvik;;
no3137487;no46;CITY;Sør-Huglo;;
no3137724;no46;CITY;Solvorn;;
no3137840;no46;CITY;Solheim;;
no3138578;no46;CITY;Skorpa;;
no3138791;no46;CITY;Skjolden;;
no3138949;no46;CITY;Skjeggedal;;
no3139030;no46;CITY;Skiple;;
no3139264;no46;CITY;Skare;;
no3139380;no46;CITY;Skånevik;;
no3139900;no46;CITY;Seljestad;;
no3139960;no46;CITY;Sekkingstad;;
no3139974;no46;CITY;Seim;;
no3140523;no46;CITY;Salhus;;
no3140757;no46;CITY;Sæbøvik;;
no3140853;no46;CITY;Rutledal;;
no3140986;no46;CITY;Rugsund;;
no3141194;no46;CITY;Rostøy;;
no3132541;no46;CITY;Vassenden;;
no3132542;no46;CITY;Vassenden;;
no3132740;no46;CITY;Vangsnes;;
no3132883;no46;CITY;Valevåg;;
no3132899;no46;CITY;Valen;;
no3132953;no46;CITY;Vaksdal;;
no3132970;no46;CITY;Vågsvåg;;
no3133027;no46;CITY;Våge;;
no3133028;no46;CITY;Våge;;
no3133106;no46;CITY;Vadheim;;
no3133155;no46;CITY;Utne;;
no3133191;no46;CITY;Uskedalen;;
no3133287;no46;CITY;Undredal;;
no3133459;no46;CITY;Tyssedal;;
no3133486;no46;CITY;Tørvikbygd;;
no3134028;no46;CITY;Trengereid;;
no3134134;no46;CITY;Totland;;
no3134149;no46;CITY;Toska;;
no3134467;no46;CITY;Tjugum;;
no3134526;no46;CITY;Tjoflot;;
no3134907;no46;CITY;Tælavåg;;
no3135293;no46;CITY;Svanøy;;
no3135453;no46;CITY;Sunde;;
no3135605;no46;CITY;Strusshamn;;
no3135799;no46;CITY;Strandebarm;;
no3141379;no46;CITY;Rong;;
no3141482;no46;CITY;Røldal;;
no3141833;no46;CITY;Ringøy;;
no3142284;no46;CITY;Raudeberg;;
no3143321;no46;CITY;Ortnevik;;
no3143369;no46;CITY;Ornes;;
no3143541;no46;CITY;Onarheim;;
no3143757;no46;CITY;Auklandshamn;;
no3144106;no46;CITY;Nornes;;
no3144133;no46;CITY;Nordvik;;
no3144631;no46;CITY;Nesttun;;
no3144688;no46;CITY;Nesheim;;
no3145296;no46;CITY;Mundheim;;
no3145514;no46;CITY;Mongstad;;
no3131285;no46;CITY;Ygre;;
no3131545;no46;CITY;Vinnes;;
no3131708;no46;CITY;Vikebygd;;
no3131896;no46;CITY;Vevring;;
no3158784;no46;CITY;Egge;;
no3159223;no46;CITY;Dingja;;
no3159284;no46;CITY;Davik;;
no3159552;no46;CITY;Byrkjelo;;
no3159578;no46;CITY;Bygstad;;
no3159827;no46;CITY;Bryggja;;
no3159843;no46;CITY;Bruvik;;
no3159900;no46;CITY;Bruland;;
no3160103;no46;CITY;Brekkhus;;
no3160116;no46;CITY;Brekke;;
no3160412;no46;CITY;Brandsøy;;
no3160497;no46;CITY;Botnen;;
no3160745;no46;CITY;Bømlo;;
no3160755;no46;CITY;Bolstadøyri;;
no3161412;no46;CITY;Bjordal;;
no3161413;no46;CITY;Bjordal;;
no3161531;no46;CITY;Birkeland;;
no3161616;no46;CITY;Berland;;
no3161901;no46;CITY;Bekkjarvik;;
no3162186;no46;CITY;Bakka;;
no3162659;no46;CITY;Askeland;;
no3145776;no46;CITY;Mjølfjell;;
no3146691;no46;CITY;Lykling;;
no3146899;no46;CITY;Lote;;
no3146906;no46;CITY;Losnegard;;
no3147041;no46;CITY;Lokøy;;
no3147076;no46;CITY;Lofthus;;
no3148468;no46;CITY;Landro;;
no3148518;no46;CITY;Laksevåg;;
no3148622;no46;CITY;Kyrkjebø;;
no3148968;no46;CITY;Kvamsøy;;
no3148997;no46;CITY;Kvammen;;
no3149285;no46;CITY;Krokeide;;
no3149609;no46;CITY;Kolltveit;;
no3149628;no46;CITY;Kolgrov;;
no3149629;no46;CITY;Kolgrov;;
no3149645;no46;CITY;Kolbeinsvik;;
no3149746;no46;CITY;Klyve;;
no3154726;no46;CITY;Grov;;
no3155154;no46;CITY;Gravdal;;
no3155673;no46;CITY;Gjerstad;;
no3156312;no46;CITY;Furnes;;
no3156508;no46;CITY;Fresvik;;
no3156559;no46;CITY;Fotlandsvåg;;
no3156806;no46;CITY;Førde;;
no3156894;no46;CITY;Foldnes;;
no3157043;no46;CITY;Flesland;;
no3157414;no46;CITY;Fjærland;;
no3157520;no46;CITY;Finse;;
no3157646;no46;CITY;Fimreite;;
no3158008;no46;CITY;Evanger;;
no3158061;no46;CITY;Espedal;;
no3158449;no46;CITY;Eitrheim;;
no3150352;no46;CITY;Kausland;;
no3150358;no46;CITY;Kaupanger;;
no3150534;no46;CITY;Kalvåg;;
no3151010;no46;CITY;Isane;;
no3151017;no46;CITY;Instefjord;;
no3151022;no46;CITY;Innvik;;
no3151399;no46;CITY;Husa;;
no3152165;no46;CITY;Holmefjord;;
no3152166;no46;CITY;Holmedal;;
no3152227;no46;CITY;Holvika;;
no3152267;no46;CITY;Holdhus;;
no3152614;no46;CITY;Hjartås;;
no3152806;no46;CITY;Hestad;;
no3152863;no46;CITY;Herøysund;;
no3153109;no46;CITY;Helle;;
no3153549;no46;CITY;Haukanes;;
no3153985;no46;CITY;Hamre;;
no3154061;no46;CITY;Hammarsland;;
no3163256;no46;CITY;Indre Ålvik;;
no3163558;no46;CITY;Ænes;;
no3253449;no46;CITY;Loddefjord;;
no3253758;no46;CITY;Skjold;;
no3241072;no46;CITY;Blomvåg;;
no3241475;no46;CITY;Skjelviki;;
no3243305;no46;CITY;Haugland;;
no3245245;no46;CITY;Askeland;;
no3223331;no46;CITY;Nord Oppedal;;
no3206282;no46;CITY;Uggdalseidet;;
no3206339;no46;CITY;Grov;;
no3206863;no46;CITY;Klokkarvik;;
no8692902;no46;CITY;Fjelberg;;
no9535676;no46;CITY;Dalegarden;;
no9535737;no46;CITY;Flatkvål;;
no9535738;no46;CITY;Stalheim;;
no9535904;no46;CITY;Langhaugane;;
no9535994;no46;CITY;Hopland;;
no9536922;no46;CITY;Alversund;;
no9537043;no46;CITY;Barmen Indre;;
no9537727;no46;CITY;Brimnes;;
no9537913;no46;CITY;Bru;;
no9403875;no46;CITY;Valestrandfossen;;
no9403879;no46;CITY;Øvre Årdal;;
no9403881;no46;CITY;Eikefjord;;
no9404007;no46;CITY;Tennebø;;
no9404017;no46;CITY;Husnes;;
no9404031;no46;CITY;Haus;;
no9404043;no46;CITY;Hosanger;;
no6696895;no46;CITY;Olden;;
no6639660;no46;CITY;Hafslo;;
no7839980;no46;CITY;Rådal;;
no7910912;no46;CITY;Reed;;
no7910913;no46;CITY;Jostedal;;
no11002166;no46;CITY;Leikanger;;
no11747863;no46;CITY;Ostereidet;;
no11747885;no46;CITY;Strandvik;;
no11748569;no46;CITY;Erdal;;
no11776686;no46;CITY;Bulandet;;
no11746432;no46;CITY;Borgund;;
no11746984;no46;CITY;Veitastrond;;
no3157191;no46;CITY;Flåm;;
no3137148;no46;CITY;Stårheim;;
no3137186;no46;CITY;Stamnes;;
no3140762;no46;CITY;Sæbø;;
no3141218;no46;CITY;Røssvoll;;
no3141232;no46;CITY;Rossland;;
no3133173;no46;CITY;Utåker;;
no3133264;no46;CITY;Uppsete;;
no3133766;no46;CITY;Tunes;;
no3134342;no46;CITY;Tønjum;;
no3141858;no46;CITY;Feios;;
no3141888;no46;CITY;Revvika;;
no3143299;no46;CITY;Osa;;
no3143854;no46;CITY;Nyttingsnes;;
no3144415;no46;CITY;Norddal;;
no3144734;no46;CITY;Nesbø;;
no3145082;no46;CITY;Naddvik;;
no3145159;no46;CITY;Myrdal;;
no3145332;no46;CITY;Møvik;;
no3131145;no46;CITY;Sundal;;
no3131148;no46;CITY;Ytre Ålvik;;
no3131149;no46;CITY;Årheim;;
no3131204;no46;CITY;Ytre Oppedal;;
no3131249;no46;CITY;Alsåker;;
no3131327;no46;CITY;Vossestrand;;
no3131562;no46;CITY;Vinje;;
no3159209;no46;CITY;Djønno;;
no3159337;no46;CITY;Dalsøyra;;
no3159815;no46;CITY;Buavåg;;
no3161009;no46;CITY;Bleie;;
no3161615;no46;CITY;Berle;;
no3162195;no46;CITY;Bakarvågen;;
no3162666;no46;CITY;Ask;;
no3162778;no46;CITY;Åsane;;
no3162934;no46;CITY;Årland;;
no3145759;no46;CITY;Mjømna;;
no3145855;no46;CITY;Milde;;
no3147097;no46;CITY;Loen;;
no3147821;no46;CITY;Leirvik;;
no3148378;no46;CITY;Langenes;;
no3148957;no46;CITY;Kvanndal;;
no3149719;no46;CITY;Knarrviki;;
no3149722;no46;CITY;Knarrevik;;
no3149830;no46;CITY;Klevoll;;
no3156449;no46;CITY;Frønningan;;
no3157091;no46;CITY;Flekke;;
no3157421;no46;CITY;Fjæra;;
no3158080;no46;CITY;Ervik;;
no3158616;no46;CITY;Eidsvåg;;
no3158628;no46;CITY;Eidslandet;;
no3151431;no46;CITY;Hundven;;
no3151534;no46;CITY;Høylandsbygdi;;
no3151662;no46;CITY;Hoddevik;;
no3152071;no46;CITY;Holsen;;
no3152786;no46;CITY;Hestenesøyra;;
no3152896;no46;CITY;Hærland;;
no3152927;no46;CITY;Herdla;;
no3153106;no46;CITY;Helle;;
no3153354;no46;CITY;Heggjabygda;;
no3153432;no46;CITY;Havrå;;
no3154208;no46;CITY;Haljem;;
no3154365;no46;CITY;Hæstad;;
no3163250;no46;CITY;Alvøen;;
no3163259;no46;CITY;Alveim;;
no3163265;no46;CITY;Alverstraumen;;
no3163376;no46;CITY;Algerøyna;;
no3163382;no46;CITY;Ålfoten;;
no3163462;no46;CITY;Åkra;;
no3241047;no46;CITY;Gyldenpris;;
no3241831;no46;CITY;Abbedisso;;
no3134309;no46;CITY;Toranger;;
no3143126;no46;CITY;Otnes;;
no3151505;no46;CITY;Hufthammar;;
no9535992;no46;CITY;Turrvik;;
no3137029;no46;CITY;Steinaberg;;
no3137472;no46;CITY;Sørkvingo;;
no3137622;no46;CITY;Sør Botnen;;
no3138522;no46;CITY;Skråmestøi;;
no3138597;no46;CITY;Skorhaug;;
no3139418;no46;CITY;Skålevika;;
no3139477;no46;CITY;Skaftå;;
no3140116;no46;CITY;Sandvikvågen;;
no3140624;no46;CITY;Sævareid;;
no3140829;no46;CITY;Rygg;;
no3141062;no46;CITY;Røyrvik;;
no3141164;no46;CITY;Røtinga;;
no3132482;no46;CITY;Vasstun;;
no3133009;no46;CITY;Vågenes;;
no3133444;no46;CITY;Tytingevågen;;
no3135386;no46;CITY;Sunndal;;
no3135742;no46;CITY;Straume;;
no3136513;no46;CITY;Store Aurdal;;
no3141286;no46;CITY;Røsfjæra;;
no3141406;no46;CITY;Romslo;;
no3141752;no46;CITY;Risnes;;
no3141843;no46;CITY;Ringereid;;
no3143534;no46;CITY;Onglavika;;
no3144134;no46;CITY;Nordvika;;
no3144306;no46;CITY;Kvingo;;
no3159104;no46;CITY;Dombestein;;
no3159272;no46;CITY;Deknepollen;;
no3159313;no46;CITY;Damsgård;;
no3161056;no46;CITY;Blålia;;
no3161061;no46;CITY;Blakset;;
no3161596;no46;CITY;Berstad;;
no3162185;no46;CITY;Bakka;;
no3162599;no46;CITY;Åsmundvåg;;
no3162820;no46;CITY;Årvik;;
no3162897;no46;CITY;Ådnavik;;
no3162922;no46;CITY;Arnafjord;;
no3162982;no46;CITY;Årdal;;
no3145767;no46;CITY;Mjølkeråen;;
no3146011;no46;CITY;Merkesvik;;
no3146284;no46;CITY;Matre;;
no3146344;no46;CITY;Marøy;;
no3147725;no46;CITY;Lerøyna;;
no3147737;no46;CITY;Lepsøy;;
no3149405;no46;CITY;Kråkås;;
no3155662;no46;CITY;Gjervik;;
no3157002;no46;CITY;Flogo;;
no3158031;no46;CITY;Espeset;;
no3158508;no46;CITY;Eikrem;;
no3158658;no46;CITY;Eidmind;;
no3158699;no46;CITY;Eide;;
no3150549;no46;CITY;Kallsås;;
no3151132;no46;CITY;Indre Honningsvågen;;
no3151663;no46;CITY;Hovdevåg;;
no3152113;no46;CITY;Holmøyane;;
no3152494;no46;CITY;Hodno;;
no3152569;no46;CITY;Hjellvikvåg;;
no3152733;no46;CITY;Hetlefloten;;
no3152957;no46;CITY;Hennøya;;
no3153445;no46;CITY;Håvik;;
no3154121;no46;CITY;Halsøyr;;
no3163395;no46;CITY;Ålen;;
no3240793;no46;CITY;Angeltveitsjøen;;
no3138616;no46;CITY;Skår;;
no3139914;no46;CITY;Selje;;
no3139970;no46;CITY;Seimsdal;;
no3140505;no46;CITY;Salbu;;
no3140746;no46;CITY;Sele;;
no3132792;no46;CITY;Valvatna;;
no3133458;no46;CITY;Tyssedal;;
no3133648;no46;CITY;Tveit;;
no3133832;no46;CITY;Trovåg;;
no3134408;no46;CITY;Tokheim;;
no3134435;no46;CITY;Tofta;;
no3134993;no46;CITY;Syfteland;;
no3135569;no46;CITY;Stura;;
no3141753;no46;CITY;Risnes;;
no3141819;no46;CITY;Ringstad;;
no3142171;no46;CITY;Redal;;
no3142583;no46;CITY;Raa;;
no3145297;no46;CITY;Mundal;;
no3158830;no46;CITY;Dyrstad;;
no3158949;no46;CITY;Drønen;;
no3162939;no46;CITY;Århus;;
no3145528;no46;CITY;Mølstrevåg;;
no3146650;no46;CITY;Lyngstranda;;
no3146963;no46;CITY;Løning;;
no3147140;no46;CITY;Ljøsne;;
no3147664;no46;CITY;Li;;
no3148455;no46;CITY;Landsvik;;
no3155601;no46;CITY;Gjønnevåg;;
no3156892;no46;CITY;Folderøy;;
no3156978;no46;CITY;Florvåg;;
no3157647;no46;CITY;Fimland;;
no3158574;no46;CITY;Eikefet;;
no3158625;no46;CITY;Eidsnes;;
no3151863;no46;CITY;Hordvik;;
no3152168;no46;CITY;Holme;;
no3153605;no46;CITY;Haugland;;
no3154117;no46;CITY;Halsvik;;
no3154223;no46;CITY;Håland;;
no3250993;no46;CITY;Kleppevik;;
no3241022;no46;CITY;Godvik;;
no3206796;no46;CITY;Bjørndal;;
no9537725;no46;CITY;Lunde;;
no9537825;no46;CITY;Sunde;;
no9537908;no46;CITY;Bjørøyhamn;;
no9537909;no46;CITY;Breidvik;;
no9403962;no46;CITY;Vestra Mosterhamn;;
no6951026;no46;CITY;Kokstad;;
no3136976;no46;CITY;Steinen;;
no3137075;no46;CITY;Stavøyna;;
no3137582;no46;CITY;Søreid;;
no3137629;no46;CITY;Sørbø;;
no3137662;no46;CITY;Songstad;;
no3137798;no46;CITY;Sollibakken;;
no3137868;no46;CITY;Solesnes;;
no3138109;no46;CITY;Smørås;;
no3138218;no46;CITY;Slinda;;
no3138263;no46;CITY;Slettelandstølen;;
no3138337;no46;CITY;Slåtten;;
no3138433;no46;CITY;Skudalen;;
no3139221;no46;CITY;Skarstein;;
no3139222;no46;CITY;Skarstein;;
no3139745;no46;CITY;Sevland;;
no3139896;no46;CITY;Seljevoll;;
no3139897;no46;CITY;Seljestokken;;
no3140105;no46;CITY;Sandvin;;
no3140113;no46;CITY;Sandvikja;;
no3140142;no46;CITY;Sandviknes;;
no3140662;no46;CITY;Sætesvik;;
no3140778;no46;CITY;Rysst;;
no3140801;no46;CITY;Ryland;;
no3141225;no46;CITY;Rossneset;;
no3132789;no46;CITY;Valvikja;;
no3132843;no46;CITY;Vallersneset;;
no3133024;no46;CITY;Våge;;
no3133026;no46;CITY;Våge;;
no3133029;no46;CITY;Våge;;
no3133030;no46;CITY;Våge;;
no3133055;no46;CITY;Våge;;
no3133114;no46;CITY;Vadbu;;
no3133332;no46;CITY;Ulvastad;;
no3133451;no46;CITY;Tysso;;
no3133463;no46;CITY;Tysso;;
no3133646;no46;CITY;Tveiten;;
no3134108;no46;CITY;Trå;;
no3134422;no46;CITY;Toftevåg;;
