CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
om;;COUNTRY;Oman;;
om06;om;REGION;Muscat;;
om288967;om06;CITY;Seeb;;
om288764;om06;CITY;Bawshar;;
om286839;om06;CITY;Qurayyāt;;
om288885;om06;CITY;Al Jişşah;;
om411212;om06;CITY;Ḩayfaz̧;;
om411268;om06;CITY;Al Ḩājir;;
om412215;om06;CITY;Al Amarat;;
om412218;om06;CITY;Ḩarāmil;;
om412223;om06;CITY;Kalbūh;;
om412231;om06;CITY;Yankit;;
om285919;om06;CITY;Yitī;;
om286001;om06;CITY;Al Mazra‘ al ‘Alawī;;
om286162;om06;CITY;Ţuwyān Yitī;;
om286260;om06;CITY;Ismā‘īyah;;
om286346;om06;CITY;Sidāb;;
om286557;om06;CITY;Ḩayy aş Şārūj;;
om286678;om06;CITY;Sad;;
om286696;om06;CITY;Ruwī;;
om286709;om06;CITY;Ar Rusayl;;
om286924;om06;CITY;Qantab;;
om287240;om06;CITY;As Sumayr al ‘Alwīyah;;
om287270;om06;CITY;Al Mawāliḩ al Janūbīyah;;
om287347;om06;CITY;Al Manz̧arīyah;;
om287458;om06;CITY;Al Mu‘baylah ash Shamālīyah;;
om287488;om06;CITY;Al Anşab;;
om287748;om06;CITY;Al Jifār;;
om288126;om06;CITY;Al Ḩaymah;;
om288163;om06;CITY;Al Ḩājir;;
om288225;om06;CITY;Al Ghashībah;;
om288355;om06;CITY;Al Fayyāḑ;;
om288426;om06;CITY;Falaj Ash Shām;;
om288508;om06;CITY;Ḑibāb;;
om288684;om06;CITY;Bawshar Banī ‘Umrān;;
om288699;om06;CITY;Bamah;;
om288883;om06;CITY;Al Khīrān;;
om288966;om06;CITY;As Sīfah;;
om289189;om06;CITY;Al Khawd;;
om289221;om06;CITY;Al Jafnayn;;
om289293;om06;CITY;Al Habūbīyah;;
om8067202;om06;CITY;Al Maḩajj;;
om8028496;om06;CITY;Al Ḩimz̧ī;;
om11805123;om06;CITY;Al Khawḑ;;
om11669735;om06;CITY;Old Muscat;;
om286159;om06;CITY;Ţaww;;
om286733;om06;CITY;Riyām;;
om411198;om06;CITY;Al Maḩyūl;;
om411202;om06;CITY;Fu’ād;;
om411211;om06;CITY;Muḩaydith;;
om411213;om06;CITY;Lamdām;;
om411214;om06;CITY;Ash Shukaylī;;
om411215;om06;CITY;Samakt;;
om411218;om06;CITY;Ba‘ī;;
om411222;om06;CITY;Al Makhāḑah;;
om411225;om06;CITY;Şalfī;;
om411226;om06;CITY;Kabkab;;
om411227;om06;CITY;Ma‘awal;;
om411229;om06;CITY;Al Qābil;;
om411232;om06;CITY;Thab;;
om411257;om06;CITY;Ash Shihbārī;;
om411259;om06;CITY;Al Kirayb;;
om411261;om06;CITY;Al Fāli‘;;
om411262;om06;CITY;Al Luwayz;;
om411263;om06;CITY;Minayzif;;
om411266;om06;CITY;Al Bilād;;
om411267;om06;CITY;Al Janāh;;
om411269;om06;CITY;Muhya;;
om411272;om06;CITY;Al Laşmū;;
om411275;om06;CITY;Al Mazāri‘;;
om411277;om06;CITY;Al Ḩişn;;
om411278;om06;CITY;Al Qaryah;;
om411279;om06;CITY;Minsift;;
om411281;om06;CITY;Al Far‘;;
om411282;om06;CITY;Mathqab;;
om411284;om06;CITY;Şilayfī;;
om411285;om06;CITY;Fayq as Sa‘dīyīn;;
om411286;om06;CITY;Qala‘āt;;
om411287;om06;CITY;Fayq al Lizāmīyīn;;
om411288;om06;CITY;Wādī al ‘Arbiyīn;;
om411289;om06;CITY;As Siwayḩ;;
om412230;om06;CITY;Al ‘Āmirāt;;
om412263;om06;CITY;‘Umq ar Rabākh;;
om412264;om06;CITY;Manqaş;;
om412265;om06;CITY;Ḩuraymah;;
om285989;om06;CITY;Al Waljah;;
om286103;om06;CITY;Tūnis;;
om286105;om06;CITY;Tawl;;
om286249;om06;CITY;Şunub;;
om286540;om06;CITY;Sawţ;;
om286548;om06;CITY;As Sawāqim;;
om286688;om06;CITY;Si‘āl;;
om286692;om06;CITY;As Sa‘ādī;;
om286742;om06;CITY;Ar Rija‘;;
om286783;om06;CITY;Ar Ramlah;;
om287110;om06;CITY;Al Murayrāt;;
om287156;om06;CITY;Al Maghrah;;
om287201;om06;CITY;Al Misfāh al Gharbīyah;;
om287203;om06;CITY;Al Misfāh ash Sharqīyah;;
om287243;om06;CITY;Al Mazra‘ al Ḩadrī;;
om287793;om06;CITY;Jāl;;
om287795;om06;CITY;Jaḩlūt;;
om288109;om06;CITY;Al Ḩammām;;
om288202;om06;CITY;Ḩābil;;
om288240;om06;CITY;Ghubrat aţ Ţām;;
om288435;om06;CITY;Aflaj;;
om288934;om06;CITY;Al ‘Awābī;;
om289043;om06;CITY;Al ‘Aqbīyah;;
om289180;om06;CITY;Al Khufayjī;;
om289281;om06;CITY;Al Ḩājir;;
om289337;om06;CITY;Al Bajrīyah;;
om8036183;om06;CITY;As Silīl;;
om8137994;om06;CITY;Al Mu‘baylah al Janūbīyah;;
om8142793;om06;CITY;Az̧ Z̧āhir;;
om8067366;om06;CITY;Al Jufaynah;;
om8026248;om06;CITY;Qiţār;;
om8026290;om06;CITY;Al Fulayj;;
om8026292;om06;CITY;Aţ Ţurayf;;
om8026293;om06;CITY;Falaj aţ Ţurayf;;
om8026294;om06;CITY;Al Jurayfāt;;
om8026296;om06;CITY;Al ‘Āfiyah;;
om8026309;om06;CITY;Ta‘an;;
om8026336;om06;CITY;Al Ḩushayyah;;
om8028495;om06;CITY;Ar Rujū‘;;
om8028497;om06;CITY;Aţ Ţūyān;;
om8028499;om06;CITY;Sayḩ at Tamām;;
om8028500;om06;CITY;Al ‘Atkīyah;;
om12036397;om06;CITY;As Sūdīyīn;;
om12036399;om06;CITY;Ash Shahbārī al Gharbīyah;;
om12036402;om06;CITY;Al Ghubayrah;;
om12036403;om06;CITY;Al Fāli‘ al Janūbīyah;;
om12036404;om06;CITY;Al Fajj;;
om12036407;om06;CITY;Al Mitqābalāt;;
om12036432;om06;CITY;Ghuwayf aş Şilb;;
om12036440;om06;CITY;Aţ Ţuwayyāt al Janūbīyah;;
om12036459;om06;CITY;Sayḩ az̧ Z̧āhur;;
om11829777;om06;CITY;Al Marāziḩ;;
om11829780;om06;CITY;Al Wāsiţ;;
om11829781;om06;CITY;Al Khaḑrā’;;
om11829786;om06;CITY;Al Ḩuwayḑ;;
om11829787;om06;CITY;Kīd;;
om11829788;om06;CITY;Jarābib;;
om11829789;om06;CITY;Al Baḩrah;;
om11829790;om06;CITY;At Tubaybah;;
om11829791;om06;CITY;Wādī al Ghuwayl;;
om11829793;om06;CITY;Rukayb;;
om11829795;om06;CITY;Aţ Ţarāh;;
om11829796;om06;CITY;Al Khaţm;;
om11829801;om06;CITY;Al Thuraymidī;;
om11829804;om06;CITY;Ar Raḩbah;;
om11829805;om06;CITY;Al Ḩamāmīyāt;;
om11829806;om06;CITY;Ar Ruqq;;
om11829808;om06;CITY;Ḩillat ‘Alwá;;
om11829809;om06;CITY;Al Mukhayyam;;
om11829810;om06;CITY;Ḩillat an Nuḩayr;;
om11829815;om06;CITY;‘Aqawī;;
om11829817;om06;CITY;Ash Shuqayrī al Ghāf;;
om11829818;om06;CITY;Al Khatīyah;;
om11829819;om06;CITY;Al Ḩabāsah;;
om11829820;om06;CITY;As Sayḩ;;
om11829821;om06;CITY;Sayḩ al Marakh;;
om11829822;om06;CITY;Ḩawwar;;
om11829823;om06;CITY;Al Widīyah;;
om11829824;om06;CITY;Al Multaqá;;
om11829825;om06;CITY;Ţābah;;
om11829827;om06;CITY;Al Juwaynīz;;
om11829830;om06;CITY;Wādī az Zikt;;
om11829831;om06;CITY;Ḩillat az̧ Z̧āhir;;
om11829832;om06;CITY;Ḩillat ar Raddah;;
om11829833;om06;CITY;Ḩillat ad Dakkah;;
om11829834;om06;CITY;Ḩillat al Kaws;;
om11829836;om06;CITY;Ḩillat Raḩab;;
om11829837;om06;CITY;Aş Şamīyah;;
om11829838;om06;CITY;Kaybā;;
om11829839;om06;CITY;Ḩalḩal;;
om11829840;om06;CITY;Al Maqţūbah;;
om11829841;om06;CITY;Baḩş;;
om11829842;om06;CITY;Ash Sharqīyah;;
om11829843;om06;CITY;Şiyū;;
om11829844;om06;CITY;Ad Dumaythah;;
om11829846;om06;CITY;Ḩillat Likhdayd;;
om11829847;om06;CITY;Al Baţḩā’;;
om11829848;om06;CITY;Al ‘Uqaybah;;
om11829857;om06;CITY;Aş Şulḩah;;
om11829858;om06;CITY;As Sukkarīyah;;
om11829859;om06;CITY;Al Ḩişn;;
om11827912;om06;CITY;‘Aynt;;
om11827914;om06;CITY;Ḩillat az Zāhīyah;;
om11827930;om06;CITY;Ḩillat al Ma‘mūrah;;
om11827935;om06;CITY;Ḩillat as Sidrah;;
om11827949;om06;CITY;Musayḩ;;
om11827952;om06;CITY;Al Majḩab;;
om11827953;om06;CITY;Ḩanshaft;;
om11827954;om06;CITY;Az̧ Z̧āhir;;
om11827955;om06;CITY;Ḩillat al ‘Awāmir;;
om11827956;om06;CITY;Wādī ar Raḩbah;;
om11827957;om06;CITY;Khabb al Jamal;;
