CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
pk;;COUNTRY;Pakistan;;
pk03;pk;REGION;Khyber Pakhtunkhwa;;
pk1170395;pk03;CITY;Mingora;;
pk1163198;pk03;CITY;Tordher;;
pk1164987;pk03;CITY;Shorkot;;
pk1165744;pk03;CITY;Shabqadar;;
pk1341204;pk03;CITY;Nowshera Cantonment;;
pk1448637;pk03;CITY;Risālpur;;
pk1172779;pk03;CITY;Kulachi;;
pk1176995;pk03;CITY;Havelian;;
pk1162261;pk03;CITY;Zaida;;
pk1162855;pk03;CITY;Utmanzai;;
pk1163224;pk03;CITY;Topi;;
pk1163927;pk03;CITY;Tangi;;
pk1164076;pk03;CITY;Thal;;
pk1168633;pk03;CITY;Paharpur;;
pk1168680;pk03;CITY;Pabbi;;
pk1170367;pk03;CITY;Miran Shah;;
pk1183090;pk03;CITY;Bat Khela;;
pk1184020;pk03;CITY;Baffa;;
pk1184752;pk03;CITY;Akora;;
pk1482375;pk03;CITY;Bar Shinglai;;
pk1172208;pk03;CITY;Landi Kotal;;
pk1179423;pk03;CITY;Dursh Khela;;
pk1179724;pk03;CITY;Doaba;;
pk1180782;pk03;CITY;Dagai;;
pk1162634;pk03;CITY;Wana;;
pk1170862;pk03;CITY;Marghuz;;
pk1181327;pk03;CITY;Cherat Cantonement;;
pk1184569;pk03;CITY;Amangarh;;
pk8224628;pk03;CITY;Amirabad;;
pk1383465;pk03;CITY;Kotlai;;
pk1383569;pk03;CITY;Pashta;;
pk1383599;pk03;CITY;Kakad;;
pk1383631;pk03;CITY;Akhgram;;
pk1383688;pk03;CITY;Dargai;;
pk1383734;pk03;CITY;Shaikh Dera;;
pk1383767;pk03;CITY;Abūa;;
pk1383807;pk03;CITY;Kingar Galai;;
pk1383859;pk03;CITY;Tazagram;;
pk1383860;pk03;CITY;Jango;;
pk1383878;pk03;CITY;Ramjal;;
pk1384494;pk03;CITY;Kotanai;;
pk1384524;pk03;CITY;Baidarra;;
pk1384589;pk03;CITY;Ghojalai;;
pk1384626;pk03;CITY;Ningulai;;
pk1384630;pk03;CITY;Kala Kalle;;
pk1384666;pk03;CITY;Guljubba;;
pk1384680;pk03;CITY;Akhun Kalle;;
