CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
pa;;COUNTRY;Panama;;
pa08;pa;REGION;Panamá;;
pa3708306;pa08;CITY;Juan Díaz;;
pa3703227;pa08;CITY;Pedregal;;
pa3712505;pa08;CITY;Chepo;;
pa3714734;pa08;CITY;Ancón;;
pa3711699;pa08;CITY;Curundú;;
pa3705229;pa08;CITY;Los Lotes;;
pa3705894;pa08;CITY;Lídice;;
pa3713381;pa08;CITY;Calzada Larga;;
pa3713499;pa08;CITY;Caimitillo;;
pa3714426;pa08;CITY;Balboa;;
pa3703669;pa08;CITY;Otoque Oriente;;
pa3708558;pa08;CITY;Icantí;;
pa3710498;pa08;CITY;El Llano;;
pa3712492;pa08;CITY;Chicá;;
pa3712786;pa08;CITY;Cerro Azul;;
pa3713588;pa08;CITY;Cabra Número Uno;;
pa3714421;pa08;CITY;Balboa Heights;;
pa3700802;pa08;CITY;Taboga;;
pa3703327;pa08;CITY;Paso Blanco;;
pa3764114;pa08;CITY;Ipetí;;
pa6299898;pa08;CITY;Panama Pacifico;;
pa11204627;pa08;CITY;Pedro Gonzalez;;
pa3703671;pa08;CITY;Otoque Occidente;;
pa3713323;pa08;CITY;Campana;;
pa3702590;pa08;CITY;Porcada Valdez;;
pa3710087;pa08;CITY;El Progreso;;
pa3711072;pa08;CITY;Pedro de Cocal;;
pa3712450;pa08;CITY;Chilibrillo;;
pa3715005;pa08;CITY;Agua Buena;;
pa3701090;pa08;CITY;San Vicente;;
pa10180007;pa08;CITY;Villa Unida;;
pa3704736;pa08;CITY;Malengue;;
pa3706486;pa08;CITY;Las Huacas;;
pa3708325;pa08;CITY;Juan Bañón;;
pa3709444;pa08;CITY;Fort Kobbe;;
pa3709449;pa08;CITY;Fuerte Amador;;
pa3710506;pa08;CITY;El Limón Afuera;;
pa3712135;pa08;CITY;Cocolí;;
pa3712737;pa08;CITY;Cerro de la Cruz;;
pa3714001;pa08;CITY;Boca de Pacora;;
pa3714612;pa08;CITY;Aserrío;;
pa3714735;pa08;CITY;Ancón;;
pa3700242;pa08;CITY;Vacamonte;;
pa3700839;pa08;CITY;Summit;;
pa3701730;pa08;CITY;Rousseau;;
pa3701806;pa08;CITY;Río Sucio Afuera;;
pa3702351;pa08;CITY;Punta Chame;;
pa3702386;pa08;CITY;Puerto Parra;;
pa3704545;pa08;CITY;María Eugenia;;
pa3709516;pa08;CITY;Flor Laguna;;
pa3711696;pa08;CITY;Curundu Heights;;
pa3711917;pa08;CITY;Corozal;;
pa3715129;pa08;CITY;Agua Bendita;;
pa3701610;pa08;CITY;Salsipuedes;;
pa3701663;pa08;CITY;Sajalices;;
pa3701848;pa08;CITY;Río Indio;;
pa3701876;pa08;CITY;Río Diablo;;
pa3702460;pa08;CITY;Chinina;;
pa3702710;pa08;CITY;Platanáres;;
pa3703230;pa08;CITY;Pedregal;;
pa9409143;pa08;CITY;Howard;;
pa10181534;pa08;CITY;Nueva Esperanza;;
pa10181567;pa08;CITY;Unión de Azuero;;
pa10194187;pa08;CITY;Tortí Medio;;
pa10180024;pa08;CITY;San Antonio;;
pa3703611;pa08;CITY;Paja Peluda;;
pa3704217;pa08;CITY;Moja Pollo;;
pa3704485;pa08;CITY;Martín Pérez Afuera;;
pa3704486;pa08;CITY;Martín Pérez Adentro;;
pa3705306;pa08;CITY;Los Guayabitos;;
pa3706188;pa08;CITY;Las Tinajitas;;
pa3706767;pa08;CITY;La Pulida;;
pa3706919;pa08;CITY;La Piñuelita;;
pa3707051;pa08;CITY;Las Palmas;;
pa3707176;pa08;CITY;La Mina;;
pa3707352;pa08;CITY;La Legua;;
pa3707391;pa08;CITY;La Laguna;;
pa3707683;pa08;CITY;La Gallineta;;
pa3707772;pa08;CITY;La Ensenada Honda;;
