CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
pg;;COUNTRY;Papua New Guinea;;
pg10;pg;REGION;East New Britain;;
pg2087894;pg10;CITY;Rabaul;;
pg2090555;pg10;CITY;Mondrabet;;
pg2094152;pg10;CITY;Kerawara;;
pg2084295;pg10;CITY;Vunakapeake;;
pg2094157;pg10;CITY;Keravat;;
pg2088201;pg10;CITY;Pomio;;
pg2091555;pg10;CITY;Manguna;;
pg2091695;pg10;CITY;Malmal;;
pg2091765;pg10;CITY;Malakur;;
pg2092681;pg10;CITY;Lakiri;;
pg2093367;pg10;CITY;Korpun;;
pg2094881;pg10;CITY;Kamanakam;;
pg2097239;pg10;CITY;Galovit;;
pg2084275;pg10;CITY;Vunapalandig;;
pg2084489;pg10;CITY;Uvol;;
pg2085276;pg10;CITY;Tol;;
pg2086869;pg10;CITY;Setwi;;
pg2087792;pg10;CITY;Rangulit;;
pg2091780;pg10;CITY;Malaguna;;
pg2084282;pg10;CITY;Vunamarita;;
pg2084309;pg10;CITY;Vunadidir;;
pg2085348;pg10;CITY;Toboina;;
pg2085630;pg10;CITY;Tawui;;
pg2099389;pg10;CITY;Bitalobo;;
pg2087854;pg10;CITY;Rakanda;;
pg2088021;pg10;CITY;Pulpul;;
pg2090584;pg10;CITY;Moloi;;
pg2091520;pg10;CITY;Manten;;
pg2091732;pg10;CITY;Malasait;;
pg2091896;pg10;CITY;Maihuna;;
pg2092528;pg10;CITY;Lau;;
pg2093522;pg10;CITY;Kongi;;
pg2095356;pg10;CITY;Iwai;;
pg2097867;pg10;CITY;East Baien;;
pg2085667;pg10;CITY;Tavalo;;
pg2099230;pg10;CITY;Bokongtata;;
pg2100068;pg10;CITY;Bairiman;;
pg2100387;pg10;CITY;Atu;;
pg2087719;pg10;CITY;Rautawat;;
pg2087822;pg10;CITY;Ramale;;
pg2087827;pg10;CITY;Ralubang;;
pg2087851;pg10;CITY;Rakival;;
pg2088999;pg10;CITY;Ora;;
pg2089557;pg10;CITY;Nodup;;
pg2090349;pg10;CITY;Mukul;;
pg2091251;pg10;CITY;Massua;;
pg2091326;pg10;CITY;Marmar;;
pg2091841;pg10;CITY;Maito;;
pg2092433;pg10;CITY;Leli;;
pg2093673;pg10;CITY;Kola;;
pg2094862;pg10;CITY;Kamavalo;;
pg2097194;pg10;CITY;Ganna;;
pg2083398;pg10;CITY;Woipuna;;
pg2085199;pg10;CITY;Toriu;;
pg2085441;pg10;CITY;Timono;;
pg2085928;pg10;CITY;Taliligap;;
pg2085992;pg10;CITY;Taintop;;
pg2098887;pg10;CITY;Bulayang;;
pg2099851;pg10;CITY;Barawon;;
pg2100079;pg10;CITY;Bainings;;
pg2086503;pg10;CITY;Siwanpuna;;
pg2086676;pg10;CITY;Simi;;
pg2086680;pg10;CITY;Simbum;;
pg2086890;pg10;CITY;Serenguna;;
pg2086936;pg10;CITY;Senel;;
pg2087210;pg10;CITY;Sanipuna;;
pg2087231;pg10;CITY;Sangamali;;
pg2087268;pg10;CITY;Sampun;;
pg2087350;pg10;CITY;Sali;;
pg2087420;pg10;CITY;Sahalil;;
pg2087531;pg10;CITY;Ruahana;;
pg2087537;pg10;CITY;Rowan;;
pg2087638;pg10;CITY;Riet;;
pg2087647;pg10;CITY;Rhunagi;;
pg2087665;pg10;CITY;Reiven;;
pg2087674;pg10;CITY;Reimber;;
pg2087721;pg10;CITY;Raunsepna;;
pg2087723;pg10;CITY;Raulili;;
pg2087732;pg10;CITY;Ratung;;
pg2087733;pg10;CITY;Ratongor;;
pg2087739;pg10;CITY;Ratavul;;
pg2087740;pg10;CITY;Ratavul;;
pg2087741;pg10;CITY;Ratavul;;
pg2087743;pg10;CITY;Ratagitagi;;
pg2087747;pg10;CITY;Rasimen;;
pg2087766;pg10;CITY;Rapolo;;
pg2087768;pg10;CITY;Rapitok Number 4;;
pg2087769;pg10;CITY;Rapitok Number 3;;
pg2087770;pg10;CITY;Rapitok Number 2;;
pg2087771;pg10;CITY;Rapitok Number 1;;
pg2087791;pg10;CITY;Ranguna;;
pg2087809;pg10;CITY;Rambabat;;
pg2087820;pg10;CITY;Ramalmal;;
pg2087823;pg10;CITY;Ramale;;
pg2087826;pg10;CITY;Ram;;
pg2087828;pg10;CITY;Raluan Number 2;;
pg2087829;pg10;CITY;Raluan Number 1;;
pg2087832;pg10;CITY;Raluana;;
pg2087833;pg10;CITY;Raluana;;
pg2087834;pg10;CITY;Ralman;;
pg2087837;pg10;CITY;Ralalar;;
pg2087840;pg10;CITY;Rakunat;;
pg2087841;pg10;CITY;Rakunai;;
pg2087853;pg10;CITY;Rakandakanda;;
pg2087855;pg10;CITY;Rakanda;;
pg2087865;pg10;CITY;Rainau;;
pg2087882;pg10;CITY;Raburua;;
pg2087883;pg10;CITY;Raburbur;;
pg2087886;pg10;CITY;Rabumbum;;
pg2087888;pg10;CITY;Rabuana;;
pg2087898;pg10;CITY;Rabagi;;
pg2087899;pg10;CITY;Rabagi;;
pg2087936;pg10;CITY;Putanagororoi;;
pg2087979;pg10;CITY;Punum;;
pg2087996;pg10;CITY;Punarupka;;
pg2088019;pg10;CITY;Pulpulo;;
pg2088020;pg10;CITY;Pulpul;;
pg2088027;pg10;CITY;Pulepuna;;
pg2088077;pg10;CITY;Puapal;;
pg2088137;pg10;CITY;Porlo;;
pg2088157;pg10;CITY;Pora;;
pg2088203;pg10;CITY;Pomei;;
pg2088210;pg10;CITY;Pomansilipun;;
pg2088211;pg10;CITY;Poman;;
pg2088231;pg10;CITY;Pokapuna;;
pg2088238;pg10;CITY;Poipun;;
pg2088239;pg10;CITY;Poio;;
pg2088241;pg10;CITY;Poiniara;;
pg2088283;pg10;CITY;Piuka;;
pg2088288;pg10;CITY;Pita;;
pg2088305;pg10;CITY;Piratop;;
pg2088312;pg10;CITY;Piovi;;
pg2088367;pg10;CITY;Pilimatana;;
pg2088371;pg10;CITY;Pilapila;;
pg2088376;pg10;CITY;Pikapuna;;
pg2088439;pg10;CITY;Peping;;
pg2088445;pg10;CITY;Pendi;;
pg2088470;pg10;CITY;Pelin;;
pg2088541;pg10;CITY;Pature;;
pg2088595;pg10;CITY;Parol;;
pg2088622;pg10;CITY;Parakaman;;
pg2088731;pg10;CITY;Palpal;;
pg2088746;pg10;CITY;Palipal;;
pg2088750;pg10;CITY;Paliavalu;;
pg2088770;pg10;CITY;Pakia;;
pg2089139;pg10;CITY;Ololo;;
pg2089190;pg10;CITY;Olaipun;;
pg2089199;pg10;CITY;Okimpuna;;
pg2089425;pg10;CITY;Nuiuve;;
pg2089458;pg10;CITY;Nouro;;
pg2089524;pg10;CITY;Nonga;;
pg2089660;pg10;CITY;Nguvalian;;
pg2089662;pg10;CITY;Ngunaguna;;
pg2089668;pg10;CITY;Ngatur;;
pg2089821;pg10;CITY;Navuneram;;
pg2089823;pg10;CITY;Naviu;;
pg2089859;pg10;CITY;Natava;;
pg2089899;pg10;CITY;Narakoi;;
pg2089906;pg10;CITY;Napapar Number 5;;
pg2089907;pg10;CITY;Napapar Number 4;;
pg2089908;pg10;CITY;Napapar Number 3;;
pg2089909;pg10;CITY;Napapar Number 2;;
pg2089910;pg10;CITY;Napapar Number 1;;
pg2089929;pg10;CITY;Nanuk;;
pg2089946;pg10;CITY;Nangas;;
pg2089947;pg10;CITY;Nangananga;;
pg2090001;pg10;CITY;Nambling;;
pg2090007;pg10;CITY;Nambaul;;
pg2090065;pg10;CITY;Nakukur Number 2;;
pg2090066;pg10;CITY;Nakukur Number 1;;
pg2090131;pg10;CITY;Nagaila;;
pg2090144;pg10;CITY;Nabual;;
pg2090152;pg10;CITY;Nabil;;
pg2090155;pg10;CITY;Nabata;;
pg2090248;pg10;CITY;Muranpuna;;
pg2090379;pg10;CITY;Muela;;
pg2090389;pg10;CITY;Mualim;;
pg2090392;pg10;CITY;Mu;;
pg2090489;pg10;CITY;Morena;;
pg2090502;pg10;CITY;Moralona;;
pg2090507;pg10;CITY;Monuvi;;
pg2090530;pg10;CITY;Mongu;;
pg2090748;pg10;CITY;Mioko;;
pg2090817;pg10;CITY;Milim;;
pg2090824;pg10;CITY;Mili;;
pg2090941;pg10;CITY;Merai;;
pg2090964;pg10;CITY;Meninga;;
pg2090984;pg10;CITY;Menebonbon;;
pg2091010;pg10;CITY;Meleton;;
pg2091029;pg10;CITY;Meis;;
pg2091032;pg10;CITY;Meingi;;
pg2091129;pg10;CITY;Mau’una;;
pg2091150;pg10;CITY;Matupit Number 2;;
pg2091151;pg10;CITY;Matupit Number 1;;
pg2091167;pg10;CITY;Matong;;
pg2091187;pg10;CITY;Matawan;;
pg2091215;pg10;CITY;Matanakunai;;
pg2091222;pg10;CITY;Matalau;;
pg2091258;pg10;CITY;Maso;;
pg2091259;pg10;CITY;Maskikilir;;
pg2091298;pg10;CITY;Marunga;;
pg2091325;pg10;CITY;Marmar;;
pg2091382;pg10;CITY;Maren;;
pg2091401;pg10;CITY;Marawa;;
pg2091430;pg10;CITY;Maranagi;;
pg2091434;pg10;CITY;Marambu;;
pg2091452;pg10;CITY;Maragsaik;;
pg2091461;pg10;CITY;Mara;;
pg2091466;pg10;CITY;Mapuna;;
pg06;pg;REGION;Western Province;;
pg2093846;pg06;CITY;Kiunga;;
pg2089137;pg06;CITY;Olsobip;;
pg2089599;pg06;CITY;Ningerum;;
pg2090495;pg06;CITY;Morehead;;
pg2083621;pg06;CITY;Weam;;
pg2094687;pg06;CITY;Kapal;;
pg2086204;pg06;CITY;Suki;;
pg2086857;pg06;CITY;Sewerimabu;;
pg2087502;pg06;CITY;Rumginae;;
pg2088180;pg06;CITY;Pongaki;;
pg2088662;pg06;CITY;Pangoa;;
pg2088931;pg06;CITY;Oromosapua;;
pg2090415;pg06;CITY;Mougulu;;
pg2090635;pg06;CITY;Moian 1;;
pg2091175;pg06;CITY;Matkomrae;;
pg2091753;pg06;CITY;Malam;;
pg2092682;pg06;CITY;Lake Murray;;
pg2093045;pg06;CITY;Kungim;;
pg2093818;pg06;CITY;Koabu;;
pg2094039;pg06;CITY;Kibuli;;
pg2094190;pg06;CITY;Kewa;;
pg2095459;pg06;CITY;Isara;;
pg2095479;pg06;CITY;Irinkwi;;
pg2095605;pg06;CITY;Indorodoro;;
pg2096065;pg06;CITY;Honinabi;;
pg2096762;pg06;CITY;Goraita;;
pg2097004;pg06;CITY;Gesoa;;
pg2083452;pg06;CITY;Wipim;;
pg2083574;pg06;CITY;Wereave;;
pg2083705;pg06;CITY;Wasua;;
pg2083788;pg06;CITY;Wariama;;
pg2084131;pg06;CITY;Waidoro;;
pg2084640;pg06;CITY;Upiara;;
pg2084644;pg06;CITY;Uparua;;
pg2084665;pg06;CITY;Ungerum;;
pg2085793;pg06;CITY;Tarabits;;
pg2098112;pg06;CITY;Disana;;
pg2098146;pg06;CITY;Dimsibi;;
pg2098239;pg06;CITY;Demasuka;;
pg2098345;pg06;CITY;Daraia;;
pg2098394;pg06;CITY;Damera;;
pg2098895;pg06;CITY;Bula;;
pg2099079;pg06;CITY;Bosset;;
pg2099209;pg06;CITY;Bolobip;;
pg2099987;pg06;CITY;Balimo;;
pg2100019;pg06;CITY;Balamula;;
pg2100480;pg06;CITY;Asaramio;;
pg2101258;pg06;CITY;Aiambak;;
pg2101343;pg06;CITY;Aewa;;
pg8528020;pg06;CITY;Kawito;;
pg2086448;pg06;CITY;Sogeri;;
pg2087214;pg06;CITY;Sanguane;;
pg2087427;pg06;CITY;Sagero;;
pg2087430;pg06;CITY;Sagasia;;
pg2091109;pg06;CITY;Mawatta;;
pg2093270;pg06;CITY;Kubira;;
pg2095513;pg06;CITY;Iowi;;
pg2097232;pg06;CITY;Gamaeve;;
pg2097337;pg06;CITY;Fuanevu;;
pg2083790;pg06;CITY;Wariabodora;;
pg2085389;pg06;CITY;Tiriabi;;
