CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
py;;COUNTRY;Paraguay;;
py06;py;REGION;Central;;
py3437056;py06;CITY;San Lorenzo;;
py3437863;py06;CITY;Lambaré;;
py3439214;py06;CITY;Capiatá;;
py3438115;py06;CITY;Fernando de la Mora;;
py3437665;py06;CITY;Nemby;;
py3437842;py06;CITY;Limpio;;
py3436728;py06;CITY;Villa Elisa;;
py3437918;py06;CITY;Itauguá;;
py3438995;py06;CITY;Mariano Roque Alonso;;
py3437809;py06;CITY;Luque;;
py3437127;py06;CITY;San Antonio;;
py3437954;py06;CITY;Itá;;
py3436585;py06;CITY;Ypacarai;;
py3437652;py06;CITY;Nueva Italia;;
py3438043;py06;CITY;Guarambaré;;
py3436583;py06;CITY;Ypané;;
py3436710;py06;CITY;Villeta;;
py3436941;py06;CITY;Santísima Trinidad;;
py3437326;py06;CITY;Puerto Sara;;
py3437333;py06;CITY;Estancia Santa Elena;;
py3437561;py06;CITY;Patiño;;
py3436853;py06;CITY;Tavaí;;
py3437377;py06;CITY;Puerto Lobato;;
py3437874;py06;CITY;Kendall;;
py3438893;py06;CITY;Colonia Thomson;;
py3436993;py06;CITY;Santa Clara;;
py3437113;py06;CITY;San Carlos;;
py3437234;py06;CITY;Puesto Sarita;;
py3437271;py06;CITY;Puesto Itacurubi Guazú;;
py3437299;py06;CITY;Puesto Areco;;
py3437417;py06;CITY;Puerto Botánico;;
py3437516;py06;CITY;Piquete Cué;;
py3437545;py06;CITY;Pedrozo;;
py3437736;py06;CITY;Mercedes Ibarra;;
py3437861;py06;CITY;La Mercedes;;
py3437883;py06;CITY;J. Saldivar;;
py3438193;py06;CITY;Estancia Surubí;;
py3438785;py06;CITY;Cuatro Mojones;;
py3439001;py06;CITY;Colonia Lomas Valentinas;;
py3439225;py06;CITY;Candida Aohucarro;;
py3439361;py06;CITY;Barrio San Isidro (2);;
py9257716;py06;CITY;Sant Ana;;
py11718582;py06;CITY;Estancia Lola;;
py11718583;py06;CITY;Estancia Eloisa;;
py01;py;REGION;Alto Paraná;;
py3437444;py01;CITY;Presidente Franco;;
py3437920;py01;CITY;Itakyry;;
py3438754;py01;CITY;Doctor Juan León Mallorquín;;
py3438872;py01;CITY;Yguazú;;
py3437701;py01;CITY;Ñacunday;;
py3437880;py01;CITY;Juan Emiliano O’Leary;;
py3438748;py01;CITY;Puerto Domingo Martínez de Irala;;
py3438906;py01;CITY;Minga Guazú;;
py3436743;py01;CITY;Veintiocho Kilómetros de Paranambú;;
py3436930;py01;CITY;Puerto San Vicente;;
py3436968;py01;CITY;Santa Rita;;
py3437354;py01;CITY;Puerto Paranambú;;
py3437359;py01;CITY;Puerto Palma;;
py3437361;py01;CITY;Puerto Ordoñez;;
py3437815;py01;CITY;Cedrales;;
py3438001;py01;CITY;Hernandarias;;
py3438977;py01;CITY;Colonia Minga Porá;;
py3439298;py01;CITY;Puerto Caá Yovai;;
py3437405;py01;CITY;Puerto de Tacurupucú;;
py3437106;py01;CITY;San Cristóbal;;
py3437311;py01;CITY;Puerto Veintidos de Mayo;;
py3437330;py01;CITY;Puerto Santa Rita;;
py3437418;py01;CITY;Puerto Bertoni;;
py3437529;py01;CITY;Pikyry;;
py3437577;py01;CITY;Paso Itá;;
py3437689;py01;CITY;Naranjal;;
