CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
pe;;COUNTRY;Peru;;
pe10;pe;REGION;Huanuco;;
pe3691348;pe10;CITY;Tingo María;;
pe3925863;pe10;CITY;Yanacancha;;
pe3695320;pe10;CITY;Llata;;
pe3695465;pe10;CITY;La Unión;;
pe3940428;pe10;CITY;Lauricocha;;
pe3937649;pe10;CITY;Jesús;;
pe6675647;pe10;CITY;Urpish;;
pe3925878;pe10;CITY;Llamur;;
pe3929389;pe10;CITY;San Miguel de Cauri;;
pe3946122;pe10;CITY;Cochacalla;;
pe3698030;pe10;CITY;Sirabamba;;
pe3698703;pe10;CITY;Cascay;;
pe3690743;pe10;CITY;Yarumayo;;
pe3926056;pe10;CITY;Viroy;;
pe3699517;pe10;CITY;Aucantagua;;
pe3699558;pe10;CITY;Arica;;
pe3699835;pe10;CITY;Aguas Calientes;;
pe3692436;pe10;CITY;San Juan de Cochero;;
pe3960573;pe10;CITY;Cebada Ucro;;
pe3960575;pe10;CITY;Rosapampa;;
pe3960603;pe10;CITY;Huancán;;
pe3960611;pe10;CITY;Ilave;;
pe3960615;pe10;CITY;Calash;;
pe3960616;pe10;CITY;Ingenio;;
pe3960618;pe10;CITY;Andabamba;;
pe3960619;pe10;CITY;Matibamba;;
pe3960620;pe10;CITY;Vichaycoto;;
pe3960626;pe10;CITY;Huamancaja;;
pe3960628;pe10;CITY;Sanca Racra;;
pe3960629;pe10;CITY;Cachigaga;;
pe3960680;pe10;CITY;Ujcumachay;;
pe3960686;pe10;CITY;Lloravaco;;
pe3960703;pe10;CITY;Tovocuto;;
pe3960704;pe10;CITY;Chinchobamba;;
pe3960721;pe10;CITY;Quilacán;;
pe3960727;pe10;CITY;Oyón;;
pe3960733;pe10;CITY;Ponga;;
pe3960740;pe10;CITY;Molino Ragra;;
pe3960741;pe10;CITY;Andamachaya;;
pe3960746;pe10;CITY;Cumbe;;
pe3960954;pe10;CITY;Chinche Pampa;;
pe3962294;pe10;CITY;Rinconada;;
pe3962381;pe10;CITY;Cochapampa;;
pe3962403;pe10;CITY;Cacapampa;;
pe3962404;pe10;CITY;Yanahuayra;;
pe3962408;pe10;CITY;Churrias;;
pe3962429;pe10;CITY;Mayrapata;;
pe3962433;pe10;CITY;Pueragra;;
pe3962439;pe10;CITY;El Chasqui;;
pe3962447;pe10;CITY;Coyormayo;;
pe3962449;pe10;CITY;Ingenio;;
pe3962452;pe10;CITY;Derepente;;
pe3962557;pe10;CITY;Moscatuna;;
pe3962558;pe10;CITY;Yanamachay;;
pe3962566;pe10;CITY;Huasca;;
pe3962573;pe10;CITY;Pampa Tupe;;
pe3962854;pe10;CITY;San Antonio;;
pe3962863;pe10;CITY;Tres Cruces;;
pe3962874;pe10;CITY;Yanaquihua;;
pe3962891;pe10;CITY;Huancahusina;;
pe3962947;pe10;CITY;Huertas;;
pe3962964;pe10;CITY;Buenos Aires;;
pe3962968;pe10;CITY;Cardionnioj;;
pe3962971;pe10;CITY;Huacas;;
pe3962974;pe10;CITY;Chasqui;;
pe3962979;pe10;CITY;Pucacocha;;
pe3962988;pe10;CITY;Pilao;;
pe3963046;pe10;CITY;Jatunogo;;
pe3963081;pe10;CITY;Gorgoyán;;
pe3963122;pe10;CITY;Huaynua;;
pe3963240;pe10;CITY;Chinchoj;;
pe3963247;pe10;CITY;El Carmén;;
pe3963321;pe10;CITY;Quishuarhuas;;
pe3963329;pe10;CITY;Pucara;;
pe3938962;pe10;CITY;Huayhuash;;
pe3939332;pe10;CITY;Huaracalla;;
pe3933902;pe10;CITY;Ocho de Diciembre;;
pe3934593;pe10;CITY;Mormuya;;
pe3937565;pe10;CITY;Jonac Pitiac;;
pe3938781;pe10;CITY;Huequencjocha;;
pe3698555;pe10;CITY;Chuquibamba;;
pe3699126;pe10;CITY;Cachicoto;;
pe3692150;pe10;CITY;Santa María del Valle;;
pe3692311;pe10;CITY;San Pedro de Chonta;;
pe3692395;pe10;CITY;San Márquez;;
pe3692635;pe10;CITY;San Antonio de Padua;;
pe3692830;pe10;CITY;Nauyan Rondos;;
pe3693257;pe10;CITY;Puerto Carbajal;;
pe3693446;pe10;CITY;Pomacucho;;
pe3694313;pe10;CITY;Nueva Flores;;
pe3694605;pe10;CITY;Monzón;;
pe3696108;pe10;CITY;Jaupar;;
pe3696669;pe10;CITY;Higuera;;
pe3696953;pe10;CITY;Ganso Azul;;
pe3690800;pe10;CITY;Yanayacu;;
pe3690870;pe10;CITY;Viscas;;
pe6665735;pe10;CITY;Jatunogo;;
pe6666133;pe10;CITY;Dos Aguas;;
pe6672561;pe10;CITY;Siete de Octubre;;
pe6659415;pe10;CITY;Tres de Octubre;;
pe3697655;pe10;CITY;Cueva Grande;;
pe3697726;pe10;CITY;Crisnejilla;;
pe3698016;pe10;CITY;Cocha;;
pe3698161;pe10;CITY;Choquecancha;;
pe3698262;pe10;CITY;Chipaquillo;;
pe3698560;pe10;CITY;Cesina;;
pe3698628;pe10;CITY;Cayán;;
pe3699533;pe10;CITY;Asunción;;
pe3699872;pe10;CITY;Acobamba;;
pe3691486;pe10;CITY;Tantaquillo;;
pe3691810;pe10;CITY;Sinay;;
pe3692608;pe10;CITY;San Carlos;;
pe3693059;pe10;CITY;Quera;;
pe3693108;pe10;CITY;Puquitambo;;
pe3693267;pe10;CITY;Puerto Baldeón;;
pe3693289;pe10;CITY;Puente Duran;;
pe3694465;pe10;CITY;Naranjillo;;
pe3694824;pe10;CITY;Mesapata;;
pe3696453;pe10;CITY;Huancaspata;;
pe3697067;pe10;CITY;Éxito;;
pe06;pe;REGION;Cajamarca;;
pe3696150;pe06;CITY;Jaén;;
pe3698608;pe06;CITY;Celendín;;
pe3698473;pe06;CITY;Chancay Baños;;
pe3692361;pe06;CITY;San Miguel de Pallaques;;
pe3694133;pe06;CITY;Pacopampa;;
pe3696237;pe06;CITY;Ichocán;;
pe3752506;pe06;CITY;Sexy;;
pe3762159;pe06;CITY;Ingatambo;;
pe3696850;pe06;CITY;Guabal;;
pe3697450;pe06;CITY;Edelmira;;
pe3697882;pe06;CITY;Conchu;;
pe3697909;pe06;CITY;Colquimarca;;
pe3697979;pe06;CITY;Colambay;;
pe3698072;pe06;CITY;Chuquibamba;;
pe3698182;pe06;CITY;Hacienda Choloque;;
pe3698774;pe06;CITY;Hacienda Carrizal;;
pe3699586;pe06;CITY;Araqueda;;
pe3699631;pe06;CITY;Angulis;;
pe3699797;pe06;CITY;Algamarca;;
pe3692241;pe06;CITY;Santa Catalina de Pulán;;
pe3692466;pe06;CITY;San José;;
pe3692538;pe06;CITY;Sangana;;
pe3692753;pe06;CITY;Salahual;;
pe3693019;pe06;CITY;Quinden;;
pe3693187;pe06;CITY;Puerto Tamborapa;;
pe3693558;pe06;CITY;Piquijaca;;
pe3695318;pe06;CITY;Llaucán;;
pe3696093;pe06;CITY;Hacienda Jerez;;
pe3736729;pe06;CITY;Shumba Alto;;
pe3690983;pe06;CITY;Vatahual;;
pe3697176;pe06;CITY;El Tingo;;
pe3698409;pe06;CITY;Chaupi-loma;;
pe3696714;pe06;CITY;Hacienda Porcón;;
pe3690837;pe06;CITY;Yagen;;
