CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
ph;;COUNTRY;Philippines;;
ph14;ph;REGION;Autonomous Region in Muslim Mindanao;;
ph1723510;ph14;CITY;Budta;;
ph1696683;ph14;CITY;Pagaluñgan;;
ph1722818;ph14;CITY;Buluan;;
ph1709322;ph14;CITY;Kansipati;;
ph1686004;ph14;CITY;Sitangkai;;
ph1686874;ph14;CITY;Siasi;;
ph1702425;ph14;CITY;Maluso;;
ph1957691;ph14;CITY;Sanga-Sanga;;
ph1957913;ph14;CITY;Buansa;;
ph1728125;ph14;CITY;Balimbing;;
ph1704876;ph14;CITY;Luuk Datan;;
ph1704897;ph14;CITY;Lutayan;;
ph1705300;ph14;CITY;Lugus;;
ph1707434;ph14;CITY;Tairan Camp;;
ph1682715;ph14;CITY;Taungoh;;
ph1684606;ph14;CITY;Taganak;;
ph1685006;ph14;CITY;Tabiauan;;
ph1695180;ph14;CITY;Simbahan;;
ph1701394;ph14;CITY;Manuk Mangkaw;;
ph1957367;ph14;CITY;Tablas;;
ph1957824;ph14;CITY;Kulase;;
ph1957915;ph14;CITY;Bato Bato;;
ph1723318;ph14;CITY;Bugasan;;
ph1724567;ph14;CITY;Buan;;
ph1724594;ph14;CITY;Blinsung;;
ph1725923;ph14;CITY;Bawison;;
ph1725947;ph14;CITY;Baunu-Timbangan;;
ph1727148;ph14;CITY;Bankaw;;
ph1722857;ph14;CITY;Bulit;;
ph1722868;ph14;CITY;Buliok;;
ph1713960;ph14;CITY;Ebcor Town;;
ph1714740;ph14;CITY;Dinganen;;
ph1716014;ph14;CITY;Dalican;;
ph1716294;ph14;CITY;Dadus;;
ph1717884;ph14;CITY;Katico;;
ph1728688;ph14;CITY;Bakung;;
ph1729183;ph14;CITY;Bayanga;;
ph1729562;ph14;CITY;Bacolod;;
ph1729640;ph14;CITY;Bacayawan;;
ph1730468;ph14;CITY;Anuling;;
ph1708442;ph14;CITY;Kulempang;;
ph1708553;ph14;CITY;Kolape;;
ph1708602;ph14;CITY;Kitapak;;
ph1709098;ph14;CITY;Katidtuan;;
ph1709166;ph14;CITY;Karungdong;;
ph1709644;ph14;CITY;Kalbugan;;
ph1710675;ph14;CITY;Inug-Ug;;
ph1711332;ph14;CITY;Idtig;;
ph1712245;ph14;CITY;Guiong;;
ph1690607;ph14;CITY;Sambuluan;;
ph1691713;ph14;CITY;Rimpeso;;
ph1692165;ph14;CITY;Quidamak;;
ph1692477;ph14;CITY;Punay;;
ph1693280;ph14;CITY;Pitogo;;
ph1703626;ph14;CITY;Mahala;;
ph1703699;ph14;CITY;Maguing;;
ph1704881;ph14;CITY;Lu-uk;;
ph1705597;ph14;CITY;Lookan;;
ph1705985;ph14;CITY;Litayan;;
ph1706427;ph14;CITY;Likud Sikubung;;
ph1706466;ph14;CITY;Ligayan;;
ph1707059;ph14;CITY;Laum Tabawan;;
ph1682699;ph14;CITY;Taviran;;
ph1682868;ph14;CITY;Taraka;;
ph1683262;ph14;CITY;Tandu Batu;;
ph1683433;ph14;CITY;Tampakan;;
ph1683818;ph14;CITY;Talitay;;
ph1683820;ph14;CITY;Talitay;;
ph1685695;ph14;CITY;South Ubian;;
ph1686710;ph14;CITY;Sibutu;;
ph1686985;ph14;CITY;Semut;;
ph1687249;ph14;CITY;Sapa-Sapa;;
ph1687321;ph14;CITY;Sapadun;;
ph1693721;ph14;CITY;Panadtaban;;
ph1694002;ph14;CITY;Piagapo;;
ph1694250;ph14;CITY;Pawak;;
ph1694680;ph14;CITY;Parian Dakula;;
ph1694776;ph14;CITY;Parang;;
ph1695506;ph14;CITY;Pandan Niog;;
ph1697619;ph14;CITY;Niyog-Niyog;;
ph1699703;ph14;CITY;Mileb;;
ph1701410;ph14;CITY;Manubul;;
ph1680233;ph14;CITY;Upi;;
ph1680656;ph14;CITY;Tungol;;
ph1680664;ph14;CITY;Luuk;;
ph1680745;ph14;CITY;Tumbagaan;;
ph1681464;ph14;CITY;Tongouson;;
ph1681476;ph14;CITY;Tongehat;;
ph1709617;ph14;CITY;Kalingalan Caluang;;
ph1706425;ph14;CITY;Licup;;
