CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
pt;;COUNTRY;Portugal;;
pt14;pt;REGION;Lisbon;;
pt2271772;pt14;CITY;Amadora;;
pt2264268;pt14;CITY;Queluz;;
pt2270503;pt14;CITY;Cacém;;
pt2265467;pt14;CITY;Odivelas;;
pt2266977;pt14;CITY;Loures;;
pt2269594;pt14;CITY;Cascais;;
pt2268436;pt14;CITY;Estoril;;
pt2263667;pt14;CITY;Sacavém;;
pt2264359;pt14;CITY;Póvoa de Santa Iria;;
pt2265432;pt14;CITY;Olivais;;
pt2270532;pt14;CITY;Cape Roca;;
pt2263352;pt14;CITY;São Domingos de Rana;;
pt2263827;pt14;CITY;Rio de Mouro;;
pt2264403;pt14;CITY;Porto Salvo;;
pt2265326;pt14;CITY;Paço de Arcos;;
pt2266621;pt14;CITY;Massamá;;
pt2269280;pt14;CITY;Charneca;;
pt2270084;pt14;CITY;Carregado;;
pt2270377;pt14;CITY;Camarate;;
pt2270978;pt14;CITY;Belém Tower;;
pt2271985;pt14;CITY;Algés;;
pt2272215;pt14;CITY;Alcabideche;;
pt6930162;pt14;CITY;Alvalade;;
pt2261732;pt14;CITY;Ventosa;;
pt2263434;pt14;CITY;Santo Antão do Tojal;;
pt2263523;pt14;CITY;Santa Iria da Azóia;;
pt2264357;pt14;CITY;Póvoa de Santo Adrião;;
pt2264526;pt14;CITY;Pontinha;;
pt2265169;pt14;CITY;Parede;;
pt2265394;pt14;CITY;Ota;;
pt2267067;pt14;CITY;Linda a Velha;;
pt2268126;pt14;CITY;Fontanelas;;
pt2268563;pt14;CITY;Ericeira;;
pt2269142;pt14;CITY;Colares;;
pt2269449;pt14;CITY;Caxias;;
pt2269556;pt14;CITY;Castanheira do Ribatejo;;
pt2270157;pt14;CITY;Carnaxide;;
pt2270290;pt14;CITY;Caneças;;
pt2270357;pt14;CITY;Campelos;;
pt2270479;pt14;CITY;Cadafais;;
pt2270607;pt14;CITY;Cabanas de Torres;;
pt2270649;pt14;CITY;Bucelas;;
pt2271140;pt14;CITY;Barcarena;;
pt2271350;pt14;CITY;Aveiras de Cima;;
pt2271483;pt14;CITY;Arranhó;;
pt2271975;pt14;CITY;Alhandra;;
pt2271977;pt14;CITY;Algueirão;;
pt2272446;pt14;CITY;Abrigada;;
pt6620294;pt14;CITY;Prior Velho;;
pt2261697;pt14;CITY;Vialonga;;
pt2261760;pt14;CITY;Venda do Pinheiro;;
pt2262029;pt14;CITY;Vale do Paraíso;;
pt2262687;pt14;CITY;Terrugem;;
pt2262867;pt14;CITY;Sobralinho;;
pt2262944;pt14;CITY;Silveira;;
pt2263326;pt14;CITY;São João da Talha;;
pt2263327;pt14;CITY;São João das Lampas;;
pt2263921;pt14;CITY;Ribafria;;
pt2264087;pt14;CITY;Ramada;;
pt2264811;pt14;CITY;Pero Pinheiro;;
pt2265422;pt14;CITY;Olival do Basto;;
pt2265448;pt14;CITY;Olhalvo;;
pt2265589;pt14;CITY;Nadrupe;;
pt2266411;pt14;CITY;Milharado;;
pt2266464;pt14;CITY;Mem Martins;;
pt2266777;pt14;CITY;Malveira;;
pt2266940;pt14;CITY;Lumiar;;
pt2267060;pt14;CITY;Linhó;;
pt2267581;pt14;CITY;Gouveia;;
pt2268358;pt14;CITY;Famões;;
pt2269675;pt14;CITY;Casalinhos de Alfaiata;;
pt2270144;pt14;CITY;Carnota;;
pt2270184;pt14;CITY;Carcavelos;;
pt2270338;pt14;CITY;Campolide;;
pt2270962;pt14;CITY;Benfica;;
pt2270981;pt14;CITY;Belas;;
pt2271001;pt14;CITY;Beato António;;
pt2271077;pt14;CITY;Barreiras;;
pt2271266;pt14;CITY;Azueira;;
pt2271271;pt14;CITY;Azoia;;
pt2271307;pt14;CITY;Azenhas do Mar;;
pt2271547;pt14;CITY;Areeiro;;
pt2271797;pt14;CITY;Alverca do Ribatejo;;
pt2271914;pt14;CITY;Almoçageme;;
pt2271945;pt14;CITY;Almargem;;
pt2271978;pt14;CITY;Alguber;;
pt2272066;pt14;CITY;Aldeia Gavinha;;
pt2272067;pt14;CITY;Aldeia Galega da Merceana;;
pt2272143;pt14;CITY;Alcoentre;;
pt2272379;pt14;CITY;A dos Cunhados;;
pt2272472;pt14;CITY;Abelheira;;
pt6930126;pt14;CITY;Chiado;;
pt6930127;pt14;CITY;Bairro Alto;;
pt2261572;pt14;CITY;Vimeiro;;
pt2261582;pt14;CITY;Vila Verde;;
pt2261708;pt14;CITY;Vermelha;;
pt2262465;pt14;CITY;Unhos;;
pt2262873;pt14;CITY;Sobral da Abelheira;;
pt2263245;pt14;CITY;São Pedro da Cadeira;;
pt2263309;pt14;CITY;São Julião do Tojal;;
pt2264532;pt14;CITY;Ponte do Rol;;
pt2264541;pt14;CITY;Ponte de Frielas;;
pt2264945;pt14;CITY;Penedo;;
pt2265291;pt14;CITY;Pai Mogo;;
pt2265454;pt14;CITY;Ulgueira;;
pt2265548;pt14;CITY;Negrais;;
pt2265726;pt14;CITY;Moscavide e Portela;;
pt2265732;pt14;CITY;Mortena;;
pt2265757;pt14;CITY;Morelinho;;
pt2265927;pt14;CITY;Monte Estoril;;
pt2267880;pt14;CITY;Freiria;;
pt2268207;pt14;CITY;Figueira do Guincho;;
pt2270813;pt14;CITY;Bobadela;;
pt2271623;pt14;CITY;Apelação;;
pt2272386;pt14;CITY;A do Mourão;;
pt2272462;pt14;CITY;Abóbada;;
pt2263310;pt14;CITY;São Julião da Barra;;
pt2266860;pt14;CITY;Magoito;;
pt2261481;pt14;CITY;Zambujeiro;;
pt2261611;pt14;CITY;Vilar;;
pt2261619;pt14;CITY;Vila Nova da Rainha;;
pt2261638;pt14;CITY;Vila Franca do Rosário;;
pt2261825;pt14;CITY;Várzea de Sintra;;
pt2262128;pt14;CITY;Vale de Nogueira;;
pt2262542;pt14;CITY;Trajouce;;
pt2262884;pt14;CITY;Sobral;;
pt2263322;pt14;CITY;São João dos Montes;;
pt2263401;pt14;CITY;São Bartolomeu;;
pt2263412;pt14;CITY;Santo Estêvão das Galés;;
pt2263673;pt14;CITY;Sabugo;;
pt2263683;pt14;CITY;Runa;;
pt2263975;pt14;CITY;Reguengo Pequeno;;
pt2264267;pt14;CITY;Queluz de Baixo;;
pt2264370;pt14;CITY;Póvoa da Galega;;
pt2264709;pt14;CITY;Pinheiro;;
pt2265290;pt14;CITY;Painho;;
pt2265402;pt14;CITY;Ormal;;
pt2265639;pt14;CITY;Murches;;
pt2265688;pt14;CITY;Mouguela;;
pt2265736;pt14;CITY;Murtal;;
pt2265900;pt14;CITY;Montelavar;;
pt2266298;pt14;CITY;Moita dos Ferreiros;;
pt2266445;pt14;CITY;Merceana;;
pt2266480;pt14;CITY;Meleças;;
pt2266523;pt14;CITY;Meca;;
pt2266539;pt14;CITY;Maxial;;
pt2266597;pt14;CITY;Matacães;;
pt2266615;pt14;CITY;Massuça;;
pt2266657;pt14;CITY;Marteleira;;
pt2266766;pt14;CITY;Manique de Baixo;;
pt2266778;pt14;CITY;Malveira da Serra;;
pt2266900;pt14;CITY;Machados;;
pt2266945;pt14;CITY;Lugar das Adegas;;
pt2267216;pt14;CITY;Laje;;
pt2267525;pt14;CITY;Granja do Marquez;;
pt2267576;pt14;CITY;Gradil;;
pt2267902;pt14;CITY;Francos;;
pt2268232;pt14;CITY;Fetais;;
pt2268684;pt14;CITY;Dois Portos;;
pt2268850;pt14;CITY;Covas de Ferro;;
pt2269001;pt14;CITY;Cortegaça;;
pt2269251;pt14;CITY;Chelas;;
pt2269896;pt14;CITY;Casais;;
pt2269898;pt14;CITY;Casaínhos;;
pt2269949;pt14;CITY;Carvoeira;;
pt2270485;pt14;CITY;Cacilhas;;
pt2270554;pt14;CITY;Cabeço de Montachique;;
pt2271351;pt14;CITY;Aveiras de Baixo;;
pt2271572;pt14;CITY;Areias;;
pt2271807;pt14;CITY;Alvarinhos;;
pt2272141;pt14;CITY;Alcoitão;;
pt2272330;pt14;CITY;Agualva;;
pt2272376;pt14;CITY;A dos Ralhados;;
pt2272382;pt14;CITY;A dos Arcos;;
pt2272403;pt14;CITY;A das Lebres;;
pt2272407;pt14;CITY;A da Pêra;;
pt2272410;pt14;CITY;A da Longa;;
pt2272443;pt14;CITY;Abrunheira;;
pt6620263;pt14;CITY;Campo Pequeno, Lisbon, Portugal;;
pt7909711;pt14;CITY;Santo Isidoro;;
pt6545008;pt14;CITY;Costa do Estoril;;
pt2262686;pt14;CITY;Terrujem;;
pt2263414;pt14;CITY;Santo Estêvão;;
pt2264381;pt14;CITY;Póvoa;;
pt2264915;pt14;CITY;Peninha;;
pt2266386;pt14;CITY;Mindel;;
pt2266979;pt14;CITY;Lourel de Baixo;;
pt2269106;pt14;CITY;Conceição;;
pt2269751;pt14;CITY;Casal de Pianos;;
pt2270216;pt14;CITY;Capuchos;;
pt2271051;pt14;CITY;Barril de Cima;;
pt2271783;pt14;CITY;Alvogas;;
pt2261445;pt14;CITY;Zibreira da Fé;;
pt2261448;pt14;CITY;Zibreira;;
pt2261449;pt14;CITY;Zibreira;;
pt2261450;pt14;CITY;Zibreira;;
pt2261485;pt14;CITY;Zambujeira do Mar;;
pt2261505;pt14;CITY;Zambujal;;
pt2261506;pt14;CITY;Zambujal;;
pt2261507;pt14;CITY;Zambujal;;
pt2261523;pt14;CITY;Xabregas;;
pt2261540;pt14;CITY;Virtudes;;
pt2261583;pt14;CITY;Vila Verde;;
pt2261585;pt14;CITY;Vila Seca;;
pt2261587;pt14;CITY;Vilãs;;
pt2261613;pt14;CITY;Vila Pouca;;
pt2261615;pt14;CITY;Vila Nova de São Pedro;;
pt2261629;pt14;CITY;Vila Nova;;
pt2261630;pt14;CITY;Vila Nova;;
pt2261636;pt14;CITY;Vila Fria;;
pt2261641;pt14;CITY;Vila Formosa;;
pt2261646;pt14;CITY;Vila Facaia;;
pt2261650;pt14;CITY;Vila de Rei;;
pt2261653;pt14;CITY;Vila de Canas;;
pt2261655;pt14;CITY;Vila Chã;;
