CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
qa;;COUNTRY;Qatar;;
qa09;qa;REGION;Baladīyat Umm Şalāl;;
qa289523;qa09;CITY;Umm Şalāl Muḩammad;;
qa442542;qa09;CITY;Abū Thaylah;;
qa443223;qa09;CITY;Aş Şanī‘;;
qa289516;qa09;CITY;Umm ‘Ubayrīyah;;
qa289951;qa09;CITY;Al Khurayţīyāt;;
qa290022;qa09;CITY;Rawḑat al ‘Ajūz;;
qa289571;qa09;CITY;Umm al Qubūr;;
qa289603;qa09;CITY;Umm al ‘Amad;;
qa289606;qa09;CITY;Umm al Abāriq;;
qa11207583;qa09;CITY;Burj Barzān;;
qa11207584;qa09;CITY;Thu‘aylib;;
qa11207590;qa09;CITY;Jarī Ibn ‘Abd al Wahhāb;;
qa14;qa;REGION;Al-Shahaniya;;
qa289813;qa14;CITY;Dukhān;;
qa289975;qa14;CITY;Al Jumaylīyah;;
qa289488;qa14;CITY;‘Ayn az Zughayn;;
qa289490;qa14;CITY;Bi’r Zikrīt;;
qa289550;qa14;CITY;Umm az Zubār ash Sharqīyah;;
qa289568;qa14;CITY;Aş Şunay‘;;
qa289749;qa14;CITY;Al Kharsa‘ah;;
qa289859;qa14;CITY;As Suwayḩilīyah;;
qa289860;qa14;CITY;Mazra‘at aş Şin‘;;
qa289886;qa14;CITY;Qaryat ar Rufayq;;
qa289955;qa14;CITY;Al Khurayb;;
qa289985;qa14;CITY;Al Ḩasanīyah;;
qa290039;qa14;CITY;Abū Sidrah;;
qa442535;qa14;CITY;Al Qā‘īyah;;
qa442550;qa14;CITY;Rawḑat Rāshid;;
qa442551;qa14;CITY;Umm Wishāḩ;;
qa442552;qa14;CITY;Sahlat al Markh;;
qa443253;qa14;CITY;Umm aḑ Ḑa‘ah Khawzān;;
qa443255;qa14;CITY;Umm Qarn;;
qa443259;qa14;CITY;Umm al Quhāb al Qadīmah;;
qa289520;qa14;CITY;Rawḑat Shamīm;;
qa289545;qa14;CITY;Umm Ghuwaylīnah;;
