CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
ro;;COUNTRY;Romania;;
ro13;ro;REGION;Cluj;;
ro664460;ro13;CITY;Turda;;
ro670985;ro13;CITY;Petreştii de Jos;;
ro675258;ro13;CITY;Jichişu de Jos;;
ro664602;ro13;CITY;Tritenii de Jos;;
ro672212;ro13;CITY;Nireș;;
ro672238;ro13;CITY;Nicula;;
ro667006;ro13;CITY;Sânmărtin;;
ro662681;ro13;CITY;Viștea;;
ro665851;ro13;CITY;Suceagu;;
ro686083;ro13;CITY;Ășchileu Mare;;
ro672624;ro13;CITY;Mureşenii de Câmpie;;
ro677459;ro13;CITY;Gheorghieni;;
ro679445;ro13;CITY;Dezmir;;
ro664153;ro13;CITY;Urișor;;
ro675163;ro13;CITY;Jucu de Sus;;
ro669163;ro13;CITY;Răscruci;;
ro677314;ro13;CITY;Ghirișu Român;;
ro663257;ro13;CITY;Vălenii de Arieş;;
ro686627;ro13;CITY;Aghireșu-Fabrici;;
ro682471;ro13;CITY;Ceanu Mic;;
ro683014;ro13;CITY;Călărași-Gară;;
ro684299;ro13;CITY;Boju;;
ro684337;ro13;CITY;Boian;;
ro685067;ro13;CITY;Berchieșu;;
ro686082;ro13;CITY;Ășchileu Mic;;
ro686100;ro13;CITY;Aruncuta;;
ro686181;ro13;CITY;Arghișu;;
ro670583;ro13;CITY;Plăiești;;
ro671509;ro13;CITY;Pădureni;;
ro673480;ro13;CITY;Micești;;
ro673736;ro13;CITY;Mărtinești;;
ro674099;ro13;CITY;Măguri;;
ro674231;ro13;CITY;Măcicașu;;
ro674682;ro13;CITY;Livada;;
ro665162;ro13;CITY;Ticu;;
ro665384;ro13;CITY;Tăuți;;
ro665959;ro13;CITY;Strâmbu;;
ro666169;ro13;CITY;Stejeriș;;
ro666438;ro13;CITY;Soporu de Câmpie;;
ro666473;ro13;CITY;Șomcutu Mic;;
ro666919;ro13;CITY;Sântejude;;
ro666978;ro13;CITY;Sânnicoară;;
ro667009;ro13;CITY;Sânmărghita;;
ro667131;ro13;CITY;Sâmboleni;;
ro677745;ro13;CITY;Gădălin;;
ro678470;ro13;CITY;Făgetu Ierii;;
ro679353;ro13;CITY;Dângău Mare;;
ro679454;ro13;CITY;Deușu;;
ro680058;ro13;CITY;Cubleşu Someşan;;
ro680353;ro13;CITY;Crăești;;
ro680669;ro13;CITY;Corușu;;
ro680926;ro13;CITY;Copăceni;;
ro680982;ro13;CITY;Comorâţa;;
ro662872;ro13;CITY;Vâlcelele;;
ro662882;ro13;CITY;Vâlcele;;
ro663971;ro13;CITY;Vaida-Cămăraș;;
ro686619;ro13;CITY;Agârbiciu;;
ro681880;ro13;CITY;Câmpenești;;
ro682045;ro13;CITY;Chiriș;;
ro682273;ro13;CITY;Cesariu;;
ro682611;ro13;CITY;Casele Micești;;
ro683051;ro13;CITY;Căianu Mic;;
ro684042;ro13;CITY;Botoş;;
ro684244;ro13;CITY;Bonț;;
ro684928;ro13;CITY;Bicălatu;;
ro673226;ro13;CITY;Mânăşturu Românesc;;
ro673265;ro13;CITY;Mănăstirea;;
ro673593;ro13;CITY;Mera;;
ro674314;ro13;CITY;Lungeşti;;
ro674379;ro13;CITY;Luncani;;
ro674433;ro13;CITY;Lunca Bonțului;;
ro674498;ro13;CITY;Luna de Sus;;
ro674693;ro13;CITY;Liteni;;
ro675165;ro13;CITY;Jucu de Jos;;
ro675219;ro13;CITY;Jimbor Fânaţe;;
ro665837;ro13;CITY;Sucutard;;
ro668064;ro13;CITY;Sărădiș;;
ro668510;ro13;CITY;Rugășești;;
ro670078;ro13;CITY;Poiana Horea;;
ro678107;ro13;CITY;Fâscăraiu;;
ro678228;ro13;CITY;Fânațe;;
ro679044;ro13;CITY;Dosu Glodului;;
