CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
rw;;COUNTRY;Rwanda;;
rw15;rw;REGION;Southern Province;;
rw203112;rw15;CITY;Butare;;
rw201865;rw15;CITY;Nzega;;
rw202080;rw15;CITY;Kibeho;;
rw202174;rw15;CITY;Kabgayi;;
rw203035;rw15;CITY;Butare;;
rw201624;rw15;CITY;Nyamiyaga;;
rw201736;rw15;CITY;Muyunzwe;;
rw201838;rw15;CITY;Mugombwa;;
rw201856;rw15;CITY;Mpanda;;
rw201875;rw15;CITY;Mwulire;;
rw202079;rw15;CITY;Kibilizi;;
rw202136;rw15;CITY;Bukamira;;
rw202249;rw15;CITY;Cyamukuza;;
rw202353;rw15;CITY;Sahera;;
rw202356;rw15;CITY;Shanga;;
rw202446;rw15;CITY;Rugalika;;
rw202524;rw15;CITY;Nyakabungo;;
rw202528;rw15;CITY;Nyakabanda;;
rw202530;rw15;CITY;Nyagisozi;;
rw202539;rw15;CITY;Nyabisindu;;
rw202591;rw15;CITY;Muzenga;;
rw202625;rw15;CITY;Musamo;;
rw202655;rw15;CITY;Munini;;
rw202724;rw15;CITY;Kareba;;
rw202802;rw15;CITY;Kigembe;;
rw202896;rw15;CITY;Jenda;;
rw202940;rw15;CITY;Giseke;;
rw203017;rw15;CITY;Cyarwa;;
rw203022;rw15;CITY;Cyuna;;
rw203023;rw15;CITY;Curusi;;
rw203029;rw15;CITY;Buvumo;;
rw203055;rw15;CITY;Bunge;;
rw7016310;rw15;CITY;Mpanda;;
rw201425;rw15;CITY;Save;;
rw201478;rw15;CITY;Rutobwe;;
rw201490;rw15;CITY;Rusatira;;
rw201491;rw15;CITY;Rusagara;;
rw201493;rw15;CITY;Runyinya;;
rw201589;rw15;CITY;Nyaruteja;;
rw201626;rw15;CITY;Nyamirembe;;
rw201695;rw15;CITY;Nkoma;;
rw201711;rw15;CITY;Ngaru;;
rw201713;rw15;CITY;Ngoma;;
rw201719;rw15;CITY;Ndora;;
rw201764;rw15;CITY;Musambira;;
rw201870;rw15;CITY;Nyakizu;;
rw201879;rw15;CITY;Mugusa;;
rw201880;rw15;CITY;Mbogo;;
rw202042;rw15;CITY;Kinazi;;
rw202055;rw15;CITY;Kigeme;;
rw202103;rw15;CITY;Keru;;
rw202125;rw15;CITY;Kansi;;
rw202138;rw15;CITY;Kamayanja;;
rw202247;rw15;CITY;Gihisi;;
rw202337;rw15;CITY;Tangabo;;
rw202339;rw15;CITY;Tambwe;;
rw202346;rw15;CITY;Shyanda;;
rw202357;rw15;CITY;Saga;;
rw202382;rw15;CITY;Ruyenzi;;
rw202394;rw15;CITY;Rutabo;;
rw202405;rw15;CITY;Rusenge;;
rw202413;rw15;CITY;Runyinya;;
rw202421;rw15;CITY;Rukondo;;
rw202459;rw15;CITY;Rubona;;
rw202517;rw15;CITY;Nyakibanda;;
rw202538;rw15;CITY;Nyabitare;;
rw202558;rw15;CITY;Ngoma;;
rw202566;rw15;CITY;Ngamba;;
rw202593;rw15;CITY;Muyira;;
rw202610;rw15;CITY;Musumba;;
rw202616;rw15;CITY;Musha;;
rw202624;rw15;CITY;Musange;;
rw202651;rw15;CITY;Murama;;
rw202687;rw15;CITY;Mugogwe;;
rw202698;rw15;CITY;Mubumbano;;
rw202757;rw15;CITY;Kiyonza;;
rw202798;rw15;CITY;Kirarambogo;;
rw202816;rw15;CITY;Kibingo;;
rw202820;rw15;CITY;Kibangu;;
rw202841;rw15;CITY;Karambi;;
rw202842;rw15;CITY;Karama;;
rw202843;rw15;CITY;Karama;;
rw202870;rw15;CITY;Kagunga;;
rw202875;rw15;CITY;Kaduha;;
rw202944;rw15;CITY;Gisagara;;
rw202965;rw15;CITY;Gatonde;;
rw203000;rw15;CITY;Gahana;;
rw203021;rw15;CITY;Cukiro;;
rw203041;rw15;CITY;Busoro;;
rw203069;rw15;CITY;Buhoro;;
rw203105;rw15;CITY;Byimana;;
rw203179;rw15;CITY;Bibungo;;
rw384024;rw15;CITY;Rusasa;;
rw7107123;rw15;CITY;Ruvugizo;;
rw7016131;rw15;CITY;Ryabidandi;;
rw7016244;rw15;CITY;Cyamutumba;;
rw7016374;rw15;CITY;Ubutamenwa;;
rw7049413;rw15;CITY;Kimbogo;;
rw7063311;rw15;CITY;Cyanya;;
rw7600465;rw15;CITY;Nyagihinga;;
rw7664611;rw15;CITY;Kamatongo;;
rw7664715;rw15;CITY;Kakirenzi;;
rw7664734;rw15;CITY;Nyamuli;;
rw7664812;rw15;CITY;Kato;;
rw7664823;rw15;CITY;Munopfu;;
rw201379;rw15;CITY;Tumba;;
rw201401;rw15;CITY;Takwe;;
rw201403;rw15;CITY;Sovu;;
rw201407;rw15;CITY;Simbi;;
rw201410;rw15;CITY;Shyogwe;;
rw201499;rw15;CITY;Runda;;
rw201504;rw15;CITY;Ruli;;
rw201530;rw15;CITY;Rugogwe;;
rw201551;rw15;CITY;Rubona;;
rw201552;rw15;CITY;Rubona;;
rw201564;rw15;CITY;Remera;;
rw201577;rw15;CITY;Nyumba;;
rw201601;rw15;CITY;Nyanza;;
rw201636;rw15;CITY;Nyamabuye;;
rw201651;rw15;CITY;Nyagasozi;;
rw201666;rw15;CITY;Nyabinyenga;;
rw201669;rw15;CITY;Nyabikenke;;
rw201676;rw15;CITY;Ntyazo;;
rw201707;rw15;CITY;Ngoma;;
rw201720;rw15;CITY;Ndago;;
rw201734;rw15;CITY;Mwaka;;
rw201760;rw15;CITY;Musengo;;
rw201791;rw15;CITY;Munyinya;;
rw201796;rw15;CITY;Munazi;;
rw201819;rw15;CITY;Muhororo;;
rw201833;rw15;CITY;Muhambara;;
rw201835;rw15;CITY;Mugote;;
rw201841;rw15;CITY;Mugina;;
rw201851;rw15;CITY;Mpushi;;
rw201936;rw15;CITY;Mayaga;;
rw201948;rw15;CITY;Maraba;;
rw201978;rw15;CITY;Liba;;
rw201999;rw15;CITY;Kivumu;;
rw202001;rw15;CITY;Kivu;;
rw202016;rw15;CITY;Kirwa;;
rw202017;rw15;CITY;Kiruhura;;
rw202035;rw15;CITY;Kinkanga;;
rw202060;rw15;CITY;Kigali;;
rw202074;rw15;CITY;Kibilizi;;
rw202085;rw15;CITY;Kibangu;;
rw202092;rw15;CITY;Kayenzi;;
rw202095;rw15;CITY;Kavumu;;
rw202110;rw15;CITY;Karangara;;
rw202113;rw15;CITY;Karama;;
rw202130;rw15;CITY;Kanazi;;
rw202133;rw15;CITY;Kamonyi;;
rw202184;rw15;CITY;Joma;;
rw202203;rw15;CITY;Gitwe;;
rw202240;rw15;CITY;Gikomero;;
rw202262;rw15;CITY;Gatizo;;
