CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
ws;;COUNTRY;Samoa;;
ws10;ws;REGION;Tuamasaga;;
ws4035236;ws10;CITY;Malie;;
ws4034903;ws10;CITY;Vaiusu;;
ws4034924;ws10;CITY;Vailima;;
ws4034917;ws10;CITY;Vaimoso;;
ws4034930;ws10;CITY;Vaie’e;;
ws4034995;ws10;CITY;Tanugamanono;;
ws4035000;ws10;CITY;Tafitoala;;
ws4035060;ws10;CITY;Sataoa;;
ws4035263;ws10;CITY;Letogo;;
ws4035268;ws10;CITY;Lepea;;
ws4035430;ws10;CITY;Afiamalu;;
ws7106298;ws10;CITY;Lotopa;;
ws7106300;ws10;CITY;Pesega;;
ws7106305;ws10;CITY;Lalovaea;;
ws7106463;ws10;CITY;Vailele;;
ws4035235;ws10;CITY;Malololelei;;
ws7669215;ws10;CITY;Lelata;;
ws00;ws;REGION;;;
ws4035345;ws00;CITY;Faleula;;
ws4035019;ws00;CITY;Siusega;;
ws4034908;ws00;CITY;Vaitele;;
ws4034939;ws00;CITY;Vaiala;;
ws4034957;ws00;CITY;Ulutogia;;
ws4034972;ws00;CITY;Tuana‘i;;
ws4035007;ws00;CITY;Taelefaga;;
ws4035018;ws00;CITY;Siutu;;
ws4035023;ws00;CITY;Siumu Village;;
ws4035042;ws00;CITY;Sauago;;
ws4035064;ws00;CITY;Sapulu;;
ws4035074;ws00;CITY;Samauga;;
ws4035085;ws00;CITY;Salimu;;
ws4035092;ws00;CITY;Salelologa;;
ws4035094;ws00;CITY;Salelavalu-uta;;
ws4035095;ws00;CITY;Sale’imoa;;
ws4035097;ws00;CITY;Salei’a;;
ws4035110;ws00;CITY;Sala’ilua;;
ws4035116;ws00;CITY;Safune;;
ws4035142;ws00;CITY;Pata;;
ws4035153;ws00;CITY;Palauli;;
ws4035172;ws00;CITY;Nuu;;
ws4035192;ws00;CITY;Mulinu’u;;
ws4035197;ws00;CITY;Moto‘otua;;
ws4035200;ws00;CITY;Moata‘a;;
ws4035216;ws00;CITY;Matāutu;;
ws4035248;ws00;CITY;Maasina;;
ws4035250;ws00;CITY;Luatuanu‘u;;
ws4035254;ws00;CITY;Lona;;
ws4035270;ws00;CITY;Lepā;;
ws4035275;ws00;CITY;Lefaga;;
ws4035284;ws00;CITY;Lauli’i;;
ws4035294;ws00;CITY;Lano;;
ws4035323;ws00;CITY;Fuailolo‘o;;
ws4035336;ws00;CITY;Fasito‘otai;;
ws4035346;ws00;CITY;Faleu;;
ws4035365;ws00;CITY;Faleaseela;;
ws4035399;ws00;CITY;A‘ufaga;;
ws4035416;ws00;CITY;Amaile;;
ws7109449;ws00;CITY;Apolimatuai;;
ws7106241;ws00;CITY;Gagaifoolevao;;
ws7106257;ws00;CITY;Matāutu;;
ws7106270;ws00;CITY;Paepae‘alā;;
ws7106285;ws00;CITY;Tafa’igata;;
ws7106297;ws00;CITY;Alafua;;
ws7106313;ws00;CITY;Letava;;
ws7106333;ws00;CITY;Vaito‘omuli;;
ws7106335;ws00;CITY;Mosula;;
ws7106336;ws00;CITY;Pitonuu;;
ws7106342;ws00;CITY;Vaiala;;
ws7106344;ws00;CITY;Siuniu;;
ws7106363;ws00;CITY;Salelavalu-tai;;
ws7106364;ws00;CITY;Vai’afai;;
ws7106367;ws00;CITY;Fatausi;;
