CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
sa;;COUNTRY;Saudi Arabia;;
sa14;sa;REGION;Mecca Region;;
sa105343;sa14;CITY;Jeddah;;
sa107968;sa14;CITY;Ta'if;;
sa410096;sa14;CITY;Ash Shafā;;
sa101322;sa14;CITY;Turabah;;
sa103035;sa14;CITY;Rābigh;;
sa109417;sa14;CITY;Al Jumūm;;
sa410084;sa14;CITY;Al Hadā;;
sa413790;sa14;CITY;Al Fayḑah;;
sa413791;sa14;CITY;Al Yamānīyah;;
sa413792;sa14;CITY;Al Rabwah;;
sa413794;sa14;CITY;Ar Rabwah as Suflá;;
sa413795;sa14;CITY;Al Ḩarrā’;;
sa413798;sa14;CITY;Ash Shi‘b;;
sa413799;sa14;CITY;Al Muqr;;
sa413800;sa14;CITY;Nuzlat al Faqīn;;
sa413801;sa14;CITY;Az Zurra‘;;
sa413802;sa14;CITY;Al Ghūlah;;
sa414385;sa14;CITY;Aţ Ţurqī;;
sa409507;sa14;CITY;As Sudayrah;;
sa409549;sa14;CITY;Nughayshīyah;;
sa409682;sa14;CITY;Thuwal;;
sa409939;sa14;CITY;Mushrif;;
sa409944;sa14;CITY;Dughaybjah;;
sa409993;sa14;CITY;Al Muwayh;;
sa410050;sa14;CITY;Baḩrat al Qadīmah;;
sa410052;sa14;CITY;Az̧ Z̧ilāl;;
sa410053;sa14;CITY;Al Ḩamīmah;;
sa410059;sa14;CITY;Ash Shāmīyah;;
sa410062;sa14;CITY;Sharā’i‘ al Mujāhidīn;;
sa410063;sa14;CITY;Ash Shajwah;;
sa410064;sa14;CITY;Ḩādhah;;
sa410065;sa14;CITY;Al Ju‘rānah;;
sa410070;sa14;CITY;As Sifyānī;;
sa410088;sa14;CITY;As Sayl aş Şaghīr;;
sa410089;sa14;CITY;Al Masarrah;;
sa410090;sa14;CITY;Al Ḩalaqah;;
sa410180;sa14;CITY;Ḩajur;;
sa411304;sa14;CITY;Al Qirshān;;
sa411305;sa14;CITY;Al Mundassah;;
sa411306;sa14;CITY;Al Khalaş;;
sa411307;sa14;CITY;Ad Dabbah;;
sa411309;sa14;CITY;Al Khulāşah;;
sa411311;sa14;CITY;Az Zughbah;;
sa411312;sa14;CITY;Mashajjī;;
sa411313;sa14;CITY;Ar Rawḑah ash Shamālīyah;;
sa411314;sa14;CITY;Ash Shaybī;;
sa411315;sa14;CITY;Suways;;
sa411317;sa14;CITY;Az Zuwayb;;
sa411320;sa14;CITY;Ḩalamah;;
sa411322;sa14;CITY;Julayyil;;
sa411324;sa14;CITY;Al Jid‘;;
sa411326;sa14;CITY;Al Fazz;;
sa411327;sa14;CITY;Al Maghal;;
sa411331;sa14;CITY;Al Kidwah;;
sa411333;sa14;CITY;Ad Dawḩ;;
sa411334;sa14;CITY;Abū Qirfah;;
