CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
sn;;COUNTRY;Senegal;;
sn03;sn;REGION;Diourbel;;
sn2244322;sn03;CITY;Touba;;
sn2244616;sn03;CITY;Tiébo;;
sn2248698;sn03;CITY;Mbaké;;
sn2247106;sn03;CITY;Ogo;;
sn7670740;sn03;CITY;Bambey;;
sn2249794;sn03;CITY;Koki Gouye;;
sn2254314;sn03;CITY;Bambey;;
sn2245054;sn03;CITY;Taïba Moutoufa;;
sn2248255;sn03;CITY;Mosladji I;;
sn2249382;sn03;CITY;Langar Deune;;
sn2250030;sn03;CITY;Keur Samba Kane;;
sn2250374;sn03;CITY;Keur Galgou;;
sn2252148;sn03;CITY;Donkadé;;
sn2254584;sn03;CITY;Ba Bleul;;
sn2246889;sn03;CITY;Pafène;;
sn2247505;sn03;CITY;Ngaraf;;
sn2247754;sn03;CITY;Ndindi Abdou;;
sn2247755;sn03;CITY;Ndindi;;
sn2248560;sn03;CITY;Mbèye;;
sn2250298;sn03;CITY;Keur Madiop;;
sn2248254;sn03;CITY;Mosladji II;;
sn2248385;sn03;CITY;Méri Mbaké;;
sn2248395;sn03;CITY;Mèoudou Kane;;
sn2248506;sn03;CITY;Mboubane;;
sn2248577;sn03;CITY;Mbenguène;;
sn2248629;sn03;CITY;Mbayène;;
sn2248648;sn03;CITY;Mbayar;;
sn2248700;sn03;CITY;Mbakakak;;
sn2248728;sn03;CITY;Mba Aïssa;;
sn2249191;sn03;CITY;Loukourèye;;
sn2249362;sn03;CITY;Layabé;;
sn2249383;sn03;CITY;Langar;;
sn2249448;sn03;CITY;Krapsou;;
sn2249718;sn03;CITY;Kontor;;
sn2249737;sn03;CITY;Kondié;;
sn2249821;sn03;CITY;Koèl;;
sn2249853;sn03;CITY;Koba;;
sn2250002;sn03;CITY;Keur Sel;;
sn2250034;sn03;CITY;Keur Samba Gaye;;
sn2250053;sn03;CITY;Keur Saer Gom;;
sn2250104;sn03;CITY;Keur Ndiaye;;
sn2250108;sn03;CITY;Keur Ndiak;;
sn2250221;sn03;CITY;Keur Masser;;
sn2250332;sn03;CITY;Keur Khali Rhone;;
sn2250419;sn03;CITY;Keur Demmba;;
sn2250823;sn03;CITY;Kankane;;
sn2250825;sn03;CITY;Kanka;;
sn2250873;sn03;CITY;Kandiar;;
sn2250939;sn03;CITY;Kalom;;
sn2251256;sn03;CITY;Guiéki Pinkiou;;
sn2251273;sn03;CITY;Gueut;;
sn2251335;sn03;CITY;Grinièl;;
sn2251371;sn03;CITY;Gourgourène;;
sn2251421;sn03;CITY;Goundiogué;;
sn2251422;sn03;CITY;Goundiogou;;
sn2251480;sn03;CITY;Goudé;;
sn2251570;sn03;CITY;Goane;;
sn2251593;sn03;CITY;Gaye;;
sn2251595;sn03;CITY;Gawane;;
sn2251620;sn03;CITY;Gati;;
sn2251647;sn03;CITY;Garam Fal;;
sn2251729;sn03;CITY;Galbé;;
sn2251765;sn03;CITY;Gade;;
sn2251844;sn03;CITY;Finntel;;
sn2251864;sn03;CITY;Fétodji;;
sn2251922;sn03;CITY;Fassel;;
sn2252303;sn03;CITY;Diouroulé;;
sn2252331;sn03;CITY;Diouma;;
sn2252397;sn03;CITY;Diopam;;
sn2252417;sn03;CITY;Diomb II;;
sn2252418;sn03;CITY;Diomb I;;
sn2252435;sn03;CITY;Diokour;;
sn2252500;sn03;CITY;Dinguiraye;;
sn2252514;sn03;CITY;Dimbou;;
sn2252537;sn03;CITY;Diguel;;
sn2252583;sn03;CITY;Diédègne;;
sn2252611;sn03;CITY;Diavélé;;
sn2252647;sn03;CITY;Diarno;;
sn2252668;sn03;CITY;Diarao;;
sn2252690;sn03;CITY;Diaoré;;
sn2252747;sn03;CITY;Diam Sine;;
sn2252761;sn03;CITY;Diamène;;
sn2252799;sn03;CITY;Diamane;;
sn2252828;sn03;CITY;Dialo;;
sn2252848;sn03;CITY;Dialap;;
sn2252863;sn03;CITY;Dialakar;;
sn2253115;sn03;CITY;Darou Tioum;;
