CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
sl;;COUNTRY;Sierra Leone;;
sl01;sl;REGION;Eastern Province;;
sl2407656;sl01;CITY;Koidu;;
sl2402816;sl01;CITY;Yengema;;
sl2404041;sl01;CITY;Segbwema;;
sl2408250;sl01;CITY;Kailahun;;
sl2403324;sl01;CITY;Tombodu;;
sl2404614;sl01;CITY;Pendembu;;
sl2404663;sl01;CITY;Panguma;;
sl2405038;sl01;CITY;Motema;;
sl2409663;sl01;CITY;Daru;;
sl2410040;sl01;CITY;Boajibu;;
sl2410312;sl01;CITY;Barma;;
sl2402817;sl01;CITY;Yengema;;
sl2402826;sl01;CITY;Yenga;;
sl2402943;sl01;CITY;Kambadu;;
sl2402944;sl01;CITY;Yomandu;;
sl2403051;sl01;CITY;Woama;;
sl2403513;sl01;CITY;Tefeya;;
sl2404045;sl01;CITY;Segbema;;
sl2404472;sl01;CITY;Koyima;;
sl2404674;sl01;CITY;Pandebu;;
sl2405040;sl01;CITY;Motema;;
sl2407642;sl01;CITY;Koindu;;
sl2407644;sl01;CITY;Koindu;;
sl2407654;sl01;CITY;Koidu;;
sl2408019;sl01;CITY;Kangama;;
sl2408020;sl01;CITY;Kangama;;
sl2409199;sl01;CITY;Pendembu;;
sl2409376;sl01;CITY;Foindu;;
sl2409438;sl01;CITY;Foindu;;
sl2409664;sl01;CITY;Daru;;
sl2409751;sl01;CITY;Buedu;;
sl10040853;sl01;CITY;Njagbuema;;
sl10041261;sl01;CITY;Motema;;
sl2403525;sl01;CITY;Tawi;;
sl2403708;sl01;CITY;Yima;;
sl2403881;sl01;CITY;Siwaia;;
sl2403895;sl01;CITY;Serabu;;
sl2404069;sl01;CITY;Swai Sawakor;;
sl2404168;sl01;CITY;Sarlu;;
sl2404418;sl01;CITY;Poyama;;
sl2404718;sl01;CITY;Nyandawao;;
sl2404876;sl01;CITY;Giehun;;
sl2405347;sl01;CITY;Mobai;;
sl2405358;sl01;CITY;Tawi;;
sl2405952;sl01;CITY;Manowa;;
sl2406083;sl01;CITY;Manduvulahun;;
sl2406310;sl01;CITY;Makor;;
sl2407110;sl01;CITY;Kwedu;;
sl2407309;sl01;CITY;Kpeima;;
sl2407330;sl01;CITY;Kpandobu;;
sl2407556;sl01;CITY;Kunduma;;
sl2407775;sl01;CITY;Kenjama;;
sl2408157;sl01;CITY;Kamayeima;;
sl2408399;sl01;CITY;Jojoima;;
sl2408493;sl01;CITY;Njaiama;;
sl2408494;sl01;CITY;Njaiama-Sewafe;;
sl2408575;sl01;CITY;Helegohun;;
sl2408791;sl01;CITY;Grima;;
sl2408871;sl01;CITY;Ngeworjahun;;
sl2408909;sl01;CITY;Ngeblama;;
sl2409053;sl01;CITY;Yibeima;;
sl2409121;sl01;CITY;Gbanfawon;;
sl2409473;sl01;CITY;Fanema;;
sl2409653;sl01;CITY;Deima;;
sl2409701;sl01;CITY;Fuadu;;
sl2409754;sl01;CITY;Njalla;;
sl2409778;sl01;CITY;Bobobu;;
sl2409783;sl01;CITY;Bunumbu;;
sl2410065;sl01;CITY;Blama;;
sl2410351;sl01;CITY;Baoma;;
sl2410667;sl01;CITY;Bagbema;;
sl2410689;sl01;CITY;Babawahun;;
sl2402706;sl01;CITY;Yovohun;;
sl2402713;sl01;CITY;Yumboma;;
sl2402738;sl01;CITY;Senjekoro;;
sl2402739;sl01;CITY;Jombohun;;
sl2402744;sl01;CITY;Yomadu;;
sl2402755;sl01;CITY;Yuabu;;
sl2402760;sl01;CITY;Vituma;;
sl2402761;sl01;CITY;Baima;;
sl2402779;sl01;CITY;Yeikado;;
sl2402790;sl01;CITY;Mabwema;;
sl2402792;sl01;CITY;Yibaima;;
sl2402799;sl01;CITY;Yelendu;;
sl2402812;sl01;CITY;Yengema;;
sl2402813;sl01;CITY;Yengema;;
sl2402834;sl01;CITY;Yendeh;;
sl2402883;sl01;CITY;Yawando;;
sl2402894;sl01;CITY;Yarya;;
sl2402898;sl01;CITY;Yaradu;;
sl2402920;sl01;CITY;Yendema;;
sl2402921;sl01;CITY;Nyandehun;;
sl2402925;sl01;CITY;Nyandawalo;;
sl2402928;sl01;CITY;Nyandehun;;
sl2402929;sl01;CITY;Nyandehun;;
sl2402940;sl01;CITY;Yombolu;;
sl2402941;sl01;CITY;Nyamaor;;
sl2402948;sl01;CITY;Yamadu;;
sl2402949;sl01;CITY;Yomadu;;
sl2402953;sl01;CITY;Yaama;;
sl2402957;sl01;CITY;Dasalaam;;
sl2402967;sl01;CITY;Yalamba;;
sl2402973;sl01;CITY;Yardu Seneor;;
sl2402983;sl01;CITY;Wondedu;;
sl2402989;sl01;CITY;Bombohun;;
sl2403011;sl01;CITY;Wade;;
sl2403018;sl01;CITY;Woromo;;
sl2403023;sl01;CITY;Wurkaw;;
sl2403035;sl01;CITY;Wonia;;
sl2403040;sl01;CITY;Woloma;;
sl2403056;sl01;CITY;Wima;;
sl2403080;sl01;CITY;Weilo;;
sl2403084;sl01;CITY;Weh;;
sl2403117;sl01;CITY;Wanjama;;
sl2403123;sl01;CITY;Komalu;;
sl2403148;sl01;CITY;Waiyai;;
sl2403149;sl01;CITY;Waimatokpombu;;
sl2403168;sl01;CITY;Vengema;;
sl2403179;sl01;CITY;Vaama;;
sl2403181;sl01;CITY;Varama-Jene;;
sl2403184;sl01;CITY;Vandema;;
sl2403185;sl01;CITY;Vaama;;
sl2403224;sl01;CITY;Jolobu;;
sl2403227;sl01;CITY;Tungie;;
sl2403238;sl01;CITY;Tumgbekor;;
sl2403246;sl01;CITY;Tombonswa;;
sl2403254;sl01;CITY;Tukoyiema;;
sl2403269;sl01;CITY;Torwa;;
sl2403275;sl01;CITY;Tiso;;
sl2403279;sl01;CITY;Torobu;;
sl2403300;sl01;CITY;Tongoma;;
sl2403310;sl01;CITY;Tongbodo;;
sl2403322;sl01;CITY;Tombu;;
sl2403340;sl01;CITY;Nyadehun;;
sl2403343;sl01;CITY;Sokibu;;
sl2403346;sl01;CITY;Torwoh;;
sl2403355;sl01;CITY;Tokbombu;;
sl2403356;sl01;CITY;Ngokpombu;;
sl2403382;sl01;CITY;Tobanda;;
sl2403429;sl01;CITY;Tioma;;
sl2403451;sl01;CITY;Taindu;;
sl2403453;sl01;CITY;Teama;;
sl2403460;sl01;CITY;Taiama;;
sl2403491;sl01;CITY;Temesadu;;
sl2403509;sl01;CITY;Teilu;;
sl2403512;sl01;CITY;Tigbadu;;
sl2403557;sl01;CITY;Taninahun;;
sl2403568;sl01;CITY;Taninahun;;
sl2403593;sl01;CITY;Tangabu;;
sl2403638;sl01;CITY;Teiko;;
