CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
sk;;COUNTRY;Slovakia;;
sk08;sk;REGION;Žilinský kraj;;
sk3058637;sk08;CITY;Mošovce;;
sk3057301;sk08;CITY;Svätý Kríž;;
sk3059050;sk08;CITY;Liptovský Mikuláš;;
sk3059053;sk08;CITY;Liptovský Hrádok;;
sk3061104;sk08;CITY;Bešeňová;;
sk3056683;sk08;CITY;Vrútky;;
sk3056730;sk08;CITY;Vlkolínec;;
sk3057069;sk08;CITY;Turzovka;;
sk3057108;sk08;CITY;Trstená;;
sk3058981;sk08;CITY;Lúčky;;
sk3059106;sk08;CITY;Leštiny;;
sk3059418;sk08;CITY;Konská;;
sk3059741;sk08;CITY;Jakubovany;;
sk3057212;sk08;CITY;Terchová;;
sk3057910;sk08;CITY;Rajec;;
sk3058012;sk08;CITY;Pribylina;;
sk3058368;sk08;CITY;Oravský Podzámok;;
sk3058515;sk08;CITY;Nižná;;
sk3059292;sk08;CITY;Krasňany;;
sk3059803;sk08;CITY;Hybe;;
sk6559492;sk08;CITY;Oravská Lesná;;
sk3056464;sk08;CITY;Zubrohlava;;
sk3056467;sk08;CITY;Zuberec;;
sk3056524;sk08;CITY;Žiar;;
sk3056558;sk08;CITY;Zbyňov;;
sk3056560;sk08;CITY;Zborov nad Bystricou;;
sk3056565;sk08;CITY;Zázrivá;;
sk3056571;sk08;CITY;Závažná Poruba;;
sk3056582;sk08;CITY;Žaškov;;
sk3056607;sk08;CITY;Zákopčie;;
sk3056610;sk08;CITY;Zákamenné;;
sk3056628;sk08;CITY;Záborie;;
sk3056630;sk08;CITY;Žabokreky;;
sk3056632;sk08;CITY;Zábiedovo;;
sk3056642;sk08;CITY;Vysoká nad Kysucou;;
sk3056655;sk08;CITY;Vyšný Kubín;;
sk3056664;sk08;CITY;Vyšná Boca;;
sk3056676;sk08;CITY;Východná;;
sk3056688;sk08;CITY;Vrícko;;
sk3056746;sk08;CITY;Vlachy;;
sk3056749;sk08;CITY;Vitanová;;
sk3056754;sk08;CITY;Višňové;;
sk3056790;sk08;CITY;Veterná Poruba;;
sk3056842;sk08;CITY;Veľký Čepčín;;
sk3056862;sk08;CITY;Veľké Rovné;;
sk3056892;sk08;CITY;Veľké Borové;;
sk3056931;sk08;CITY;Veľká Čierna;;
sk3056940;sk08;CITY;Veličná;;
sk3056947;sk08;CITY;Važec;;
sk3056948;sk08;CITY;Vavrišovo;;
sk3056949;sk08;CITY;Vavrečka;;
sk3056952;sk08;CITY;Vasiľov;;
sk3056959;sk08;CITY;Varín;;
sk3056977;sk08;CITY;Valča;;
sk3056978;sk08;CITY;Valaská Dubová;;
sk3057045;sk08;CITY;Uhorská Ves;;
sk3057075;sk08;CITY;Turík;;
sk3057080;sk08;CITY;Turie;;
sk3057087;sk08;CITY;Turčianske Kľačany;;
sk3057089;sk08;CITY;Turany;;
sk3057106;sk08;CITY;Trstené;;
sk3057112;sk08;CITY;Trnovo;;
sk3057115;sk08;CITY;Trnové;;
sk3057153;sk08;CITY;Trebostovo;;
sk3057217;sk08;CITY;Teplička nad Váhom;;
sk3057247;sk08;CITY;ťapešovo;;
sk3057269;sk08;CITY;Svrčinovec;;
sk3057271;sk08;CITY;Švošov;;
sk3057286;sk08;CITY;Svederník;;
sk3057329;sk08;CITY;Šútovo;;
sk3057341;sk08;CITY;Súľov-Hradná;;
sk3057354;sk08;CITY;Šuja;;
sk3057374;sk08;CITY;Sučany;;
sk3057412;sk08;CITY;Strečno;;
sk3057422;sk08;CITY;Stráža;;
sk3057426;sk08;CITY;Stránske;;
sk3057429;sk08;CITY;Stráňavy;;
sk3057441;sk08;CITY;Štiavnik;;
sk3057446;sk08;CITY;Štiavnička;;
sk3057465;sk08;CITY;Staškov;;
sk3057492;sk08;CITY;Stará Bystrica;;
sk3057494;sk08;CITY;Stankovany;;
sk3057528;sk08;CITY;Sokolče;;
sk3057533;sk08;CITY;Socovce;;
sk3057539;sk08;CITY;Snežnica;;
sk3057547;sk08;CITY;Smrečany;;
sk3057560;sk08;CITY;Slovenské Pravno;;
sk3057566;sk08;CITY;Slovany;;
sk3057614;sk08;CITY;Sklené;;
sk3057617;sk08;CITY;Sklabinský Podzámok;;
sk3057618;sk08;CITY;Sklabiňa;;
sk3057627;sk08;CITY;Skalité;;
sk3057675;sk08;CITY;Sihelné;;
sk3057713;sk08;CITY;Sedliacka Dubová;;
sk3057801;sk08;CITY;Rudno;;
sk3057805;sk08;CITY;Rudinská;;
sk3057806;sk08;CITY;Rudinka;;
sk3057807;sk08;CITY;Rudina;;
sk3057837;sk08;CITY;Rosina;;
sk3057887;sk08;CITY;Ratkovo;;
sk3057896;sk08;CITY;Rakša;;
sk3057897;sk08;CITY;Rakovo;;
sk3057903;sk08;CITY;Raková;;
sk3057908;sk08;CITY;Rajecké Teplice;;
sk3057909;sk08;CITY;Rajecká Lesná;;
sk3057918;sk08;CITY;Radôstka;;
sk3057924;sk08;CITY;Radola;;
sk3057933;sk08;CITY;Rabčice;;
sk3057934;sk08;CITY;Rabča;;
sk3057962;sk08;CITY;Pucov;;
sk3057979;sk08;CITY;Prosiek;;
sk3058014;sk08;CITY;Príbovce;;
sk3058017;sk08;CITY;Pribiš;;
sk3058031;sk08;CITY;Predmier;;
sk3058054;sk08;CITY;Povina;;
sk3058064;sk08;CITY;Potok;;
sk3058068;sk08;CITY;Porúbka;;
sk3058103;sk08;CITY;Pokryváč;;
sk3058114;sk08;CITY;Podvysoká;;
sk3058119;sk08;CITY;Podtureň;;
sk3058141;sk08;CITY;Podhradie;;
sk3058146;sk08;CITY;Podhorie;;
sk3058157;sk08;CITY;Podbiel;;
sk3058217;sk08;CITY;Petrovice;;
sk3058249;sk08;CITY;Pavlova Ves;;
sk3058254;sk08;CITY;Pavčina Lehota;;
sk3058265;sk08;CITY;Paština Závada;;
sk3058269;sk08;CITY;Partizánska ľupča;;
sk3058271;sk08;CITY;Párnica;;
sk3058313;sk08;CITY;Ovčiarsko;;
sk3058354;sk08;CITY;Oščadnica;;
sk3058355;sk08;CITY;Osádka;;
sk3058369;sk08;CITY;Oravský Biely Potok;;
sk3058370;sk08;CITY;Oravské Veselé;;
sk3058372;sk08;CITY;Oravská Polhora;;
sk3058374;sk08;CITY;Oravská Lesná;;
sk3058398;sk08;CITY;Ondrašová;;
sk3058407;sk08;CITY;Olešná;;
sk3058421;sk08;CITY;Ochodnica;;
sk3058468;sk08;CITY;Novoť;;
sk3058497;sk08;CITY;Nová Bystrica;;
sk3058501;sk08;CITY;Nolčovo;;
sk3058509;sk08;CITY;Nižné Malatíny;;
sk3058514;sk08;CITY;Nižná Boca;;
sk3058535;sk08;CITY;Nezbudská Lúčka;;
sk3058542;sk08;CITY;Nesluša;;
sk3058563;sk08;CITY;Nededza;;
sk3058569;sk08;CITY;Necpaly;;
sk3058615;sk08;CITY;Mutné;;
sk3058639;sk08;CITY;Moškovec;;
sk3058652;sk08;CITY;Mojš;;
sk3058745;sk08;CITY;Medzibrodie nad Oravou;;
sk3058777;sk08;CITY;Martinček;;
sk3058819;sk08;CITY;Malý Čepčín;;
sk3058823;sk08;CITY;Malužiná;;
sk3058868;sk08;CITY;Malé Borové;;
sk3058877;sk08;CITY;Malatiná;;
sk3058898;sk08;CITY;Malá Čierna;;
sk3058909;sk08;CITY;Makov;;
sk3058945;sk08;CITY;Lysica;;
sk3058956;sk08;CITY;Lutiše;;
sk3058976;sk08;CITY;Ludrová;;
sk3058997;sk08;CITY;Ľubochňa;;
sk3059003;sk08;CITY;ľubeľa;;
sk3059011;sk08;CITY;Lopušné Pažite;;
sk3059026;sk08;CITY;Lomná;;
sk3059028;sk08;CITY;Lokca;;
sk3059033;sk08;CITY;Lodno;;
sk3059045;sk08;CITY;Lisková;;
sk3059046;sk08;CITY;Liptovský Trnovec;;
sk3059048;sk08;CITY;Liptovský Ondrej;;
sk3059051;sk08;CITY;Liptovský Michal;;
