CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
si;;COUNTRY;Slovenia;;
siJ9;si;REGION;Piran-Pirano;;
si3192682;siJ9;CITY;Portorož;;
si3343512;siJ9;CITY;Lucija;;
si3200849;siJ9;CITY;Fjesa;;
si8986862;siJ9;CITY;Seča;;
si3343509;siJ9;CITY;Dragonja;;
si3216109;siJ9;CITY;Sv. Peter;;
si3193727;siJ9;CITY;Padna;;
si3194400;siJ9;CITY;Nova Vas nad Dragonjo;;
si3189668;siJ9;CITY;Strunjan;;
si3191184;siJ9;CITY;Sečovlje;;
si8986865;siJ9;CITY;Parecag;;
si01;si;REGION;Ajdovščina;;
si3196268;si01;CITY;Lokavec;;
si3192993;si01;CITY;Podkraj;;
si3186775;si01;CITY;Žapuže;;
si3187486;si01;CITY;Vodice;;
si3187658;si01;CITY;Višnje;;
si3187704;si01;CITY;Vipavski Križ;;
si3188114;si01;CITY;Velike Žablje;;
si3202434;si01;CITY;Črniče;;
si3203140;si01;CITY;Budanje;;
si3204352;si01;CITY;Bela;;
si3343537;si01;CITY;Tevče;;
si3343545;si01;CITY;Gojače;;
si3216524;si01;CITY;Batuje;;
si3216541;si01;CITY;Koboli;;
si3216544;si01;CITY;Zavino;;
si3200782;si01;CITY;Gaberje;;
si3201958;si01;CITY;Dobravlje;;
si3198359;si01;CITY;Kamnje;;
si3191846;si01;CITY;Ravne;;
si3193260;si01;CITY;Planina;;
si3188456;si01;CITY;Ustje;;
si3189814;si01;CITY;Stomaž;;
si3190513;si01;CITY;Šmarje;;
si3190682;si01;CITY;Skrilje;;
si3191088;si01;CITY;Selo;;
si8989733;si01;CITY;Brje;;
si8989736;si01;CITY;Male Žablje;;
si8989800;si01;CITY;Dolenje;;
si8986905;si01;CITY;Cesta;;
si8986916;si01;CITY;Vrtovin;;
si8987013;si01;CITY;Dolga Poljana;;
si8987221;si01;CITY;Potoče;;
si8987597;si01;CITY;Malovše;;
si8987598;si01;CITY;Žagolič;;
si8987683;si01;CITY;Vrtovče;;
si8987696;si01;CITY;Kožmani;;
si8988124;si01;CITY;Malo Polje;;
