CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
sb;;COUNTRY;Solomon Islands;;
sb00;sb;REGION;;;
sb2178537;sb00;CITY;Puma;;
sb2178562;sb00;CITY;Paeu;;
sb2103571;sb00;CITY;Seghe;;
sb2103826;sb00;CITY;Ruaniu;;
sb2103973;sb00;CITY;Reko;;
sb2104266;sb00;CITY;Piundava;;
sb2105575;sb00;CITY;Munda;;
sb2106030;sb00;CITY;Mbatuna;;
sb2106317;sb00;CITY;Maravovo;;
sb2106427;sb00;CITY;Mangakiki;;
sb2106474;sb00;CITY;Mamarei;;
sb2106519;sb00;CITY;Malevangga;;
sb2106687;sb00;CITY;Lungga;;
sb2106947;sb00;CITY;Laovavasa;;
sb2107116;sb00;CITY;Kusini;;
sb2107634;sb00;CITY;Kologhona;;
sb2107748;sb00;CITY;Kokamau;;
sb2108119;sb00;CITY;Kamaosi;;
sb2101593;sb00;CITY;Yandina;;
sb2101875;sb00;CITY;Visale;;
sb2101889;sb00;CITY;Vilu;;
sb2101942;sb00;CITY;Veralevuha;;
sb2102014;sb00;CITY;Vatupilei;;
sb2102315;sb00;CITY;Tuvaruhu;;
sb2113914;sb00;CITY;Ranongga;;
sb2109381;sb00;CITY;Chinatown;;
sb2109468;sb00;CITY;Chapuru;;
sb2105917;sb00;CITY;Mbilua;;
sb2109736;sb00;CITY;Aruliho;;
sb2178489;sb00;CITY;Tanimbili;;
sb2178567;sb00;CITY;Oneibia;;
sb2178568;sb00;CITY;Onehatare;;
sb2178601;sb00;CITY;Nembao;;
sb2178615;sb00;CITY;Nataghera;;
sb2178651;sb00;CITY;Nafinuatogho;;
sb2178656;sb00;CITY;Mwaniwowo;;
sb2178660;sb00;CITY;Mwanibwaghosu;;
sb2178748;sb00;CITY;Lavaka;;
sb2178756;sb00;CITY;Kaonasughu;;
sb2178809;sb00;CITY;Ghupuna;;
sb2178862;sb00;CITY;Asimaenioha;;
sb2178870;sb00;CITY;Apaone Village;;
sb2103762;sb00;CITY;Saikile;;
sb2103987;sb00;CITY;Ravu Sondu Ulu;;
sb2104209;sb00;CITY;Poporo;;
sb2104253;sb00;CITY;Poianiho;;
sb2104331;sb00;CITY;Pienuna;;
sb2104603;sb00;CITY;Oteotea;;
sb2104655;sb00;CITY;Onitewa;;
sb2104745;sb00;CITY;Oiniha’a;;
sb2104905;sb00;CITY;Njarivonggangga;;
sb2104946;sb00;CITY;Niumeli;;
sb2105051;sb00;CITY;Nggiluniuna;;
sb2105253;sb00;CITY;Ndoma;;
sb2105557;sb00;CITY;Mwadjo’a;;
sb2105720;sb00;CITY;Mburuku;;
sb2105751;sb00;CITY;Mbumbughoro;;
sb2105805;sb00;CITY;Mboroni;;
sb2105828;sb00;CITY;Mbonala;;
sb2105834;sb00;CITY;Mbomboe;;
sb2105865;sb00;CITY;Mbokolonga;;
sb2105898;sb00;CITY;Mbita’ama;;
sb2105926;sb00;CITY;Mbili;;
sb2106009;sb00;CITY;Mbelagha;;
sb2106070;sb00;CITY;Mbarakoma;;
sb2106224;sb00;CITY;Matekolukolu;;
sb2106252;sb00;CITY;Matakwaisuu;;
sb2106354;sb00;CITY;Maraeva;;
sb2106443;sb00;CITY;Mandekachu;;
sb2106574;sb00;CITY;Makile;;
sb2106666;sb00;CITY;Luvunambuli;;
sb2107138;sb00;CITY;Kunjo;;
sb2107198;sb00;CITY;Kukundu;;
sb2107212;sb00;CITY;Kuila;;
sb2107351;sb00;CITY;Kondodhau;;
sb2107382;sb00;CITY;Komunimboko;;
sb2107430;sb00;CITY;Kombito;;
sb2107456;sb00;CITY;Kolumbaghea;;
sb2107569;sb00;CITY;Kololauvi;;
sb2107639;sb00;CITY;Kologhalivei;;
sb2107650;sb00;CITY;Kolochulu;;
sb2107711;sb00;CITY;Kokomuruka;;
sb2107746;sb00;CITY;Kokenggolo;;
sb2107754;sb00;CITY;Koilotumuria;;
sb2107805;sb00;CITY;Koache;;
sb2108254;sb00;CITY;Isuna;;
sb2108256;sb00;CITY;Isuisu;;
sb2108437;sb00;CITY;Houroho;;
sb2108488;sb00;CITY;Hopongo;;
sb2108876;sb00;CITY;Ghulavu;;
sb2108896;sb00;CITY;Ghorambau;;
sb2108899;sb00;CITY;Ghombua;;
sb2108931;sb00;CITY;Gheghende;;
sb2108939;sb00;CITY;Ghavagha;;
sb2108978;sb00;CITY;Ghaliatu;;
sb2108983;sb00;CITY;Ghaisere;;
sb2101568;sb00;CITY;Ziata;;
sb2101926;sb00;CITY;Veravaolu;;
sb2101948;sb00;CITY;Veralava;;
sb2101952;sb00;CITY;Verakauraghinia;;
sb2101956;sb00;CITY;Verahue;;
sb2101962;sb00;CITY;Veraghalea;;
sb2102030;sb00;CITY;Vatumbora;;
sb2102278;sb00;CITY;Ulusughu;;
sb2102363;sb00;CITY;Tumulighohu;;
sb2102627;sb00;CITY;Tenaru;;
sb2102702;sb00;CITY;Tavala;;
sb2102744;sb00;CITY;Tatamba;;
sb2102766;sb00;CITY;Tasiloki;;
sb2102798;sb00;CITY;Tarapaina;;
sb2102843;sb00;CITY;Taombo;;
sb2102925;sb00;CITY;Tanahai;;
sb2103045;sb00;CITY;Takongga;;
