CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
so;;COUNTRY;Somalia;;
so20;so;REGION;Woqooyi Galbeed;;
so64435;so20;CITY;Berbera;;
so58831;so20;CITY;Gebiley;;
so59878;so20;CITY;Faraweyne;;
so62178;so20;CITY;Dacarbudhug;;
so65505;so20;CITY;Arabsiyo;;
so65722;so20;CITY;Agabar;;
so66032;so20;CITY;Abaarso;;
so51228;so20;CITY;Tog Wajaale;;
so52849;so20;CITY;Qoton-Dabo;;
so50074;so20;CITY;Xaraf;;
so9259237;so20;CITY;Gabiley;;
so64325;so20;CITY;Bilel Tobaneh;;
so55102;so20;CITY;Lafaruug;;
so58711;so20;CITY;Gèeri;;
so59283;so20;CITY;Galooley;;
so59490;so20;CITY;Gadhyogol;;
so60935;so20;CITY;Laas Dhuure;;
so61832;so20;CITY;Dararweyne;;
so61851;so20;CITY;Daragodle;;
so63365;so20;CITY;Cadaadley;;
so50166;so20;CITY;Xamaas;;
so50223;so20;CITY;Xagal;;
so52228;so20;CITY;Saley;;
so52250;so20;CITY;Salahly;;
so52847;so20;CITY;Qotonweyn;;
so57802;so20;CITY;Gumbura;;
so60215;so20;CITY;Einleh;;
so62799;so20;CITY;Ceel Dhaareed;;
so64555;so20;CITY;Batalaale;;
so51518;so20;CITY;Sool Midgaan;;
so51571;so20;CITY;Siyaara;;
so53522;so20;CITY;Nasseeye;;
so53524;so20;CITY;Nasiyeh Kado;;
so54508;so20;CITY;Magaalo;;
so55970;so20;CITY;Kalabaydh;;
so56404;so20;CITY;Jaleelo;;
so56637;so20;CITY;Illinta Dhexe;;
so56644;so20;CITY;Ilka Weyne;;
so56733;so20;CITY;Idhan;;
so56919;so20;CITY;Horahaadley;;
so57632;so20;CITY;Habaasweyne;;
so57756;so20;CITY;Gurayar;;
so58096;so20;CITY;Goryo;;
so58179;so20;CITY;Goonle;;
so58334;so20;CITY;Gogaysa;;
so58335;so20;CITY;Gogaysi;;
so58552;so20;CITY;Gibil-ku-Dirir;;
so58675;so20;CITY;Geli-Darxumo;;
so58798;so20;CITY;Geed Abeerah;;
so59695;so20;CITY;Fooda;;
so59938;so20;CITY;Fahday;;
so59950;so20;CITY;Fadhixum;;
so60813;so20;CITY;Diini Goobaale;;
so61034;so20;CITY;Dhubbato;;
so61673;so20;CITY;Dayma Shiikh;;
so61800;so20;CITY;Darfacle;;
so61993;so20;CITY;Dalooldho;;
so62164;so20;CITY;Dacawalay;;
so62868;so20;CITY;Cayngala;;
so64800;so20;CITY;Bandar Wanaag;;
so65089;so20;CITY;Baceyga;;
so65449;so20;CITY;Argeeg;;
so65450;so20;CITY;Argeeg;;
so50468;so20;CITY;Waxaralis;;
so50762;so20;CITY;Wadabariis;;
so50983;so20;CITY;Ugaadhyahay;;
so51217;so20;CITY;Toon;;
so51280;so20;CITY;Teysa;;
so51793;so20;CITY;Shiikh Maldha;;
so51806;so20;CITY;Shiikh Abdaal;;
so52978;so20;CITY;Qoolka;;
so52984;so20;CITY;Qool Cadday;;
so53258;so20;CITY;Qabri Dhaweyd;;
so54140;so20;CITY;Mashruuca Tog-Wajaale;;
so54323;so20;CITY;Maraaga;;
so54362;so20;CITY;Mandheera;;
so54705;so20;CITY;Maaga;;
so49701;so20;CITY;Xuunshaley;;
so49702;so20;CITY;Xuunshaley;;
so49727;so20;CITY;Xunbaweyne;;
so49813;so20;CITY;Xirsi Jiciir;;
so49912;so20;CITY;Xidhinta;;
so6282882;so20;CITY;Xuunshaley;;
so55436;so20;CITY;Kuranuh;;
so56664;so20;CITY;Iled Godir;;
so57201;so20;CITY;Hedidale;;
so57286;so20;CITY;Hargoleh;;
so57469;so20;CITY;Halle;;
so59743;so20;CITY;Ferlibah;;
so60085;so20;CITY;El Madoba;;
so61682;so20;CITY;Dayer Gal;;
so62106;so20;CITY;Dagah Waraba;;
so62209;so20;CITY;Dabooye;;
so62247;so20;CITY;Dabdheera;;
so62866;so20;CITY;Caynle;;
so64901;so20;CITY;Balleh Dobo Haya;;
so65393;so20;CITY;Arroberar;;
so50605;so20;CITY;Waran Weis;;
so50782;so20;CITY;Wabioh;;
so51419;so20;CITY;Sut;;
so53248;so20;CITY;Qabura;;
so55075;so20;CITY;Lafta-Boqorka;;
so55229;so20;CITY;Laaso Dawaco;;
so55320;so20;CITY;Laaleys;;
so55322;so20;CITY;Laaleys;;
so55324;so20;CITY;Laakta Daaso Casays;;
so55554;so20;CITY;Korji;;
so55993;so20;CITY;Kadiga Dhanaan;;
so56373;so20;CITY;Jameycada;;
so56442;so20;CITY;Jabdhurwaa;;
so56443;so20;CITY;Jabdhurwaa;;
so56528;so20;CITY;Isha Gugban;;
so56631;so20;CITY;Ilmadade;;
so56636;so20;CITY;Illinta Qoryaale;;
so56638;so20;CITY;Illinta Bacaado;;
so56691;so20;CITY;Ijaara;;
so56826;so20;CITY;Hundulli;;
so56851;so20;CITY;Hulluuq;;
so57334;so20;CITY;Har Cadaad;;
so57379;so20;CITY;Har;;
so57471;so20;CITY;Hallaye;;
so57620;so20;CITY;Habareh;;
so57628;so20;CITY;Habala Tomaloh;;
so57684;so20;CITY;Guulma Waydo;;
so57685;so20;CITY;Guulma Waydo;;
so57786;so20;CITY;Gunbur Skiikhdoon;;
so57866;so20;CITY;Gulaanle;;
so58328;so20;CITY;Gogol Wanaak;;
so58339;so20;CITY;Gofka;;
so58406;so20;CITY;Godgal;;
so58797;so20;CITY;Geed Abeerah;;
so58821;so20;CITY;Ged Deeble;;
so58986;so20;CITY;Garbooley;;
so59156;so20;CITY;Garabis;;
so59290;so20;CITY;Galooley;;
so59291;so20;CITY;Galooley;;
so59292;so20;CITY;Galooley;;
so59309;so20;CITY;Galoolay;;
so59310;so20;CITY;Galoolay;;
so59311;so20;CITY;Galoolay;;
so59493;so20;CITY;Gadhka Carmada;;
so59517;so20;CITY;Gácan;;
so59535;so20;CITY;Gaboobe;;
so59557;so20;CITY;Gaban Hurudo;;
so59880;so20;CITY;Faraweine;;
so60044;so20;CITY;Ergimo;;
so60528;so20;CITY;Duburaha;;
so60555;so20;CITY;Dubar;;
so60986;so20;CITY;Dhungaal;;
