CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
kr;;COUNTRY;South Korea;;
kr13;kr;REGION;Gyeonggi-do;;
kr1842485;kr13;CITY;Goyang-si;;
kr1897000;kr13;CITY;Seongnam-si;;
kr1838716;kr13;CITY;Bucheon-si;;
kr1839652;kr13;CITY;Osan;;
kr1846918;kr13;CITY;Ansan-si;;
kr1832830;kr13;CITY;Yangp'yŏng;;
kr1832847;kr13;CITY;Yangju;;
kr1841810;kr13;CITY;Gwangju;;
kr1841988;kr13;CITY;Guri-si;;
kr1843082;kr13;CITY;Gapyeong County;;
kr1843702;kr13;CITY;Icheon-si;;
kr1843847;kr13;CITY;Hwaseong-si;;
kr1897007;kr13;CITY;Hanam;;
kr1897122;kr13;CITY;Namyangju;;
kr1846898;kr13;CITY;Anyang-si;;
kr1846912;kr13;CITY;Anseong;;
kr1832743;kr13;CITY;Yeoju;;
kr1833788;kr13;CITY;Uijeongbu-si;;
kr1897118;kr13;CITY;Hwado;;
kr1948005;kr13;CITY;Kwangmyŏng;;
kr1896953;kr13;CITY;Pubal;;
kr1912209;kr13;CITY;Wabu;;
kr1840862;kr13;CITY;Munsan;;
kr1834506;kr13;CITY;Deokpo;;
kr1834694;kr13;CITY;Toegyewon;;
kr1841224;kr13;CITY;Maseogu-ri;;
kr1842030;kr13;CITY;Gunpo;;
kr1896760;kr13;CITY;Songtan;;
kr1838343;kr13;CITY;Pyeongtaek-si;;
kr1838894;kr13;CITY;Bonghwagol;;
kr1839780;kr13;CITY;Eomsanggol;;
kr1840898;kr13;CITY;Paju;;
kr1846592;kr13;CITY;Anmal;;
kr6363696;kr13;CITY;Gyeonggi-do;;
kr1832335;kr13;CITY;Yeongpyeong;;
kr1832543;kr13;CITY;Yongdu-ri;;
kr1951046;kr13;CITY;Seosiigu;;
kr1951077;kr13;CITY;Gaundemal;;
kr1951156;kr13;CITY;Hamyeonggol;;
kr1951208;kr13;CITY;Eungol;;
kr1951512;kr13;CITY;Eungdalmal;;
kr1951519;kr13;CITY;Geobungmoe;;
kr1951522;kr13;CITY;Yongjugol;;
kr1951581;kr13;CITY;Guchondong;;
kr1832959;kr13;CITY;Yamil;;
kr1833078;kr13;CITY;Wollogok;;
kr1833126;kr13;CITY;Wonhyeongok;;
kr1833257;kr13;CITY;Wonbaekdong;;
kr1833462;kr13;CITY;Waeppot;;
kr1833507;kr13;CITY;Wagok;;
kr1833681;kr13;CITY;Uncheon;;
kr1833919;kr13;CITY;Dongjeom;;
kr1833964;kr13;CITY;Dumae;;
kr1833980;kr13;CITY;Tugyeul;;
kr1834285;kr13;CITY;Donggeori;;
kr1834309;kr13;CITY;Dongducheon-si;;
kr1834416;kr13;CITY;Seokbong;;
kr1834425;kr13;CITY;Seokjangmoru;;
kr1834556;kr13;CITY;Deokjeong;;
kr1834583;kr13;CITY;Deokjin;;
kr1834664;kr13;CITY;Dogok;;
kr1834873;kr13;CITY;Dangneomo;;
kr1834923;kr13;CITY;Dangchon;;
kr1835039;kr13;CITY;Daewolli;;
kr1835369;kr13;CITY;Taegam;;
kr1835990;kr13;CITY;Sogok;;
kr1836105;kr13;CITY;Songnidong;;
kr1836139;kr13;CITY;Songjeon-ri;;
kr1836416;kr13;CITY;Seonbi;;
kr1836567;kr13;CITY;Seojeong;;
kr1836677;kr13;CITY;Sodun-ri;;
kr1836740;kr13;CITY;Seochanam;;
kr1841231;kr13;CITY;Masal-li;;
kr1841395;kr13;CITY;Malmoe;;
kr1841593;kr13;CITY;Gyeonjinbawi;;
kr1841778;kr13;CITY;Gwangtan-ri;;
kr1841909;kr13;CITY;Gwacheon;;
kr1842074;kr13;CITY;Keungol;;
kr1842084;kr13;CITY;Geungnak;;
kr1842103;kr13;CITY;Keuncheongtan;;
kr1842264;kr13;CITY;Geumgok;;
kr1842385;kr13;CITY;Gujin;;
