CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
ss;;COUNTRY;South Sudan;;
ss11550567;ss;REGION;Imatong;;
ss375495;ss11550567;CITY;Pajok;;
ss11550545;ss;REGION;Gogrial;;
ss374739;ss11550545;CITY;Gogrial;;
ss02;ss;REGION;Eastern Equatoria;;
ss369154;ss02;CITY;Nimule;;
ss376932;ss02;CITY;Chukudum;;
ss368765;ss02;CITY;Magwi;;
ss371624;ss02;CITY;Lafon;;
ss373571;ss02;CITY;Ikoto;;
ss369489;ss02;CITY;Nagichot;;
ss371146;ss02;CITY;Lotelepey;;
ss371638;ss02;CITY;Laboni;;
ss371648;ss02;CITY;Laordi;;
ss374929;ss02;CITY;Ghaba;;
ss374998;ss02;CITY;Gelle;;
ss377104;ss02;CITY;Burawa;;
ss378867;ss02;CITY;Amiling;;
ss381370;ss02;CITY;Nopotit;;
ss382299;ss02;CITY;Dilep;;
ss382346;ss02;CITY;Gharingoru;;
ss382366;ss02;CITY;Korogori;;
ss382372;ss02;CITY;Ophirika;;
ss382437;ss02;CITY;Paira;;
ss382447;ss02;CITY;Loghovonyok;;
ss382455;ss02;CITY;Talanga;;
ss382474;ss02;CITY;Leilir;;
ss382476;ss02;CITY;Ingyelire;;
ss382545;ss02;CITY;Ghajawuru;;
ss382659;ss02;CITY;Naberigolong;;
ss382698;ss02;CITY;Kikelai;;
ss368629;ss02;CITY;Palabek;;
ss368677;ss02;CITY;Owetian;;
ss368741;ss02;CITY;Opari;;
ss369490;ss02;CITY;Nagichot;;
ss370736;ss02;CITY;Malakiya;;
ss371098;ss02;CITY;Ludwara;;
ss371230;ss02;CITY;Lolimi;;
ss371279;ss02;CITY;Lokai;;
ss371515;ss02;CITY;Latome;;
ss372721;ss02;CITY;Katire;;
ss372789;ss02;CITY;Karotho Post;;
ss373012;ss02;CITY;Kalimulinga;;
ss373018;ss02;CITY;Kaliaputh;;
ss373550;ss02;CITY;Imela;;
ss373654;ss02;CITY;Ibalani;;
ss366676;ss02;CITY;Sultan Saroor;;
ss366989;ss02;CITY;Shukoli;;
ss374507;ss02;CITY;Gweri;;
ss374573;ss02;CITY;Gunyuro;;
ss374671;ss02;CITY;Goya;;
ss374704;ss02;CITY;Gonyiro;;
ss374705;ss02;CITY;Gongming;;
ss374816;ss02;CITY;Gilo;;
ss374940;ss02;CITY;Gesiga;;
ss375290;ss02;CITY;Furuta;;
ss375308;ss02;CITY;Fundiker;;
ss375494;ss02;CITY;Farajok;;
ss375637;ss02;CITY;Fakala;;
ss375709;ss02;CITY;Fadieri;;
ss376276;ss02;CITY;Dorik;;
ss376971;ss02;CITY;Charet;;
ss376977;ss02;CITY;Chalamni;;
ss377262;ss02;CITY;Bolo;;
ss377665;ss02;CITY;Bari;;
ss377845;ss02;CITY;Balala;;
ss378430;ss02;CITY;Arungateli;;
ss378536;ss02;CITY;Aribo;;
ss378661;ss02;CITY;Apalla;;
ss378771;ss02;CITY;Angi;;
ss378908;ss02;CITY;Ambaio;;
ss379805;ss02;CITY;Akoro;;
ss379893;ss02;CITY;Aiyerri;;
ss379973;ss02;CITY;Agoro;;
ss381341;ss02;CITY;Moru-Keris;;
ss381342;ss02;CITY;Chief Longidio;;
ss381343;ss02;CITY;Logiri;;
ss381354;ss02;CITY;Chief Lotiang;;
ss381359;ss02;CITY;Lokalyan;;
ss381371;ss02;CITY;Nawayareng;;
ss381377;ss02;CITY;Iwochi;;
ss381378;ss02;CITY;Tuguru;;
ss381388;ss02;CITY;Lojirim;;
