CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
lk;;COUNTRY;Sri Lanka;;
lk36;lk;REGION;Western;;
lk1233369;lk36;CITY;Negombo;;
lk1234569;lk36;CITY;Dehiwala-Mount Lavinia;;
lk1234633;lk36;CITY;Moratuwa;;
lk1238992;lk36;CITY;Sri Jayewardenepura Kotte;;
lk1230089;lk36;CITY;Pita Kotte;;
lk1239047;lk36;CITY;Kotikawatta;;
lk1239593;lk36;CITY;Kolonnawa;;
lk1241964;lk36;CITY;Kalutara;;
lk1236854;lk36;CITY;Maharagama;;
lk1250164;lk36;CITY;Battaramulla South;;
lk1240622;lk36;CITY;Kelaniya;;
lk1241750;lk36;CITY;Kandana;;
lk1242835;lk36;CITY;Ja Ela;;
lk1231410;lk36;CITY;Panadura;;
lk1243936;lk36;CITY;Homagama;;
lk1244397;lk36;CITY;Hendala;;
lk1244773;lk36;CITY;Hanwella Ihala;;
lk1246007;lk36;CITY;Gampaha;;
lk1230613;lk36;CITY;Peliyagoda;;
lk1224085;lk36;CITY;Wattala;;
lk1234378;lk36;CITY;Mulleriyawa;;
lk1235000;lk36;CITY;Minuwangoda;;
lk1243867;lk36;CITY;Horana South;;
lk1249931;lk36;CITY;Beruwala;;
lk1223648;lk36;CITY;Welisara;;
lk1350073;lk36;CITY;Yagoda;;
lk1237517;lk36;CITY;Mabole;;
lk1237519;lk36;CITY;Mabodale;;
lk1237565;lk36;CITY;Lunawa;;
lk1237656;lk36;CITY;Liyanagemulla;;
lk1238128;lk36;CITY;Kurana Katunayaka;;
lk1238396;lk36;CITY;Kumarimulla;;
lk1238999;lk36;CITY;Kottawa;;
lk1239242;lk36;CITY;Kosgama Pahala;;
lk1239294;lk36;CITY;Korase;;
lk1239975;lk36;CITY;Kitulgoda;;
lk1240089;lk36;CITY;Kirindiwela;;
lk1240465;lk36;CITY;Kesbewa;;
lk1240477;lk36;CITY;Kerawalapitiya;;
lk1240714;lk36;CITY;Kehelella;;
lk1241874;lk36;CITY;Kammaltera;;
lk1242067;lk36;CITY;Kalubowila;;
lk1242255;lk36;CITY;Kalawana;;
lk1242409;lk36;CITY;Kahathuduwa;;
lk1242428;lk36;CITY;Kahataowita;;
lk1231396;lk36;CITY;Panagoda;;
lk1232402;lk36;CITY;Padukka;;
lk1232807;lk36;CITY;Nugegoda;;
lk1232950;lk36;CITY;Nittambuwa;;
lk1232967;lk36;CITY;Niripola;;
lk1233503;lk36;CITY;Nawala;;
lk1233723;lk36;CITY;Narahenpita;;
lk1233781;lk36;CITY;Nampamunuwa;;
lk1235746;lk36;CITY;Mawalgama;;
lk1235813;lk36;CITY;Mattegoda;;
lk1235821;lk36;CITY;Mattakkuliya;;
lk1236398;lk36;CITY;Malwana;;
lk1236455;lk36;CITY;Maligawatta;;
lk1236562;lk36;CITY;Malagala;;
lk1236571;lk36;CITY;Malambe;;
lk1236857;lk36;CITY;Mahara;;
lk1243023;lk36;CITY;Ingiriya;;
lk1244582;lk36;CITY;Havelock Town;;
lk1244750;lk36;CITY;Sapugaskanda;;
lk1244779;lk36;CITY;Hanwella;;
lk1244851;lk36;CITY;Handapangoda;;
lk1245406;lk36;CITY;Gonapola;;
lk1245928;lk36;CITY;Ganemulla;;
lk1247131;lk36;CITY;Ellakkala;;
lk1247292;lk36;CITY;Ekala;;
lk1247517;lk36;CITY;Dunagaha;;
lk1247878;lk36;CITY;Divulapitiya;;
lk1248139;lk36;CITY;Dewalapola;;
lk1248301;lk36;CITY;Dematagoda;;
lk1248423;lk36;CITY;Dehiwala;;
lk1226093;lk36;CITY;Udagama;;
lk1227996;lk36;CITY;Sinharamolla;;
lk1228056;lk36;CITY;Seeduwa;;
lk1228459;lk36;CITY;Rukmale;;
lk1228793;lk36;CITY;Ratmalana;;
lk1229126;lk36;CITY;Ragama;;
lk1229937;lk36;CITY;Polgasowita;;
lk1230143;lk36;CITY;Pinwatta;;
lk1230224;lk36;CITY;Piliyandala;;
lk1230317;lk36;CITY;Pettah;;
lk1231121;lk36;CITY;Pannipitiya;;
lk1231317;lk36;CITY;Pananwala;;
lk1248602;lk36;CITY;Danowita;;
lk1248670;lk36;CITY;Dandugama;;
lk1248894;lk36;CITY;Dalugama;;
lk1249605;lk36;CITY;Boralesgamuwa South;;
lk1249863;lk36;CITY;Biyagama;;
lk1250599;lk36;CITY;Baduraliya;;
lk1250720;lk36;CITY;Avissawella;;
lk1250749;lk36;CITY;Athurugiriya;;
lk1250807;lk36;CITY;Attanagalla;;
lk1250903;lk36;CITY;Asgiriwalpola;;
lk1250924;lk36;CITY;Arukwatta South;;
lk1251631;lk36;CITY;Ambagaspitiya;;
lk1222940;lk36;CITY;Yakkala;;
lk1223707;lk36;CITY;Welikada East;;
lk1224616;lk36;CITY;Waga;;
lk1224688;lk36;CITY;Meda Wadduwa;;
lk1225299;lk36;CITY;Uswetakeiyawa;;
lk1225796;lk36;CITY;Udugampola;;
lk8714512;lk36;CITY;Madampitiya;;
lk9165802;lk36;CITY;Pamankada;;
lk8534668;lk36;CITY;Mahara Prison;;
lk7434155;lk36;CITY;Karawwa;;
lk7545143;lk36;CITY;Dalupitiya;;
lk7545290;lk36;CITY;Mawaramandiya;;
lk7545307;lk36;CITY;Kotahena;;
lk7545331;lk36;CITY;Borella;;
lk7545360;lk36;CITY;Kohuwala;;
lk1462579;lk36;CITY;Aluthgama;;
lk1237269;lk36;CITY;Maduruduwa;;
lk1237459;lk36;CITY;Pahala Madampella;;
lk1238579;lk36;CITY;Kawduduwa;;
lk1239261;lk36;CITY;Kosetadeniya;;
lk1239524;lk36;CITY;Kandagammulla;;
lk1239663;lk36;CITY;Kolamunna;;
lk1240239;lk36;CITY;Keerantidiya;;
lk1240691;lk36;CITY;Keselwatta;;
lk1241080;lk36;CITY;Katana West;;
lk1241413;lk36;CITY;Ihalakaragahemuna;;
lk1241763;lk36;CITY;Kandalama;;
lk1241830;lk36;CITY;Kanempella;;
lk1242327;lk36;CITY;Kalagedehena;;
lk1242511;lk36;CITY;Kaduwela;;
lk1232542;lk36;CITY;Otarawadiya Upper;;
lk1233425;lk36;CITY;Neboda;;
lk1234377;lk36;CITY;Mulleriyawa North;;
lk1234907;lk36;CITY;Mimana;;
lk1234956;lk36;CITY;Miripana;;
lk1235736;lk36;CITY;Mawatgama;;
lk1235806;lk36;CITY;Matugama;;
lk1236614;lk36;CITY;Makola South;;
lk1244256;lk36;CITY;Hettiweediya;;
lk1245473;lk36;CITY;Gomarakanda;;
lk1245506;lk36;CITY;Godigamuwa East;;
lk1245878;lk36;CITY;Gangodawila North;;
lk1247202;lk36;CITY;Elapitiwela;;
lk1247698;lk36;CITY;Dodangoda West;;
lk1226028;lk36;CITY;Udakananpella;;
lk1226221;lk36;CITY;Tumbowila;;
lk1226893;lk36;CITY;Thelangapatha;;
lk1226991;lk36;CITY;Tharala;;
lk1227347;lk36;CITY;Talangama North;;
lk1228975;lk36;CITY;Ramukkana;;
lk1229609;lk36;CITY;Puhambugoda;;
lk1248718;lk36;CITY;Dampe;;
lk1248833;lk36;CITY;Dambadure;;
lk1249681;lk36;CITY;Bollate South;;
lk1249983;lk36;CITY;Bendiyamulla;;
lk1250131;lk36;CITY;Batuwatta West;;
