CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
sd;;COUNTRY;Sudan;;
sd29;sd;REGION;Khartoum;;
sd365137;sd29;CITY;Omdurman;;
sd378393;sd29;CITY;Ash Shajara;;
sd373236;sd29;CITY;Aj Jiroif Sharg;;
sd379251;sd29;CITY;Khartoum North;;
sd379331;sd29;CITY;Ej Jayli;;
sd375762;sd29;CITY;Esh Shihenab;;
sd376244;sd29;CITY;Ad Dibeba al Hiwe;;
sd377742;sd29;CITY;Al Baqer al Wrrani;;
sd377743;sd29;CITY;Al Baqer al Qidami;;
sd378150;sd29;CITY;Hillat at Tires;;
sd378305;sd29;CITY;Saqqai;;
sd378307;sd29;CITY;As Samrā’;;
sd378356;sd29;CITY;Hillat ash Shiqela;;
sd378698;sd29;CITY;Hillat en Nikhela;;
sd378711;sd29;CITY;En Nafalab;;
sd378961;sd29;CITY;Hillat Uzeirqab;;
sd379128;sd29;CITY;Al Msodiya;;
sd379391;sd29;CITY;El Hileifi;;
sd379397;sd29;CITY;Al Hideba;;
sd379426;sd29;CITY;Al Qlabat al Hassanab;;
sd379666;sd29;CITY;Al ‘Elafon;;
sd380163;sd29;CITY;Ad Doma;;
sd380165;sd29;CITY;Hillat ed Dom;;
sd368406;sd29;CITY;Hillat as Salamaniya;;
sd372460;sd29;CITY;El Khuleila;;
sd372848;sd29;CITY;Hillat Karari;;
sd373033;sd29;CITY;Al Kalakla;;
sd373206;sd29;CITY;El Kabbashi;;
sd373414;sd29;CITY;Ja‘līyīn;;
sd373436;sd29;CITY;Al Jaded Khalet;;
sd373468;sd29;CITY;Jabal Awlya;;
sd373789;sd29;CITY;Wawissi Hillat esh Shekh Abd el Qadir;;
sd374268;sd29;CITY;El Halfaya;;
sd364141;sd29;CITY;Hillat Wad Hesona;;
sd364484;sd29;CITY;Hillat Umm ‘Owena;;
sd364961;sd29;CITY;Umm ‘Īsá;;
sd365169;sd29;CITY;Umm Dawan Ban;;
sd365193;sd29;CITY;Um Dom;;
sd366116;sd29;CITY;Al Tamaniyet;;
sd366303;sd29;CITY;Al Mahas Tayba;;
sd366610;sd29;CITY;Es Sururab;;
sd366959;sd29;CITY;Ash Shirek;;
sd367167;sd29;CITY;Esh Heik el Tayib;;
sd367534;sd29;CITY;Soba Gharb;;
sd368282;sd29;CITY;Al Qowez;;
sd379192;sd29;CITY;Al Lamab;;
sd379273;sd29;CITY;Al Katib;;
sd379453;sd29;CITY;Al Hakamab West;;
sd380948;sd29;CITY;Abū Dulayq;;
sd367497;sd29;CITY;Sayyidāb;;
sd367533;sd29;CITY;Sawbā Sharq;;
sd367740;sd29;CITY;Salāmat al Bāshā;;
sd367935;sd29;CITY;Rumaylah;;
sd374908;sd29;CITY;Hillat al Qamarab;;
sd375627;sd29;CITY;Fakī ‘Abd ar Raḩmān;;
sd375699;sd29;CITY;Arak al Katib;;
sd375812;sd29;CITY;Anuba;;
sd376914;sd29;CITY;Hillat Dabak;;
sd377012;sd29;CITY;Butry;;
sd377735;sd29;CITY;Al Baqer;;
sd377809;sd29;CITY;Al Banbonab;;
sd378279;sd29;CITY;Sababi;;
sd378308;sd29;CITY;As Samrā’;;
sd378968;sd29;CITY;Al ‘Usharah;;
sd380157;sd29;CITY;Ad Delatia;;
sd380330;sd29;CITY;Abū Zullayq;;
sd444000;sd29;CITY;Hillat es Sanaher;;
sd444002;sd29;CITY;Hillat Awlad Hamad;;
sd444003;sd29;CITY;Hillat Wad Mahamod;;
sd380859;sd29;CITY;Abu Halima;;
sd385056;sd29;CITY;Wawissi Hillat el Wadi;;
sd385057;sd29;CITY;Wawissi Hillat esh Shekh ’Ali;;
sd385072;sd29;CITY;Hillat el Wadi el Labyad;;
sd385226;sd29;CITY;Hillat Wadi el Abed;;
sd369809;sd29;CITY;Hillat al Moqdab;;
