CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
sr;;COUNTRY;Suriname;;
sr13;sr;REGION;Marowijne;;
sr3383494;sr13;CITY;Moengo;;
sr3382762;sr13;CITY;Wanhatti;;
sr3382976;sr13;CITY;Tamarin;;
sr3383255;sr13;CITY;Pinatjarimi;;
sr3383268;sr13;CITY;Pikien Santi;;
sr3383478;sr13;CITY;Mongo Tapoe;;
sr3383734;sr13;CITY;Lantiwei;;
sr3384214;sr13;CITY;Galibi;;
sr3383169;sr13;CITY;Ricanau Petro Ondro;;
sr3383365;sr13;CITY;Ovilonholloi;;
sr3384436;sr13;CITY;Christiaan Kondre;;
sr3384449;sr13;CITY;Cassaba Ondro;;
sr3384830;sr13;CITY;Adjoema Kondre;;
sr3383167;sr13;CITY;Ricanau Moffo;;
sr3383231;sr13;CITY;Poitehede;;
sr3382675;sr13;CITY;Wono Redjo;;
sr3383201;sr13;CITY;Prassarakondre;;
sr3383321;sr13;CITY;Passikondre;;
sr3383341;sr13;CITY;Papatamkondre;;
sr3383379;sr13;CITY;Opossei-Langa-Hoekoe;;
sr3383574;sr13;CITY;Maris’s Hoop;;
sr3383603;sr13;CITY;Manjaboom Krondre;;
sr3383749;sr13;CITY;Langa Hoekoe;;
sr3384028;sr13;CITY;Jaimeskondre;;
sr3384203;sr13;CITY;GeorgeKondre;;
sr3384642;sr13;CITY;Bamboesi;;
sr3384810;sr13;CITY;Akalli Kondre;;
sr3384815;sr13;CITY;Agitriondre;;
sr3382994;sr13;CITY;Swampoekondre;;
sr3383258;sr13;CITY;Pilgrimkondre;;
sr3382701;sr13;CITY;Wijngaardekondre;;
sr3382880;sr13;CITY;Tojakondre;;
sr3382893;sr13;CITY;Toekoppie;;
sr3382969;sr13;CITY;Tapahoekoe;;
sr3383241;sr13;CITY;Poelwijk;;
sr3383336;sr13;CITY;Paradijs;;
sr3383380;sr13;CITY;Oplanie;;
sr3383389;sr13;CITY;Onikaikondre;;
sr3383496;sr13;CITY;Moelakondre;;
sr3383550;sr13;CITY;Mason Kondre;;
sr3383748;sr13;CITY;Langamankondre;;
sr3384094;sr13;CITY;Gwegwefoetoe;;
sr3384277;sr13;CITY;Eduardkondre;;
sr3384463;sr13;CITY;Calbo;;
sr3384586;sr13;CITY;Bigiston;;
sr3384632;sr13;CITY;Basiakampoe;;
sr3384800;sr13;CITY;Akroikondre;;
sr3384857;sr13;CITY;Abenekokondre;;
sr14;sr;REGION;Nickerie;;
sr3382783;sr14;CITY;Wageningen;;
sr3383334;sr14;CITY;Paradijs;;
sr3383611;sr14;CITY;Manchester;;
sr3384085;sr14;CITY;Hampton Court;;
sr3384121;sr14;CITY;Groot Henar;;
sr3384199;sr14;CITY;Glasgow;;
sr3382734;sr14;CITY;Waterloo;;
sr3382818;sr14;CITY;Vertrouwen;;
sr3382823;sr14;CITY;Veer;;
sr3382839;sr14;CITY;Utrecht;;
sr3382960;sr14;CITY;Tapoeripa;;
sr3383412;sr14;CITY;Nooitgedacht;;
sr3384063;sr14;CITY;Hertenrits;;
sr3384198;sr14;CITY;Gloria;;
sr3384374;sr14;CITY;Cupido;;
sr3384382;sr14;CITY;Crappahoek;;
sr3384538;sr14;CITY;Bombay;;
sr11;sr;REGION;Commewijne;;
sr3383570;sr11;CITY;Mariënburg;;
sr3382978;sr11;CITY;Tamanredjo;;
sr3383527;sr11;CITY;Meerzorg;;
sr3383760;sr11;CITY;Laarwijk;;
sr3383992;sr11;CITY;Johanna-Margaretha;;
sr3384033;sr11;CITY;Jagtlust;;
sr3384123;sr11;CITY;GR Chatillon;;
sr3384262;sr11;CITY;Ephrata;;
sr3384786;sr11;CITY;Alliance;;
sr3384788;sr11;CITY;Alkmaar;;
sr3383213;sr11;CITY;Post Leyden;;
sr3383029;sr11;CITY;Spieringshoek;;
sr3383787;sr11;CITY;Kronenburg;;
sr3384412;sr11;CITY;Constantin;;
sr3382647;sr11;CITY;Zorgvliet;;
sr3383171;sr11;CITY;Reynsdorp;;
sr3383210;sr11;CITY;Potribo;;
sr3383471;sr11;CITY;Now Trésor;;
sr3383885;sr11;CITY;KL Chatillon;;
sr3384076;sr11;CITY;Hecht en Sterk;;
sr3384260;sr11;CITY;Esterslust;;
sr3384270;sr11;CITY;Einde Rust;;
sr3384615;sr11;CITY;Belwarde;;
sr3383429;sr11;CITY;Nieuw Meerzorg;;
sr3384438;sr11;CITY;Charlottenburg;;
sr3382657;sr11;CITY;Zoelen;;
sr3382803;sr11;CITY;Visserszorg;;
sr3382850;sr11;CITY;Tulpenburg;;
sr3382995;sr11;CITY;Suzannasdaal;;
sr3383044;sr11;CITY;Slootwijk;;
sr3383216;sr11;CITY;Portorico;;
sr3383221;sr11;CITY;Pomona;;
sr3383284;sr11;CITY;Pieterszorg;;
sr3383428;sr11;CITY;Nieuw Mocha;;
sr3383472;sr11;CITY;Mon Souci;;
sr3383667;sr11;CITY;Maasstroom;;
sr3383715;sr11;CITY;Leliëndaal;;
sr3383728;sr11;CITY;La Ressource;;
sr3383887;sr11;CITY;Klaverblad;;
sr3383909;sr11;CITY;Katwijk;;
sr3383989;sr11;CITY;Johannesburg;;
sr3384065;sr11;CITY;Herstelling;;
sr3384208;sr11;CITY;Geertruidenberg;;
sr3384265;sr11;CITY;Elisabeth’s Hoop;;
sr3384332;sr11;CITY;Destombesburg;;
sr3384352;sr11;CITY;De Drie Gebroeders;;
sr3384428;sr11;CITY;Clevia;;
sr3384504;sr11;CITY;Boxel;;
sr3384608;sr11;CITY;Bergen op Zoom;;
sr3384610;sr11;CITY;Berendslust;;
sr10349653;sr11;CITY;Dordrecht;;
sr10;sr;REGION;Brokopondo;;
sr3384475;sr10;CITY;Brownsweg;;
sr3383783;sr10;CITY;Kwakoegron;;
sr3384476;sr10;CITY;Brownsweg;;
sr3384661;sr10;CITY;Baikoetoe;;
sr3384818;sr10;CITY;Afobaka;;
sr10350910;sr10;CITY;Brokooondo;;
sr3382655;sr10;CITY;Zoewatta;;
sr3383087;sr10;CITY;Sectie;;
