CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
se;;COUNTRY;Sweden;;
se26;se;REGION;Stockholm;;
se2692475;se26;CITY;Märsta;;
se2667109;se26;CITY;Tullinge;;
se2680460;se26;CITY;Saltsjöbaden;;
se2700791;se26;CITY;Kista;;
se2702908;se26;CITY;Jordbro;;
se7931985;se26;CITY;Alby;;
se2671292;se26;CITY;Strömma;;
se2674209;se26;CITY;Stenhamra;;
se2674343;se26;CITY;Stavsnäs;;
se2684231;se26;CITY;Pershagen;;
se2686153;se26;CITY;Ösmo;;
se2691230;se26;CITY;Mörtnäs;;
se2691462;se26;CITY;Mölnbo;;
se2694869;se26;CITY;Lindholmen;;
se2681576;se26;CITY;Rosersberg;;
se2682706;se26;CITY;Resarö;;
se2664783;se26;CITY;Vårsta;;
se2716085;se26;CITY;Eriksberg;;
se2716202;se26;CITY;Enebyberg;;
se2717532;se26;CITY;Djurö;;
se2718271;se26;CITY;Dalarö;;
se2718981;se26;CITY;Brunna;;
se2718983;se26;CITY;Brunn;;
se2719245;se26;CITY;Bro;;
se2719312;se26;CITY;Brevik;;
se2722742;se26;CITY;Bergshamra;;
se2726394;se26;CITY;Älta;;
se2726544;se26;CITY;Älmsta;;
se2698745;se26;CITY;Kummelnäs;;
se2699749;se26;CITY;Kopparmora;;
se2707953;se26;CITY;Haninge;;
se2708426;se26;CITY;Hallstavik;;
se2703269;se26;CITY;Järna;;
se2704672;se26;CITY;Hovgården;;
se2705128;se26;CITY;Hölö;;
se2706713;se26;CITY;Hemmesta;;
se3336566;se26;CITY;Fisksätra;;
se2666982;se26;CITY;Tureholm;;
se2667064;se26;CITY;Tuna;;
se2667341;se26;CITY;Trollbäcken;;
se2667878;se26;CITY;Torsby;;
se2668157;se26;CITY;Törnby;;
se2669688;se26;CITY;Täljö;;
se2670226;se26;CITY;Svartsjö;;
se2670489;se26;CITY;Svanberga;;
se2670884;se26;CITY;Sundby;;
se2672259;se26;CITY;Stora Vika;;
se2673698;se26;CITY;Stocksund;;
se2673851;se26;CITY;Sticklinge;;
se2674798;se26;CITY;Spillersboda;;
se2675383;se26;CITY;Solsidan;;
se2676177;se26;CITY;Södersvik;;
se2678127;se26;CITY;Skärholmen;;
se2684289;se26;CITY;Penningby;;
se2684420;se26;CITY;Parksidan;;
se2687002;se26;CITY;Ölsta;;
se2688188;se26;CITY;Norsborg;;
se2688904;se26;CITY;Norra Lagnö;;
se2690759;se26;CITY;Muskö;;
