CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
ch;;COUNTRY;Switzerland;;
chVD;ch;REGION;Vaud;;
ch2659601;chVD;CITY;Montreux;;
ch2658123;chVD;CITY;Villeneuve;;
ch2660600;chVD;CITY;Gland;;
ch2658126;chVD;CITY;Villars-sur-Ollon;;
ch2661468;chVD;CITY;Blonay;;
ch2661527;chVD;CITY;Bex;;
ch2661661;chVD;CITY;Avenches;;
ch2661687;chVD;CITY;Aubonne;;
ch2661697;chVD;CITY;Assens;;
ch2661703;chVD;CITY;Arzier-Le Muids;;
ch2658860;chVD;CITY;Saint-Sulpice;;
ch2658862;chVD;CITY;Saint-Prex;;
ch2658874;chVD;CITY;Sainte-Croix;;
ch2658986;chVD;CITY;Romanel-sur-Lausanne;;
ch2658989;chVD;CITY;Rolle;;
ch2659003;chVD;CITY;Roche;;
ch2659127;chVD;CITY;Pully;;
ch2659136;chVD;CITY;Prilly;;
ch2659152;chVD;CITY;Prangins;;
ch2659260;chVD;CITY;Palézieux;;
ch2659283;chVD;CITY;Oron-la-Ville;;
ch2659289;chVD;CITY;Orbe;;
ch2659569;chVD;CITY;Moudon;;
ch2659819;chVD;CITY;Lutry;;
ch2659900;chVD;CITY;Leysin;;
ch2660008;chVD;CITY;La Tour-de-Peilz;;
ch2660462;chVD;CITY;Gryon;;
ch2660529;chVD;CITY;Grandson;;
ch2660710;chVD;CITY;Froideville;;
ch2660882;chVD;CITY;Épendes;;
ch2660884;chVD;CITY;Épalinges;;
ch2661065;chVD;CITY;Cugy;;
ch2661104;chVD;CITY;Cossonay;;
ch2661124;chVD;CITY;Coppet;;
ch2661187;chVD;CITY;Cheseaux-sur-Lausanne;;
ch2661194;chVD;CITY;Chavornay;;
ch2661205;chVD;CITY;Chateau-d'Oex;;
ch2661214;chVD;CITY;Chardonne;;
ch2661224;chVD;CITY;Champagne;;
ch8335470;chVD;CITY;Vich;;
ch8533252;chVD;CITY;Boussens;;
ch8533262;chVD;CITY;Fey;;
ch8533270;chVD;CITY;Mézières;;
ch8533276;chVD;CITY;Cottens;;
ch8533287;chVD;CITY;Lavigny;;
ch6620239;chVD;CITY;Étoy;;
ch2661247;chVD;CITY;Caux;;
ch2661564;chVD;CITY;Belmont-sur-Lausanne;;
ch2661579;chVD;CITY;Begnins;;
ch2661634;chVD;CITY;Ballaigues;;
ch2657940;chVD;CITY;Yvonand;;
ch2658129;chVD;CITY;Villars-le-Grand;;
ch2658194;chVD;CITY;Vallorbe;;
ch2658319;chVD;CITY;Trey;;
ch2658658;chVD;CITY;Sédeilles;;
ch2658876;chVD;CITY;Saint-Cergue;;
ch2658945;chVD;CITY;Rougemont;;
ch2658961;chVD;CITY;Rossinière;;
ch2658988;chVD;CITY;Romainmôtier;;
ch2659129;chVD;CITY;Puidoux;;
ch2659131;chVD;CITY;Provence;;
ch2659231;chVD;CITY;Perroy;;
ch2659234;chVD;CITY;Penthalaz;;
ch2659236;chVD;CITY;Peney-le-Jorat;;
ch2659294;chVD;CITY;Onnens;;
ch2659298;chVD;CITY;Ollon;;
ch2659594;chVD;CITY;Morcles;;
ch2659840;chVD;CITY;Lucens;;
ch2659903;chVD;CITY;Le Vaud;;
ch2659930;chVD;CITY;Le Sentier;;
ch2659936;chVD;CITY;Les Charbonnières;;
ch2659941;chVD;CITY;Les Avants;;
ch2659959;chVD;CITY;Le Mont-sur-Lausanne;;
ch2659981;chVD;CITY;Le Brassus;;
ch2660068;chVD;CITY;La Cure;;
ch2660537;chVD;CITY;Grandcour;;
ch2660544;chVD;CITY;Goumoens-la-Ville;;
ch2660581;chVD;CITY;Glion;;
ch2660613;chVD;CITY;Gilly;;
ch2660643;chVD;CITY;Genolier;;
ch2660733;chVD;CITY;Founex;;
ch2661068;chVD;CITY;Cudrefin;;
ch2661072;chVD;CITY;Crissier;;
ch2661081;chVD;CITY;Crassier;;
ch2661123;chVD;CITY;Corbeyrier;;
ch2661139;chVD;CITY;Combremont-le-Petit;;
ch2661144;chVD;CITY;Colombier;;
ch2661180;chVD;CITY;Chexbres;;
ch2661181;chVD;CITY;Chevroux;;
ch2661197;chVD;CITY;Chavannes;;
ch2661230;chVD;CITY;Chabrey;;
ch2661305;chVD;CITY;Bussigny;;
ch2661336;chVD;CITY;Bullet;;
ch8468763;chVD;CITY;Dommartin;;
ch8468764;chVD;CITY;Sugnens;;
ch8468765;chVD;CITY;Villars-Mendraz;;
ch8468766;chVD;CITY;Villars-Tiercelin;;
ch8468768;chVD;CITY;Les Cullayes;;
ch8468770;chVD;CITY;St-Saphorin-sur-Morges;;
ch8468771;chVD;CITY;Monnaz;;
ch8468927;chVD;CITY;Prahins;;
ch8468928;chVD;CITY;Marnand;;
ch8468929;chVD;CITY;Sassel;;
ch8468930;chVD;CITY;Combremont-le-Grand;;
ch8468931;chVD;CITY;Vallamand;;
ch8468932;chVD;CITY;Écoteaux;;
ch8533248;chVD;CITY;Échandens;;
ch8533251;chVD;CITY;Mex;;
ch8533254;chVD;CITY;Étagnières;;
ch8533257;chVD;CITY;Montaubion-Chardonney;;
ch8533258;chVD;CITY;Naz;;
ch8533259;chVD;CITY;Poliez-le-Grand;;
