CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
sy;;COUNTRY;Syria;;
sy09;sy;REGION;Aleppo;;
sy9212;sy09;CITY;Kūbalik;;
sy166117;sy09;CITY;Qanţarat Bişarī;;
sy9157;sy09;CITY;Jurtī Millānah;;
sy9158;sy09;CITY;Qilinjah Wayrān;;
sy9211;sy09;CITY;Bāstīk;;
sy9216;sy09;CITY;Kūrik;;
sy9221;sy09;CITY;Kul Ābār;;
sy9223;sy09;CITY;Kharāb Jīl;;
sy9233;sy09;CITY;Kūrtik Sirūj;;
sy9239;sy09;CITY;Māmayd;;
sy9241;sy09;CITY;Tirmīk Bījān;;
sy162477;sy09;CITY;Zawr Maghār;;
sy162509;sy09;CITY;Zārwīk;;
sy162624;sy09;CITY;Yadī Qābū;;
sy163289;sy09;CITY;Tayrī;;
sy163333;sy09;CITY;Tall al Ḩajar Fawqānī;;
sy163552;sy09;CITY;Ta‘lik;;
sy163584;sy09;CITY;Tall Ghazāl;;
sy163800;sy09;CITY;Ţafshaw;;
sy163836;sy09;CITY;Al Ghaţţāsah;;
sy163837;sy09;CITY;Tabah Wayrān;;
sy164065;sy09;CITY;Sitīyah;;
sy164244;sy09;CITY;Shīrān;;
sy164429;sy09;CITY;Jārqilī Kabīr;;
sy164494;sy09;CITY;Ath Tha‘labīyah Şaghīrah;;
sy164619;sy09;CITY;Shāhīnjak;;
sy164714;sy09;CITY;Siftik al Wasaţī;;
sy165707;sy09;CITY;Qūr Taḩtānī;;
sy165786;sy09;CITY;Qūrdīn;;
sy165831;sy09;CITY;Qirān;;
sy165892;sy09;CITY;Qawlā;;
sy165893;sy09;CITY;Qawshlī Taḩtānī;;
sy165894;sy09;CITY;Qawshlī Wasţānī;;
sy165895;sy09;CITY;Qawjalī Fawqānī;;
sy166034;sy09;CITY;Al Khazafīyah;;
sy166074;sy09;CITY;Qarah Qūrī Taḩtānī;;
sy166076;sy09;CITY;Qarah Qūrī Fawqānī;;
sy166082;sy09;CITY;Qarah Mazra‘ah;;
sy166096;sy09;CITY;Qarah Ḩalinj;;
sy166102;sy09;CITY;Qarah Burghul;;
