CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
th;;COUNTRY;Thailand;;
th46;th;REGION;Chon Buri;;
th1614295;th46;CITY;Pattaya;;
th1620442;th46;CITY;Ban Talat Bueng;;
th1617483;th46;CITY;Ban Ko Lan;;
th1612176;th46;CITY;Ban Thung Suk La;;
th1613547;th46;CITY;Ban Chong Samae San;;
th1615180;th46;CITY;Ban Nong Prue;;
th1615214;th46;CITY;Ban Nong Plalai;;
th1615265;th46;CITY;Ban Nong Phang Khae;;
th1615624;th46;CITY;Ban Nong Kham;;
th1616469;th46;CITY;Na Jomtien;;
th1620954;th46;CITY;Ban Ang Sila;;
th6692606;th46;CITY;Jomtien Beach;;
th1614307;th46;CITY;Ban Phan Thong Luang;;
th1897926;th46;CITY;Ban Laem Chabang;;
th1611666;th46;CITY;Ban Yan Sue;;
th1612232;th46;CITY;Ban Khao Thung Na;;
th1612244;th46;CITY;Ban Thung Lahan;;
th1612248;th46;CITY;Ban Thung Krat;;
th1612252;th46;CITY;Ban Thung Klom;;
th1612273;th46;CITY;Ban Thung Hiang;;
th1612274;th46;CITY;Ban Talat Thung Hiang;;
th1604253;th46;CITY;Ban Chaloem Lap;;
th1604307;th46;CITY;Ban Bueng Kradon;;
th57;th;REGION;Prachuap Khiri Khan;;
th1153269;th57;CITY;Hua Hin;;
th1157662;th57;CITY;Bang Saphan;;
th1154452;th57;CITY;Ban Thap Tai;;
th1155325;th57;CITY;Ban Pa Ron;;
th1155560;th57;CITY;Ban Nong Wai;;
th1155967;th57;CITY;Ban Nong Phrom;;
th1156320;th57;CITY;Ban Ta Mong Lai;;
th1156782;th57;CITY;Ban Ko Yai Chim;;
th1157180;th57;CITY;Ban Tham Ma Rong;;
th1157372;th57;CITY;Ban Huai Yang;;
th1157401;th57;CITY;Ban Huai Sak;;
th1158061;th57;CITY;Ban Chang Raek;;
th1158095;th57;CITY;Ban Bueng;;
th1154249;th57;CITY;Ban Thung Noi;;
th1154263;th57;CITY;Ban Thung Maphrao;;
th1614602;th57;CITY;Pak Nam Pran;;
th1117959;th57;CITY;Ban Suan Khwan;;
th1117969;th57;CITY;Ban Talat Rai Kao;;
th1117994;th57;CITY;Ban Prue Yai;;
th1118346;th57;CITY;Ban Huai Pak Ngam;;
th1118545;th57;CITY;Ban Nong Pao Pi;;
th1118573;th57;CITY;Ban Nong Kok;;
