CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
tg;;COUNTRY;Togo;;
tg23;tg;REGION;Kara;;
tg2367568;tg23;CITY;Bassar;;
tg2367656;tg23;CITY;Bafilo;;
tg2364812;tg23;CITY;Niamtougou;;
tg2366168;tg23;CITY;Kandé;;
tg2364129;tg23;CITY;Siou;;
tg2365571;tg23;CITY;Pagouda;;
tg2366124;tg23;CITY;Katchamba;;
tg2366924;tg23;CITY;Djorergou;;
tg2367140;tg23;CITY;Défalé;;
tg2367325;tg23;CITY;Boufalé;;
tg2367579;tg23;CITY;Bapuré;;
tg2368078;tg23;CITY;Aloum;;
tg2363810;tg23;CITY;Ténéga;;
tg2364097;tg23;CITY;Solla;;
tg2364123;tg23;CITY;Sirka;;
tg2364339;tg23;CITY;Pouda;;
tg2364391;tg23;CITY;Kpassidè;;
tg2364923;tg23;CITY;Nandouta;;
tg2364955;tg23;CITY;Namon;;
tg2365168;tg23;CITY;Massédéna;;
tg2365320;tg23;CITY;Léon;;
tg2365610;tg23;CITY;Koutièr;;
tg2366031;tg23;CITY;Kidjaboum;;
tg2366049;tg23;CITY;Kétao;;
tg2366272;tg23;CITY;Kadjala;;
tg2366445;tg23;CITY;Guérin-Kouka;;
tg2366717;tg23;CITY;Farendé;;
tg2596740;tg23;CITY;Koutougou;;
tg2367006;tg23;CITY;Djamdè;;
tg2364219;tg23;CITY;Sara-Kawa;;
tg2365371;tg23;CITY;Kpèzindè;;
tg2367417;tg23;CITY;Bohou;;
tg2364067;tg23;CITY;Soumdina;;
tg2364371;tg23;CITY;Pya;;
tg2365350;tg23;CITY;Lassa;;
tg2365612;tg23;CITY;Kountja;;
tg2365695;tg23;CITY;Kémèrida;;
tg2365696;tg23;CITY;Kéméa;;
tg2367877;tg23;CITY;Ataloté;;
tg2363387;tg23;CITY;Yadé;;
tg2363851;tg23;CITY;Tchitchao;;
tg2363884;tg23;CITY;Tcharé;;
tg2365372;tg23;CITY;Landa;;
tg2596739;tg23;CITY;Nadoba;;
tg25;tg;REGION;Plateaux;;
tg2365560;tg25;CITY;Palimé;;
tg2367660;tg25;CITY;Badou;;
tg2364752;tg25;CITY;Notsé;;
tg2368035;tg25;CITY;Amlamé;;
tg2367981;tg25;CITY;Anié;;
tg2368301;tg25;CITY;Agou Gadzépé;;
tg2367935;tg25;CITY;Apéyémé;;
tg2366774;tg25;CITY;Elavagnon;;
tg24;tg;REGION;Maritime;;
tg2367990;tg24;CITY;Aného;;
tg2363534;tg24;CITY;Tsévié;;
tg2363490;tg24;CITY;Vogan;;
tg2364041;tg24;CITY;Tabligbo;;
tg2367534;tg24;CITY;Bé;;
tg2367642;tg24;CITY;Baguida;;
tg2368155;tg24;CITY;Kovié;;
tg2368378;tg24;CITY;Agbodrafo;;
tg2368627;tg24;CITY;Ablogamé;;
tg2363674;tg24;CITY;Togoville;;
tg2364165;tg24;CITY;Sévagan;;
tg2366041;tg24;CITY;Kévé;;
tg2589840;tg24;CITY;Amoutivé;;
tg2367152;tg24;CITY;Davié;;
tg2367407;tg24;CITY;Bodoukpé;;
tg2367735;tg24;CITY;Avévoen;;
tg2367800;tg24;CITY;Atissobékopé;;
tg2368186;tg24;CITY;Akodésséwa;;
tg2368204;tg24;CITY;Akato Viépé;;
tg2368205;tg24;CITY;Akato Avoémé;;
tg2368518;tg24;CITY;Adjoguidi;;
tg2368567;tg24;CITY;Adidovikopé;;
tg2363334;tg24;CITY;Yométchin;;
tg2363434;tg24;CITY;Wassouké;;
tg2363497;tg24;CITY;Vo Asso;;
tg2363749;tg24;CITY;Tigoé;;
tg2364023;tg24;CITY;Tahassi;;
tg2364230;tg24;CITY;Sanyako;;
tg2364320;tg24;CITY;Hédjégan;;
tg2364345;tg24;CITY;Potassou Rhédjé;;
tg2364364;tg24;CITY;Poguiéssou;;
tg2364707;tg24;CITY;Nyossikopé;;
tg2364766;tg24;CITY;Nyita Dzogbédji;;
tg2365410;tg24;CITY;Kwahwé;;
tg2365602;tg24;CITY;Kouvé;;
tg2365868;tg24;CITY;Komla Kopé;;
tg2365973;tg24;CITY;Gbégamé;;
tg2365988;tg24;CITY;Klokpoé;;
tg2365998;tg24;CITY;Klétchi;;
tg2366218;tg24;CITY;Kamassakopé;;
tg2366256;tg24;CITY;Kaguenkopé;;
tg2366430;tg24;CITY;Hahatoé;;
tg2366557;tg24;CITY;Gblenvié;;
tg2366679;tg24;CITY;Fongbé Apédomé;;
tg2366680;tg24;CITY;Fongbé;;
tg2366696;tg24;CITY;Fli;;
tg2366814;tg24;CITY;Avé Djén;;
tg2366816;tg24;CITY;Adgénou;;
tg2366833;tg24;CITY;Dyaoulé;;
tg2366951;tg24;CITY;Djilédji;;
tg2367022;tg24;CITY;Djadou Kopé;;
tg2367066;tg24;CITY;Diassékopé;;
tg2367122;tg24;CITY;Démakpoé;;
tg2367128;tg24;CITY;Dé Kopé;;
tg2367143;tg24;CITY;Dèdjé;;
tg2367204;tg24;CITY;Dagé;;
tg2367375;tg24;CITY;Bolougan;;
tg2367616;tg24;CITY;Bama Kopé;;
tg2367712;tg24;CITY;Ayamagblé;;
