CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
tt;;COUNTRY;Trinidad and Tobago;;
tt10;tt;REGION;San Fernando;;
tt3574116;tt10;CITY;Mon Repos;;
tt3574194;tt10;CITY;Marabella;;
tt3573547;tt10;CITY;Vistabella;;
tt3573550;tt10;CITY;Victoria;;
tt3573568;tt10;CITY;Union;;
tt3573775;tt10;CITY;Saint Joseph;;
tt3573569;tt10;CITY;Union;;
tt3574757;tt10;CITY;Coffee;;
tt8710004;tt10;CITY;Spring Vale;;
tt8710005;tt10;CITY;La Pique;;
tt8710028;tt10;CITY;Pleasantville;;
tt8710029;tt10;CITY;Palmiste;;
tt8710030;tt10;CITY;La Romain;;
ttTUP;tt;REGION;Tunapuna/Piarco;;
tt3575039;ttTUP;CITY;Arouca;;
tt3573557;ttTUP;CITY;Valsayn;;
tt3573796;ttTUP;CITY;Saint Augustine;;
tt3573932;ttTUP;CITY;Piarco;;
tt3574263;ttTUP;CITY;Lopinot;;
tt3574363;ttTUP;CITY;Kelly Village;;
tt3574665;ttTUP;CITY;D’Abadie;;
tt3574671;ttTUP;CITY;Curepe;;
tt3574972;ttTUP;CITY;Blanchisseuse;;
tt3573989;ttTUP;CITY;Paradise;;
tt3574455;ttTUP;CITY;Guanapo;;
tt3573773;ttTUP;CITY;Saint Joseph;;
tt3574192;ttTUP;CITY;Maracas;;
tt3574306;ttTUP;CITY;La Veronica;;
tt3574324;ttTUP;CITY;La Pastora;;
tt3574818;ttTUP;CITY;Centeno;;
tt3574848;ttTUP;CITY;Caroni;;
tt3573544;ttTUP;CITY;Warren;;
tt3573553;ttTUP;CITY;Verdant Vale;;
tt3573580;ttTUP;CITY;Tulls;;
tt3573781;ttTUP;CITY;Saint Helena;;
tt3573854;ttTUP;CITY;Red Hill;;
tt3574009;ttTUP;CITY;Ortinola;;
tt3574117;ttTUP;CITY;Mon Plaisir;;
tt3574159;ttTUP;CITY;Maturita;;
tt3574273;ttTUP;CITY;Loango;;
tt3574326;ttTUP;CITY;Lapai Village;;
tt3574441;ttTUP;CITY;Guarata;;
tt3574548;ttTUP;CITY;Frederick Village;;
tt3574604;ttTUP;CITY;El Dorado;;
tt3574632;ttTUP;CITY;Dinsley;;
tt3574826;ttTUP;CITY;Caura;;
tt3574865;ttTUP;CITY;Carapo;;
tt3574934;ttTUP;CITY;Brasso Seco Village;;
tt8709809;ttTUP;CITY;El Chorro;;
ttCTT;tt;REGION;Couva-Tabaquite-Talparo;;
tt3573650;ttCTT;CITY;Tabaquite;;
tt3573638;ttCTT;CITY;Talparo;;
tt3573902;ttCTT;CITY;Pointe-à-Pierre;;
tt3574524;ttCTT;CITY;Gasparillo;;
tt3574773;ttCTT;CITY;Claxton Bay;;
tt3574788;ttCTT;CITY;Chickland;;
tt3574866;ttCTT;CITY;Carapichaima;;
tt3574895;ttCTT;CITY;California;;
tt3574950;ttCTT;CITY;Bonne Aventure;;
tt3574623;ttCTT;CITY;Dowe;;
tt3574794;ttCTT;CITY;Chase Village;;
tt3575017;ttCTT;CITY;Balmain;;
tt3573565;ttCTT;CITY;Upper Carapichaima;;
tt3573601;ttCTT;CITY;Todd’s Road;;
tt3573664;ttCTT;CITY;Spring;;
tt3573723;ttCTT;CITY;San Rafael;;
tt3573768;ttCTT;CITY;Saint Margaret;;
tt3573964;ttCTT;CITY;Pepper Village;;
tt3574017;ttCTT;CITY;Orange Valley;;
tt3574149;ttCTT;CITY;Mc Bean;;
tt3574151;ttCTT;CITY;Mayo;;
tt3574213;ttCTT;CITY;Mamoral;;
tt3574350;ttCTT;CITY;La Carrière;;
tt3574445;ttCTT;CITY;Guaracara Junction;;
tt3574553;ttCTT;CITY;Four Roads;;
tt3574566;ttCTT;CITY;Flanagin Town;;
tt3574578;ttCTT;CITY;Exchange;;
tt3573541;ttCTT;CITY;Waterloo;;
tt3573566;ttCTT;CITY;Unis;;
tt3573596;ttCTT;CITY;Tortuga;;
tt3573651;ttCTT;CITY;Sum Sum Hill;;
tt3573663;ttCTT;CITY;Spring Vale;;
tt3573736;ttCTT;CITY;San Francisco Settlement;;
tt3573764;ttCTT;CITY;Saint Marys;;
tt3573804;ttCTT;CITY;Saint Andrew;;
tt3573885;ttCTT;CITY;Preysal;;
tt3573933;ttCTT;CITY;Phoenix Park;;
tt3574002;ttCTT;CITY;Ouplay;;
tt3574065;ttCTT;CITY;Nancoo Village;;
tt3574067;ttCTT;CITY;Mundo Nuevo;;
tt3574230;ttCTT;CITY;Madras Settlement;;
tt3574261;ttCTT;CITY;Los Atajos;;
tt3574315;ttCTT;CITY;Las Lomas;;
