CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
tn;;COUNTRY;Tunisia;;
tn36;tn;REGION;Tūnis;;
tn2470656;tn36;CITY;La Goulette;;
tn2473499;tn36;CITY;La Mohammedia;;
tn2472675;tn36;CITY;Le Bardo;;
tn2466688;tn36;CITY;Sidi Bou Said;;
tn2468245;tn36;CITY;Carthage;;
tn2586123;tn36;CITY;Gamart;;
tn2473502;tn36;CITY;El Malka;;
tn2473626;tn36;CITY;Le Kram;;
tn2469230;tn36;CITY;Mégrine;;
tn2469794;tn36;CITY;Kheireddine;;
tn2471638;tn36;CITY;Dar Salah Bey;;
tn2473844;tn36;CITY;Attar;;
tn2472005;tn36;CITY;Borj Bach Mamlouk;;
tn2473164;tn36;CITY;Sejoumi;;
tn2473553;tn36;CITY;La Manoubia;;
tn2590376;tn36;CITY;Borj Chakir;;
tn2471634;tn36;CITY;Dar Sidi M’hamed ech Cherif;;
tn2472840;tn36;CITY;Zahrouni;;
tn2473427;tn36;CITY;El Aouina;;
tn2473816;tn36;CITY;Birine;;
tn2586134;tn36;CITY;Dar Jeziri;;
tn2586139;tn36;CITY;Dar el Haj Ahmed Souid;;
tn2586190;tn36;CITY;Borj Oulad Lara;;
tn2472373;tn36;CITY;Bir Kassa;;
tn2586122;tn36;CITY;Dar el Bey;;
tn2586127;tn36;CITY;El Haouach;;
tn2586129;tn36;CITY;Douar el Hafey;;
tn2586137;tn36;CITY;Dar Tahar Zaouch;;
tn2586142;tn36;CITY;Dar el Ouzir;;
tn2586150;tn36;CITY;Dar Mimoun Bey;;
tn2586161;tn36;CITY;Dar Salah Bey;;
tn2590341;tn36;CITY;Sidi Henri;;
tn2590379;tn36;CITY;Saint Laurent;;
tn2590388;tn36;CITY;Bou Regba;;
tn2469090;tn36;CITY;Mathildeville;;
tn2471096;tn36;CITY;Fochville;;
tn7870241;tn36;CITY;Ghdir El Golla;;
tn7870585;tn36;CITY;Mghira;;
tn7870600;tn36;CITY;El Agba;;
tn11257298;tn36;CITY;Bir Atig;;
tn11205756;tn36;CITY;El mourouj 2;;
tn28;tn;REGION;Madanīn;;
tn2470173;tn28;CITY;Zarzis;;
tn2470384;tn28;CITY;Houmt Souk;;
tn2472431;tn28;CITY;Ben Gardane;;
tn2473738;tn28;CITY;Erriadh;;
tn2468162;tn28;CITY;Ksar Kherachefa;;
tn2472726;tn28;CITY;Beni Kheddache;;
tn2574593;tn28;CITY;Hassi Amor;;
tn2470078;tn28;CITY;Djerf el Kanntara;;
tn2472203;tn28;CITY;Boughrara;;
tn2467128;tn28;CITY;Sedouikch;;
tn2473638;tn28;CITY;El Marsa;;
tn2473937;tn28;CITY;Ajim;;
tn2468156;tn28;CITY;Ksar Mouansa;;
tn2468166;tn28;CITY;Ksar el Djouama;;
tn2468170;tn28;CITY;Ksar el Hallouf;;
tn2468321;tn28;CITY;Guellala;;
tn2470292;tn28;CITY;Alouet el Gounna;;
tn2471983;tn28;CITY;Bordj Sidi Toui;;
tn2466213;tn28;CITY;Sidi Chemmakh;;
tn2468086;tn28;CITY;Ksar Rebounten;;
tn2468126;tn28;CITY;Ksar Zaouia;;
tn2468129;tn28;CITY;Ksar Oulad Saïd;;
tn2473359;tn28;CITY;En Naffatiyah;;
tn2473462;tn28;CITY;Ksar Djedid;;
tn2473474;tn28;CITY;El Qantara;;
tn2473542;tn28;CITY;El Marsa;;
tn2473569;tn28;CITY;El Mây;;
tn2473739;tn28;CITY;Hara Kebira;;
tn2473761;tn28;CITY;El Haddada;;
tn2474003;tn28;CITY;Arhir;;
tn2468148;tn28;CITY;Ksar Kourikria;;
tn2469329;tn28;CITY;Mellita;;
tn2470197;tn28;CITY;Djama el Guelloufi;;
tn2470385;tn28;CITY;Houmt Guebliine;;
tn2470386;tn28;CITY;El Hachchane;;
tn2470387;tn28;CITY;Foganine;;
tn2470388;tn28;CITY;Houmt Bedouin;;
tn2470859;tn28;CITY;El Guecheïne;;
tn2472461;tn28;CITY;Ben Fetaïel;;
tn2472667;tn28;CITY;Barkouk;;
tn2472734;tn28;CITY;Beni Dinhet;;
tn2472933;tn28;CITY;Oulad Amor;;
tn2473230;tn28;CITY;Chebabia;;
tn2464148;tn28;CITY;Ouedrane;;
tn2464160;tn28;CITY;Oued Zebib;;
tn2464694;tn28;CITY;Tiouadjene;;
tn2464749;tn28;CITY;Taguelmit;;
tn2464824;tn28;CITY;Taguermess;;
tn2467191;tn28;CITY;Souahel;;
tn2468132;tn28;CITY;Ksar Oulad Bou Abid;;
tn2473535;tn28;CITY;Metameur;;
tn2473551;tn28;CITY;El Mgarsa;;
tn2473611;tn28;CITY;Kraoui;;
tn2473629;tn28;CITY;Krachoua;;
tn2473727;tn28;CITY;El Hazem;;
tn2473879;tn28;CITY;El Alendaya;;
tn2474126;tn28;CITY;Bou Menjel;;
tn2473167;tn28;CITY;As Segala;;
tn2574506;tn28;CITY;Hassi Soltane;;
tn2574512;tn28;CITY;Chahbania;;
tn2572312;tn28;CITY;Sidi Brahim;;
tn2572319;tn28;CITY;Robbana;;
tn2468403;tn28;CITY;Ouallarh;;
tn2468951;tn28;CITY;Mezrane;;
tn2468952;tn28;CITY;Mezraia;;
tn2469022;tn28;CITY;Megmag;;
tn2469027;tn28;CITY;Medjine;;
tn2471214;tn28;CITY;Faoumt;;
tn2471252;tn28;CITY;Fahmine;;
tn2471257;tn28;CITY;Fafou;;
tn2464486;tn28;CITY;Triffa;;
tn2464540;tn28;CITY;Tilioune;;
tn2464555;tn28;CITY;Tianest;;
tn2464603;tn28;CITY;Terhalla;;
tn2464613;tn28;CITY;Temlale;;
tn2464716;tn28;CITY;Tarhrizit;;
tn2464717;tn28;CITY;Tarhdimess;;
tn2464838;tn28;CITY;Tafertasset;;
tn2473284;tn28;CITY;Arkou;;
tn2473334;tn28;CITY;Aouru;;
tn2474033;tn28;CITY;Adeloun;;
tn8555968;tn28;CITY;Sangho;;
tn11103787;tn28;CITY;Playa Sidi Mehrez;;
tn19;tn;REGION;Nābul;;
tn2473744;tn19;CITY;Hammamet;;
tn2467959;tn19;CITY;Kelibia;;
tn2469258;tn19;CITY;Menzel Heurr;;
tn2469262;tn19;CITY;Mennzel Bou Zelfa;;
tn2471637;tn19;CITY;Dar Chabanne;;
tn2471915;tn19;CITY;Bou Arkoub;;
tn2472722;tn19;CITY;Beni Khiar;;
tn2472724;tn19;CITY;Beni Khalled;;
tn2464804;tn19;CITY;Takelsa;;
tn2467920;tn19;CITY;Korba;;
tn2473716;tn19;CITY;El Haouaria;;
tn6941921;tn19;CITY;Kerkouane;;
tn2581754;tn19;CITY;Douane;;
tn2463951;tn19;CITY;Zaouiat Djedidi;;
tn2467914;tn19;CITY;Korbous;;
tn2473514;tn19;CITY;El Mida;;
tn2473558;tn19;CITY;El Maamoura;;
tn2586597;tn19;CITY;Segermes;;
tn2470586;tn19;CITY;Hammam el Rhezez;;
tn2472213;tn19;CITY;Bou Ficha;;
tn2472364;tn19;CITY;Bir Bou Rekba;;
tn2472738;tn19;CITY;Beni Aïchoun;;
tn2473172;tn19;CITY;Es Somaa;;
tn2463988;tn19;CITY;Zriba-Village;;
tn2464637;tn19;CITY;Tazarka;;
tn2467898;tn19;CITY;Grombalia;;
tn2473541;tn19;CITY;El Marsa;;
tn2473786;tn19;CITY;Fondouk Jedid;;
tn2469250;tn19;CITY;Menzel Temime;;
tn2471556;tn19;CITY;Douar el Haj Mannsour;;
tn2464636;tn19;CITY;Tazoghrane;;
tn2464953;tn19;CITY;Soliman;;
tn2465808;tn19;CITY;Sidi Daoud;;
tn2468450;tn19;CITY;Nianou;;
tn2469853;tn19;CITY;Khannguet el Hajaj;;
tn2470184;tn19;CITY;Jeradou;;
tn2471504;tn19;CITY;Douar Bou Sem;;
tn2471562;tn19;CITY;Douar el Frinine;;
tn2471587;tn19;CITY;Douala;;
tn2471669;tn19;CITY;Dar Hassen Zegoulli;;
tn2471723;tn19;CITY;Dar el Djendi;;
tn2472041;tn19;CITY;Borj el Bey;;
tn2472350;tn19;CITY;Bir Challouf;;
tn2472753;tn19;CITY;Belli;;
tn2463947;tn19;CITY;Boukrim;;
tn2463948;tn19;CITY;Zaouiet Azmour;;
tn2463950;tn19;CITY;Zaouiet el Megaiz;;
tn2464276;tn19;CITY;Oum Dhouil;;
tn2465642;tn19;CITY;Sidi Jedidi;;
tn2467407;tn19;CITY;Saheb Jebel;;
tn2468075;tn19;CITY;Ksar Slimane;;
tn2473563;tn19;CITY;El Makhzene;;
tn2473789;tn19;CITY;El Fehri;;
tn2473807;tn19;CITY;El Bredj;;
tn2473885;tn19;CITY;El Akhouine;;
tn2470580;tn19;CITY;Hammam Jedidi;;
tn2471376;tn19;CITY;Diar el Hajjej;;
tn2471472;tn19;CITY;Douar Atmane Ben Hassene;;
tn2471527;tn19;CITY;Douar Oulad Haj Ahmed;;
tn2471538;tn19;CITY;Douar er Rainine;;
tn2471667;tn19;CITY;Dar Hassine Ben Ameur;;
tn2471703;tn19;CITY;Dar Taleb Hassene;;
tn2471719;tn19;CITY;Douar Mesratia;;
tn2472731;tn19;CITY;Beni Hazaz;;
tn2581877;tn19;CITY;Douar el Haj Salem Bou Kheïba;;
tn2581880;tn19;CITY;Henchir Bou Jerida;;
tn2469731;tn19;CITY;Kourchine;;
tn2470506;tn19;CITY;Hennchir Ksar Rhaleb;;
tn2471471;tn19;CITY;Douar Aouïn el Hedjadj;;
tn2471557;tn19;CITY;Douar el Hadj Ahmed;;
tn2471597;tn19;CITY;Dechra Kef Chami;;
tn2471633;tn19;CITY;Dar Soudane;;
tn2471713;tn19;CITY;Dar el Oudiane;;
tn2472353;tn19;CITY;Bir Meroua;;
tn2473178;tn19;CITY;Skalba;;
tn2464455;tn19;CITY;Tourki;;
tn2466033;tn19;CITY;Sidi Bou Ali;;
tn2467656;tn19;CITY;Reyville;;
tn2473660;tn19;CITY;El Djidida;;
tn2473828;tn19;CITY;El Bekakcha;;
tn2474043;tn19;CITY;Damouss;;
tn2582049;tn19;CITY;Haj Mohammed Ben Hamid;;
tn2582080;tn19;CITY;Dar Ahmed Ben Haj Yahia;;
tn2582116;tn19;CITY;Dar el Haj Ali;;
tn2582142;tn19;CITY;Douar Zougjag;;
tn2582145;tn19;CITY;Dar el Haj Ali;;
tn2582149;tn19;CITY;Dar el Haj Aleya;;
tn2582163;tn19;CITY;Dar el Hajri;;
tn2582206;tn19;CITY;Dar el Haj Daoui;;
tn2582232;tn19;CITY;Dar Haj en Nour;;
tn2586547;tn19;CITY;Dar Hamad Jedidi;;
tn2589287;tn19;CITY;Douar el Haj Mohammed;;
tn2589288;tn19;CITY;Douar el Haj Ayas;;
tn2589324;tn19;CITY;Douar el Haj Toumi;;
tn2469773;tn19;CITY;Khorfa;;
tn2471657;tn19;CITY;Dar Melloul;;
tn2473415;tn19;CITY;El Oudiane;;
tn2581767;tn19;CITY;Chaba Remada;;
tn2581882;tn19;CITY;Dar Ben Slimane;;
tn2581886;tn19;CITY;Krouibia;;
tn2581889;tn19;CITY;Tir el Mergueb;;
tn2581904;tn19;CITY;Hennchir Bir Bou Zouita;;
tn2581925;tn19;CITY;Dar Bou Agine;;
tn2581926;tn19;CITY;Dar Taleb Mohammed;;
tn2581927;tn19;CITY;Bou el Azhar;;
tn2581928;tn19;CITY;Dar Ben Zallout;;
tn2581934;tn19;CITY;Dar el Kharaz;;
tn2581956;tn19;CITY;Dar Sidi Attik;;
tn2581988;tn19;CITY;Kef el Mechta;;
tn2581989;tn19;CITY;Dar Oulad Daoued;;
tn2582006;tn19;CITY;Dar Karaeche;;
tn2582042;tn19;CITY;Dar Safi;;
tn2582043;tn19;CITY;Rous er Riba;;
tn2582057;tn19;CITY;Dar Mohammed Ben Mabrouk;;
tn2582061;tn19;CITY;Douar er Remadni;;
