CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
tm;;COUNTRY;Turkmenistan;;
tm02;tm;REGION;Balkan;;
tm601594;tm02;CITY;Türkmenbaşy;;
tm161931;tm02;CITY;Kizil-Arvat;;
tm161943;tm02;CITY;Gumdag;;
tm161974;tm02;CITY;Bereket;;
tm161370;tm02;CITY;Etrek;;
tm161371;tm02;CITY;Esenguly;;
tm161374;tm02;CITY;Zaw;;
tm161538;tm02;CITY;Gyzylbaýyr;;
tm161568;tm02;CITY;Purnuwar;;
tm161597;tm02;CITY;Ekerem;;
tm161665;tm02;CITY;Madaw;;
tm161749;tm02;CITY;Goç;;
tm161754;tm02;CITY;Gyzylsuw;;
tm161784;tm02;CITY;Hojagala;;
tm161820;tm02;CITY;Könekesir;;
tm161999;tm02;CITY;Janahyr;;
tm162054;tm02;CITY;Çukur;;
tm162167;tm02;CITY;Aydere;;
tm162245;tm02;CITY;Ajyýap;;
tm601758;tm02;CITY;Karabogaz;;
tm161395;tm02;CITY;Yauzy;;
tm162213;tm02;CITY;Alaja;;
tm410724;tm02;CITY;Yňdyrlan;;
tm410774;tm02;CITY;Çetli;;
tm410775;tm02;CITY;Udey;;
tm442596;tm02;CITY;Kara-Agach;;
tm161368;tm02;CITY;Goturdepe;;
tm161376;tm02;CITY;Ýuwangala;;
tm161478;tm02;CITY;Tersakan;;
tm161489;tm02;CITY;Tazabad;;
tm161515;tm02;CITY;Sotsializm;;
tm161599;tm02;CITY;Ogurjaly;;
tm161632;tm02;CITY;Mollagara;;
tm161672;tm02;CITY;Gyzylymam;;
tm161877;tm02;CITY;Karagel;;
tm161883;tm02;CITY;Garadegish;;
tm161925;tm02;CITY;Ilidzha;;
tm161947;tm02;CITY;Guri-Olum;;
tm161991;tm02;CITY;Dzhuvaldy;;
tm161996;tm02;CITY;Dzhedzhirs;;
tm161997;tm02;CITY;Jebel;;
tm162005;tm02;CITY;Duzlydepe;;
tm162073;tm02;CITY;Çemenli;;
tm162079;tm02;CITY;Çeleken;;
tm162080;tm02;CITY;Chekur-Yurt;;
tm162081;tm02;CITY;Chekichler;;
tm162098;tm02;CITY;Byurgyutli;;
tm162123;tm02;CITY;Bekibent;;
tm162196;tm02;CITY;Arapchuk;;
tm8707480;tm02;CITY;Garkel;;
tm8994641;tm02;CITY;Öýleguşluk;;
tm8991373;tm02;CITY;Garahan;;
tm410763;tm02;CITY;Garajabatyr;;
tm442578;tm02;CITY;Garadepe;;
tm442580;tm02;CITY;Gamyshlyja;;
tm161924;tm02;CITY;Imeni Dvadtsati Shesti Bakinskikh Komissarov;;
tm410773;tm02;CITY;Yarymtyk;;
tm410781;tm02;CITY;Tekendzhik;;
tm410786;tm02;CITY;Agach-Arvat;;
tm410793;tm02;CITY;Chat;;
tm442590;tm02;CITY;Suydzhermen;;
tm161414;tm02;CITY;Yaglyolum;;
tm161446;tm02;CITY;Udzhi;;
tm161485;tm02;CITY;Teki-Moor;;
tm161600;tm02;CITY;Ogomana;;
tm161622;tm02;CITY;Naara;;
tm161629;tm02;CITY;Monzhukly;;
tm161701;tm02;CITY;Kuruždeý;;
