CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
ug;;COUNTRY;Uganda;;
ugW;ug;REGION;Western Region;;
ug233730;ugW;CITY;Bwizibwera;;
ug227528;ugW;CITY;Nyachera;;
ug231250;ugW;CITY;Kilembe;;
ug225847;ugW;CITY;Yenga;;
ug225907;ugW;CITY;Wanseko;;
ug226481;ugW;CITY;Rwekunye;;
ug226576;ugW;CITY;Rushere;;
ug226679;ugW;CITY;Rubindi;;
ug228797;ugW;CITY;Munsa;;
ug228964;ugW;CITY;Mubuku;;
ug229044;ugW;CITY;Mpanga;;
ug229143;ugW;CITY;Mitoma;;
ug231015;ugW;CITY;Kisizi;;
ug231084;ugW;CITY;Kiryandongo;;
ug231290;ugW;CITY;Kikorongo;;
ug231334;ugW;CITY;Kikagati;;
ug231339;ugW;CITY;Kijura;;
ug231383;ugW;CITY;Kihihi;;
ug448001;ugW;CITY;Ishaka;;
ug231553;ugW;CITY;Kibingo;;
ug232075;ugW;CITY;Kasenyi;;
ug232827;ugW;CITY;Kagamba;;
ug232915;ugW;CITY;Kabwohe;;
ug233268;ugW;CITY;Igorora;;
ug233315;ugW;CITY;Hima;;
ug234462;ugW;CITY;Bujerere;;
ug234604;ugW;CITY;Bugamba;;
ug234801;ugW;CITY;Biharwe;;
ug8693290;ugW;CITY;Katuna;;
ug8194362;ugW;CITY;Karuma;;
ug10626765;ugW;CITY;Nyakahita;;
ug11614844;ugW;CITY;Kibaale;;
ug11189150;ugW;CITY;Rwamwanja Refugee Settlement;;
ug226508;ugW;CITY;Rwamuhara;;
ug227592;ugW;CITY;Ntungamo;;
ug228642;ugW;CITY;Mwengura;;
ug229371;ugW;CITY;Maseruku;;
ug230320;ugW;CITY;Kyeizobo;;
ug230541;ugW;CITY;Kyabasaja;;
ug231426;ugW;CITY;Kigorobya;;
ug231502;ugW;CITY;Kichwamba;;
ug231820;ugW;CITY;Katozho;;
ug232282;ugW;CITY;Kanyamburara;;
ug232687;ugW;CITY;Kakanzhu;;
ug234486;ugW;CITY;Buhungurua;;
ug234508;ugW;CITY;Bugushu;;
ug234530;ugW;CITY;Bugonje;;
ug234757;ugW;CITY;Birundumu;;
ug226491;ugW;CITY;Rwashamaire;;
ug226555;ugW;CITY;Rutooma;;
ug226695;ugW;CITY;Rubaare;;
ug227594;ugW;CITY;Ntungamo;;
ug228353;ugW;CITY;Nakishenyi;;
ug230783;ugW;CITY;Kiwumulo;;
ug226434;ugW;CITY;Ryamurunga;;
ug226435;ugW;CITY;Ryakagongo;;
ug226441;ugW;CITY;Rwoho;;
ug226452;ugW;CITY;Rwensunga;;
ug226454;ugW;CITY;Rwenshama;;
ug226465;ugW;CITY;Rwengwe;;
ug226485;ugW;CITY;Rwebishengo;;
ug226517;ugW;CITY;Rwamakukuru;;
ug226518;ugW;CITY;Rwamahwa;;
ug226524;ugW;CITY;Rwakororo;;
ug226554;ugW;CITY;Rutoma;;
ug226592;ugW;CITY;Runga;;
ug226609;ugW;CITY;Rukiri;;
ug226631;ugW;CITY;Ruhengere;;
ug226657;ugW;CITY;Rugando;;
ug226661;ugW;CITY;Rugaga;;
ug226670;ugW;CITY;Ruborogota;;
ug226693;ugW;CITY;Rubabu;;
ug226694;ugW;CITY;Rubaare;;
ug226698;ugW;CITY;Ruangi;;
ug227359;ugW;CITY;Nyantungo;;
ug227387;ugW;CITY;Nyamushasha;;
ug227397;ugW;CITY;Nyamufumura;;
ug227440;ugW;CITY;Nyalushanje;;
ug227455;ugW;CITY;Nyakisanju;;
ug227485;ugW;CITY;Nyakashashara;;
ug227496;ugW;CITY;Nyakakoni;;
ug227504;ugW;CITY;Nyakagando;;
ug227560;ugW;CITY;Nyabisirira;;
ug228495;ugW;CITY;Naigana;;
ug228639;ugW;CITY;Mwerasandu;;
ug228804;ugW;CITY;Mundenge;;
ug228827;ugW;CITY;Mulamba;;
ug228894;ugW;CITY;Muhororo;;
ug228911;ugW;CITY;Mugusu;;
ug229006;ugW;CITY;Mpondwe;;
ug229150;ugW;CITY;Mitandi;;
ug229178;ugW;CITY;Miramura;;
ug229194;ugW;CITY;Mikyerere;;
ug229206;ugW;CITY;Miduuma;;
ug229361;ugW;CITY;Masindi Port;;
ug229435;ugW;CITY;Maliba;;
ug229640;ugW;CITY;Lwemikoma;;
ug229832;ugW;CITY;Lukwemigo;;
ug229886;ugW;CITY;Luhizha;;
ug229916;ugW;CITY;Lugarama;;
ug230305;ugW;CITY;Kyempitsi;;
ug230360;ugW;CITY;Kyataruga;;
ug230374;ugW;CITY;Kyaruhuga;;
ug230405;ugW;CITY;Kyangyenyi;;
ug230484;ugW;CITY;Kyalugaba;;
ug230737;ugW;CITY;Kizinga;;
ug230920;ugW;CITY;Kitehe;;
ug230996;ugW;CITY;Kisimoro;;
ug231033;ugW;CITY;Kishanzhe;;
ug231038;ugW;CITY;Kisenyi;;
ug231163;ugW;CITY;Kiraboha;;
ug231180;ugW;CITY;Kinyankende;;
ug231185;ugW;CITY;Kinyara;;
ug231279;ugW;CITY;Kikube;;
ug231406;ugW;CITY;Kigumba;;
ug231514;ugW;CITY;Kacherere;;
ug448232;ugW;CITY;Margherita;;
ug231604;ugW;CITY;Kibanda;;
