CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
ae;;COUNTRY;United Arab Emirates;;
ae01;ae;REGION;Abu Dhabi;;
ae12042053;ae01;CITY;Musaffah City;;
ae8057551;ae01;CITY;Khalifah A City;;
ae292913;ae01;CITY;Al Ain City;;
ae12042052;ae01;CITY;Bani Yas City;;
ae291580;ae01;CITY;Zayed City;;
ae12047416;ae01;CITY;Al Shamkhah City;;
ae292688;ae01;CITY;Ar Ruways;;
ae291279;ae01;CITY;Mezaira’a;;
ae290517;ae01;CITY;Wafd;;
ae290681;ae01;CITY;Ţarīf;;
ae291159;ae01;CITY;Qaţţārah;;
ae291471;ae01;CITY;Mawşil;;
ae291987;ae01;CITY;Ḩamīm;;
ae292766;ae01;CITY;Al Qīmī;;
ae292777;ae01;CITY;Al Mu‘taraḑ;;
ae292783;ae01;CITY;Al Mughayrā’;;
ae292795;ae01;CITY;Al-Mirfa’;;
ae11048854;ae01;CITY;Ghayathi;;
ae290401;ae01;CITY;Z̧uwayhir;;
ae290454;ae01;CITY;Z̧afīr;;
ae290521;ae01;CITY;Wadhīl;;
ae290658;ae01;CITY;Tharwānīyah;;
ae290989;ae01;CITY;Sabkhah;;
ae291125;ae01;CITY;Qurmidah;;
ae291146;ae01;CITY;Qu‘aysah;;
ae291477;ae01;CITY;Mas‘ūdī;;
ae291517;ae01;CITY;Marawwaḩ;;
ae291774;ae01;CITY;Jurayrah;;
ae291835;ae01;CITY;Istayhah;;
ae291844;ae01;CITY;Ḩuwaytayn;;
ae291848;ae01;CITY;Ḩuwaylah;;
ae292731;ae01;CITY;An Nashshāsh;;
ae292775;ae01;CITY;Al Muwayqi‘ī;;
ae292789;ae01;CITY;Al Mashrūb;;
ae292791;ae01;CITY;Al Māriyah al Gharbīyah;;
ae292793;ae01;CITY;Al Māriyah;;
ae292880;ae01;CITY;Al Fīyay;;
ae290400;ae01;CITY;Z̧uwayhir;;
ae290589;ae01;CITY;Umm al Qurayn;;
ae291358;ae01;CITY;Mundafinah;;
ae292646;ae01;CITY;As Sulaymāt;;
ae292659;ae01;CITY;As Sād;;
ae290687;ae01;CITY;Ţaraq;;
ae291116;ae01;CITY;Quţūf;;
ae291270;ae01;CITY;Nafīr;;
ae291756;ae01;CITY;Kayyah;;
ae291799;ae01;CITY;Jayf;;
ae291902;ae01;CITY;Hillī;;
ae292051;ae01;CITY;Ḩabshān;;
ae292272;ae01;CITY;Da‘sah;;
ae292294;ae01;CITY;Dāhin;;
ae292617;ae01;CITY;‘Ayn al Fayḑah;;
ae292709;ae01;CITY;‘Arādah;;
ae292744;ae01;CITY;Al Wathbah;;
ae292865;ae01;CITY;Al Ḩādhī;;
ae292915;ae01;CITY;Al Aţīr;;
ae389286;ae01;CITY;Al Mafraq;;
ae389388;ae01;CITY;Ash Shahāmah;;
ae290988;ae01;CITY;Sabkhah;;
ae291443;ae01;CITY;Milqaţah;;
ae292836;ae01;CITY;Al Jaḩr;;
ae412433;ae01;CITY;Za‘bah;;
ae412434;ae01;CITY;Ţawī Khadaraq;;
ae412868;ae01;CITY;Bū Rays;;
ae412871;ae01;CITY;Badiyah;;
