CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
uy;;COUNTRY;Uruguay;;
uy02;uy;REGION;Canelones;;
uy3442057;uy02;CITY;Las Piedras;;
uy3440571;uy02;CITY;Santa Lucía;;
uy3440963;uy02;CITY;Progreso;;
uy3441292;uy02;CITY;Paso de Carrasco;;
uy3441354;uy02;CITY;Pando;;
uy3442098;uy02;CITY;La Paz;;
uy3443737;uy02;CITY;Atlántida;;
uy10098279;uy02;CITY;Barros Blancos;;
uy3439838;uy02;CITY;Toledo;;
uy3440076;uy02;CITY;Soca;;
uy3440379;uy02;CITY;Sauce;;
uy3440554;uy02;CITY;Santa Rosa;;
uy3440596;uy02;CITY;San Ramón;;
uy3440654;uy02;CITY;San Jacinto;;
uy3440698;uy02;CITY;San Bautista;;
uy3440705;uy02;CITY;San Antonio;;
uy3441577;uy02;CITY;Montes;;
uy3441674;uy02;CITY;Migues;;
uy3441954;uy02;CITY;Los Cerrillos;;
uy3442050;uy02;CITY;Las Toscas;;
uy3442236;uy02;CITY;Joaquín Suárez;;
uy3442238;uy02;CITY;Juanicó;;
uy3442683;uy02;CITY;Empalme Olmos;;
uy3443928;uy02;CITY;Aguas Corrientes;;
uy3480820;uy02;CITY;Colonia Nicolich;;
uy3480822;uy02;CITY;Barra de Carrasco;;
uy7602710;uy02;CITY;Ciudad de la Costa;;
uy3439803;uy02;CITY;Totoral del Sauce;;
uy3439904;uy02;CITY;Estación Tapia;;
uy3440569;uy02;CITY;Santa Lucía del Este;;
uy3440584;uy02;CITY;Santa Ana;;
uy3440622;uy02;CITY;San Luis;;
uy3440722;uy02;CITY;Salinas;;
uy3441936;uy02;CITY;Los Titanes;;
uy3442245;uy02;CITY;Jaureguiberry;;
uy3442834;uy02;CITY;Cuchilla Alta;;
uy3442867;uy02;CITY;Costa Azul;;
uy3443564;uy02;CITY;Bolívar;;
uy3443611;uy02;CITY;Biarritz;;
uy3480814;uy02;CITY;El Dorado;;
uy9072742;uy02;CITY;Jardines de Pando;;
uy7576513;uy02;CITY;Las Vegas;;
uy7838845;uy02;CITY;Solymar;;
uy7838846;uy02;CITY;El Bosque;;
uy7838847;uy02;CITY;Lagomar;;
uy7838848;uy02;CITY;Shangrila;;
uy7838849;uy02;CITY;City Park;;
uy7914242;uy02;CITY;Estación Atlántida;;
uy7914622;uy02;CITY;Parque del Plata;;
uy7914699;uy02;CITY;Villa Argentina;;
uy10861464;uy02;CITY;Guazu-Virá;;
uy10861467;uy02;CITY;Marindia;;
uy10861468;uy02;CITY;Estación La Floresta;;
uy10861469;uy02;CITY;Neptunia;;
uy10861470;uy02;CITY;Pinamar;;
uy10861472;uy02;CITY;El Pinar;;
uy10861473;uy02;CITY;Colinas de Solymar;;
uy10861486;uy02;CITY;Estanque de Pando;;
uy10861495;uy02;CITY;Villa Aeroparque;;
uy10861498;uy02;CITY;Villa San José;;
uy10861508;uy02;CITY;Villa Felicidad;;
uy10861755;uy02;CITY;Castellanos;;
uy3442049;uy02;CITY;Las Toscas;;
uy3440021;uy02;CITY;Tala;;
uy3442040;uy02;CITY;La Tuna;;
uy3442138;uy02;CITY;La Floresta;;
uy3441268;uy02;CITY;Paso de Pache;;
uy3442654;uy02;CITY;Estación Migues;;
uy3443785;uy02;CITY;Argentino;;
uy3442718;uy02;CITY;Echevarría;;
uy3443803;uy02;CITY;Arenal;;
uy3439592;uy02;CITY;Villa Nueva;;
uy3440793;uy02;CITY;Rincón de Vidal;;
uy3440794;uy02;CITY;Rincón de Velázquez;;
uy3440823;uy02;CITY;Riffó;;
uy3441097;uy02;CITY;Piedritas;;
uy3441111;uy02;CITY;Piedras de Afilar;;
uy3441150;uy02;CITY;Piedra del Toro;;
uy3441230;uy02;CITY;Pedrera;;
uy3441239;uy02;CITY;Pedernal;;
uy3441258;uy02;CITY;Paso Toscas;;
uy3441266;uy02;CITY;Paso Francos;;
uy3441287;uy02;CITY;Paso de la Cadena;;
uy3441781;uy02;CITY;Mataojo;;
uy3442073;uy02;CITY;Las Brujas;;
uy3442084;uy02;CITY;La Querencia;;
uy3442682;uy02;CITY;Empalme Sauce;;
uy3442851;uy02;CITY;Cruz de los Caminos;;
uy3480818;uy02;CITY;Cap. Juan A. Artigas;;
uy10861463;uy02;CITY;Sierra del Mar;;
uy10861465;uy02;CITY;Bello Horizonte;;
uy10861466;uy02;CITY;Fortín de Santa Rosa;;
uy10861474;uy02;CITY;La Montañesa;;
uy10861475;uy02;CITY;La Palmita;;
uy10861485;uy02;CITY;Capilla de Cella;;
uy10861487;uy02;CITY;Villa Jardín;;
uy10861488;uy02;CITY;Villa San Cono;;
uy10861489;uy02;CITY;Estación Pedrera;;
uy10861506;uy02;CITY;Rincón del Colorado;;
uy10861507;uy02;CITY;Parada Cabrera;;
uy10861569;uy02;CITY;Puntas de Pantanoso;;
uy10861690;uy02;CITY;Paso de las Toscas;;
uy10861691;uy02;CITY;Cerrillos al Sur;;
uy10861692;uy02;CITY;Paso del Bote;;
uy10861697;uy02;CITY;Parador Tajes;;
uy10861701;uy02;CITY;Paso Palomeque;;
uy10861705;uy02;CITY;Costa de Pando;;
uy10861730;uy02;CITY;Paso Espinosa;;
uy10861733;uy02;CITY;La Paloma;;
uy10098534;uy02;CITY;La Sierra;;
uy10098545;uy02;CITY;Solís Grande;;
uy09;uy;REGION;Maldonado;;
uy3440696;uy09;CITY;San Carlos;;
uy3440939;uy09;CITY;Punta del Este;;
uy3441074;uy09;CITY;Piriápolis;;
uy3441358;uy09;CITY;Pan de Azúcar;;
uy3443909;uy09;CITY;Aiguá;;
uy3441064;uy09;CITY;Playa Verde;;
uy3441870;uy09;CITY;Manantiales;;
uy3442066;uy09;CITY;Las Flores;;
uy3442067;uy09;CITY;Las Flores;;
uy3442162;uy09;CITY;La Barra;;
uy3442450;uy09;CITY;Gregorio Aznáres;;
uy3442526;uy09;CITY;Gerona;;
uy3442546;uy09;CITY;Garzón;;
uy3443627;uy09;CITY;Bella Vista;;
uy3443700;uy09;CITY;Solís;;
uy8555964;uy09;CITY;Sauce de Portezuelo;;
uy8555965;uy09;CITY;Punta Ballena;;
uy8555966;uy09;CITY;Chihuahua;;
uy9883531;uy09;CITY;Playa Grande;;
uy7729799;uy09;CITY;Playa Hermosa;;
uy10098391;uy09;CITY;Barrio Hipódromo;;
uy10098401;uy09;CITY;Cerro Pelado;;
uy10098411;uy09;CITY;La Capuera;;
uy10098414;uy09;CITY;Ocean Park;;
uy10098419;uy09;CITY;Punta Negra;;
uy10098425;uy09;CITY;Balneario Buenos Aires;;
uy10098447;uy09;CITY;El Chorro;;
uy10098454;uy09;CITY;El Tesoro;;
uy10098500;uy09;CITY;Santa Mónica;;
uy3441937;uy09;CITY;Los Talas;;
uy3440597;uy09;CITY;San Rafael;;
uy3440726;uy09;CITY;Salamanca;;
uy3441484;uy09;CITY;Nueva Carrara;;
uy3442229;uy09;CITY;José Ignacio;;
uy3443673;uy09;CITY;Barra de Maldonado;;
uy10641708;uy09;CITY;Las Cumbres;;
uy10641879;uy09;CITY;Abra de Castellanos;;
uy10641917;uy09;CITY;Partido Oeste;;
uy10641918;uy09;CITY;Guardia Vieja;;
uy10641919;uy09;CITY;Los Ceibos;;
uy10642013;uy09;CITY;El Placer;;
uy10642052;uy09;CITY;Parque Medina;;
uy10642265;uy09;CITY;Estación José Ignacio;;
uy10642314;uy09;CITY;Puntas de José Ignacio;;
uy10642831;uy09;CITY;Sauce de Aiguá;;
uy10642886;uy09;CITY;Paso de Los Talas;;
uy10098370;uy09;CITY;Arenas de José Ignacio;;
uy10098384;uy09;CITY;Abra de Perdomo;;
uy10098397;uy09;CITY;Canteras de Marelli;;
uy10098438;uy09;CITY;Edén Rock;;
uy10098449;uy09;CITY;El Edén;;
uy10098508;uy09;CITY;Sarandí del Mataojo;;
uy10098514;uy09;CITY;Zanja del Tigre;;
uy10098531;uy09;CITY;Cerros Azules;;
uy01;uy;REGION;Artigas;;
uy3443631;uy01;CITY;Bella Unión;;
uy3443697;uy01;CITY;Baltasar Brum;;
uy3439827;uy01;CITY;Topador;;
uy3440092;uy01;CITY;Pueblo Sequeira;;
uy3441789;uy01;CITY;Masoller;;
uy3442244;uy01;CITY;Javier de Viana;;
uy3442570;uy01;CITY;Franquia;;
uy3442846;uy01;CITY;Cuaró;;
uy3443462;uy01;CITY;Paso Campamento;;
uy3443539;uy01;CITY;Brigadier General Diego Lamas;;
uy3443614;uy01;CITY;Bernabé Rivera;;
uy8358381;uy01;CITY;Cuareim;;
uy8538180;uy01;CITY;Colonia Palma;;
uy8057939;uy01;CITY;Portones de Hierro y Campodónico;;
uy8057940;uy01;CITY;Coronado;;
