CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
vu;;COUNTRY;Vanuatu;;
vu16;vu;REGION;Malampa;;
vu2135517;vu16;CITY;Norsup;;
vu2136652;vu16;CITY;Lamap;;
vu2137036;vu16;CITY;Fanla;;
vu2137109;vu16;CITY;Emiotouan;;
vu2135172;vu16;CITY;Port-Vato;;
vu2135436;vu16;CITY;Ulei;;
vu2135487;vu16;CITY;Olal;;
vu2135956;vu16;CITY;Mégam;;
vu2136184;vu16;CITY;Lowa;;
vu2136604;vu16;CITY;Larévet;;
vu2137403;vu16;CITY;Sésivi;;
vu2137457;vu16;CITY;Aulua;;
vu2134920;vu16;CITY;Sam̄éo;;
vu2134983;vu16;CITY;Roghuros;;
vu2135025;vu16;CITY;Rerep;;
vu2135256;vu16;CITY;Peskarüs;;
vu2135762;vu16;CITY;Nanamorou;;
vu2135904;vu16;CITY;Mériver;;
vu2135940;vu16;CITY;Mélip;;
vu2136101;vu16;CITY;Malfakal;;
vu2136280;vu16;CITY;Lononwei;;
vu2136681;vu16;CITY;Lalembou;;
vu2137104;vu16;CITY;Endou;;
vu2137152;vu16;CITY;Drivaï;;
vu2137227;vu16;CITY;Brennwé;;
vu2137401;vu16;CITY;Batambou;;
vu2137443;vu16;CITY;Baalap;;
vu2134067;vu16;CITY;Wuro;;
vu2134073;vu16;CITY;Wowo;;
vu2134157;vu16;CITY;Wintua;;
vu2134526;vu16;CITY;Toou;;
vu2134639;vu16;CITY;Tavendroua;;
vu2134871;vu16;CITY;Sarmette;;
vu2134943;vu16;CITY;Saé;;
vu2135173;vu16;CITY;Port-Stanley;;
vu2135214;vu16;CITY;Pinambo;;
vu2135273;vu16;CITY;Péniciès;;
vu2135278;vu16;CITY;Pénap;;
vu2135454;vu16;CITY;Otas;;
vu2135457;vu16;CITY;Oroni;;
vu2135463;vu16;CITY;Orap;;
vu2135496;vu16;CITY;Npénanavèt;;
vu2135502;vu16;CITY;Nountor;;
vu2135530;vu16;CITY;Noou;;
vu2135549;vu16;CITY;Noboros;;
vu2135603;vu16;CITY;Neubul;;
vu2135632;vu16;CITY;Néhatourou;;
vu2135633;vu16;CITY;Nehatlin;;
vu2135634;vu16;CITY;Néha;;
vu2135652;vu16;CITY;Nayo;;
vu2135718;vu16;CITY;Napoul;;
vu2135728;vu16;CITY;Naous;;
vu2135848;vu16;CITY;Morou;;
vu2135856;vu16;CITY;Molorhaï;;
vu2135888;vu16;CITY;Métavèn;;
vu2135891;vu16;CITY;Métanwar;;
vu2135895;vu16;CITY;Métamli;;
vu2135922;vu16;CITY;Melwar;;
vu2135925;vu16;CITY;Melto;;
vu2135927;vu16;CITY;Mélten;;
vu2135928;vu16;CITY;Meltébin;;
vu2135941;vu16;CITY;Mélibwé;;
vu2135949;vu16;CITY;Melbulbul;;
vu2135962;vu16;CITY;Mavora;;
vu2135975;vu16;CITY;Matié;;
vu2135979;vu16;CITY;Maténoua;;
vu2135992;vu16;CITY;Matanvat;;
vu2136013;vu16;CITY;Mat;;
vu2136021;vu16;CITY;Maronron;;
vu2136029;vu16;CITY;Marembako;;
vu2136044;vu16;CITY;Mapkinkin;;
vu2136068;vu16;CITY;Malvér;;
vu2136141;vu16;CITY;Maé;;
vu2136191;vu16;CITY;Lovis;;
vu2136200;vu16;CITY;Louoïmalakaï;;
vu2136209;vu16;CITY;Louli;;
vu2136210;vu16;CITY;Loulep;;
vu2136219;vu16;CITY;Loua;;
vu2136263;vu16;CITY;Lonyemyem;;
vu2136265;vu16;CITY;Lonwel;;
vu2136269;vu16;CITY;Lonwar;;
vu2136274;vu16;CITY;Lonsal;;
vu2136276;vu16;CITY;Lonré;;
vu2136284;vu16;CITY;Lonmink;;
vu2136286;vu16;CITY;Lonha;;
vu2136301;vu16;CITY;Lonbarnié;;
vu2136312;vu16;CITY;Lonepan;;
vu2136324;vu16;CITY;Loluerkon;;
vu2136358;vu16;CITY;Lolimari;;
vu2136359;vu16;CITY;Lolibwé;;
vu2136362;vu16;CITY;Loliboulo;;
vu2136390;vu16;CITY;Litzlitz;;
vu2136396;vu16;CITY;Liro;;
vu2136408;vu16;CITY;Linboul;;
vu2136409;vu16;CITY;Linarar;;
vu2136418;vu16;CITY;Limap;;
vu2136422;vu16;CITY;Likon;;
vu2136441;vu16;CITY;Léviamp;;
vu2136444;vu16;CITY;Leve;;
vu2136469;vu16;CITY;Lésarmalras;;
vu2136473;vu16;CITY;Léronron;;
vu2136482;vu16;CITY;Lepersivir;;
vu2136487;vu16;CITY;Lénor;;
vu2136506;vu16;CITY;Lémettou;;
vu2136512;vu16;CITY;Lembinwen;;
vu2136525;vu16;CITY;Lélé;;
vu2136574;vu16;CITY;Lavalsal;;
vu2136629;vu16;CITY;Lanour;;
vu2136641;vu16;CITY;Lampétiar;;
vu2136645;vu16;CITY;Lamniat;;
vu2136649;vu16;CITY;Lamengo;;
vu2136656;vu16;CITY;Lamboulpatouey;;
vu2136678;vu16;CITY;Lalinda;;
vu2136722;vu16;CITY;Labo;;
vu2136752;vu16;CITY;Konkon;;
vu2136763;vu16;CITY;Kindou;;
vu2136786;vu16;CITY;Katbol;;
vu2136788;vu16;CITY;Karo;;
vu2136842;vu16;CITY;Invanou;;
vu2136843;vu16;CITY;Inter;;
vu2136888;vu16;CITY;Ignal;;
vu2136902;vu16;CITY;Hounnbank;;
vu2136909;vu16;CITY;Horrok;;
vu2136915;vu16;CITY;Holen;;
vu2136927;vu16;CITY;Hémébouer;;
vu2136929;vu16;CITY;Hébel;;
vu2136930;vu16;CITY;Hawor;;
vu2136935;vu16;CITY;Harimal;;
vu2136939;vu16;CITY;Hangar;;
vu2136945;vu16;CITY;Halos;;
vu2136969;vu16;CITY;Gébénour;;
vu2136996;vu16;CITY;Fonwor;;
vu2136998;vu16;CITY;Fontengro;;
vu2136999;vu16;CITY;Fonteng;;
vu2137002;vu16;CITY;Fona;;
vu2137027;vu16;CITY;Fartabo;;
vu2137029;vu16;CITY;Faroun;;
vu2137031;vu16;CITY;Fantiékon;;
vu2137032;vu16;CITY;Fanréréo;;
vu2137034;vu16;CITY;Fanouatatao;;
vu2137037;vu16;CITY;Fanebal;;
vu2137041;vu16;CITY;Famban;;
vu2137044;vu16;CITY;Falimapkon;;
vu2137045;vu16;CITY;Falibeur;;
vu2137046;vu16;CITY;Fali;;
vu2137110;vu16;CITY;Emiotébin;;
vu2137125;vu16;CITY;Ellarmo;;
vu2137153;vu16;CITY;Douèn;;
vu2137202;vu16;CITY;Chinohouse;;
vu2137217;vu16;CITY;Bwélétaveureukon;;
vu2137218;vu16;CITY;Bwéhaltalam;;
vu2137228;vu16;CITY;Bowé;;
vu2137242;vu16;CITY;Bourbar;;
vu2137251;vu16;CITY;Boumhaéham;;
vu2137274;vu16;CITY;Boton;;
vu2137277;vu16;CITY;Boroumvor;;
vu2137278;vu16;CITY;Borabor;;
vu2137288;vu16;CITY;Bolès;;
vu2137292;vu16;CITY;Bogor;;
vu2137303;vu16;CITY;Bitar;;
