CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
ve;;COUNTRY;Venezuela;;
ve11;ve;REGION;Falcón;;
ve3629614;ve11;CITY;Punta Cardón;;
ve3649780;ve11;CITY;Adicora;;
ve3639276;ve11;CITY;Jadacaquiva;;
ve3626150;ve11;CITY;Tocuyo de La Costa;;
ve3626245;ve11;CITY;Tiguadare;;
ve3629765;ve11;CITY;La Sierra;;
ve3648215;ve11;CITY;Boca Aroa;;
ve3649293;ve11;CITY;Amuay;;
ve3638235;ve11;CITY;La Cuiba;;
ve3648774;ve11;CITY;Auyamitas;;
ve3640156;ve11;CITY;Guarabal;;
ve3640417;ve11;CITY;Guacujua;;
ve3642973;ve11;CITY;El Isiro;;
ve3643403;ve11;CITY;El Derramadero;;
ve3643572;ve11;CITY;El Congal;;
ve3644899;ve11;CITY;Cuara;;
ve3644936;ve11;CITY;Cropapa;;
ve3625377;ve11;CITY;Vidare;;
ve3626394;ve11;CITY;Taruma;;
ve3628024;ve11;CITY;San Lorenzo;;
ve3628128;ve11;CITY;San José de Seque;;
ve3628141;ve11;CITY;San José de La Costa;;
ve3628544;ve11;CITY;Sanare;;
ve3631186;ve11;CITY;Pachouly;;
ve3631302;ve11;CITY;Origuaza;;
ve3646696;ve11;CITY;Caramón;;
ve3647519;ve11;CITY;Caidi;;
ve3647808;ve11;CITY;Buena Vista;;
ve3648183;ve11;CITY;Boca de Mangle;;
ve3648186;ve11;CITY;Boca del Tocuyo;;
ve3648460;ve11;CITY;Barrio Miramar;;
ve3632860;ve11;CITY;Marsillalita;;
ve3632861;ve11;CITY;Marsillal;;
ve3634895;ve11;CITY;La Vigía;;
ve3635020;ve11;CITY;La Vaca;;
ve3635464;ve11;CITY;Las Piedras;;
ve3644468;ve11;CITY;Don Diego;;
ve3644663;ve11;CITY;Curarima;;
ve3644900;ve11;CITY;Cuara;;
ve3630162;ve11;CITY;Pilancón;;
ve3630636;ve11;CITY;Paso de Acurigua;;
ve3646096;ve11;CITY;Ceferina;;
ve3646591;ve11;CITY;Cardón Grande;;
ve3646631;ve11;CITY;Carativania;;
ve3646713;ve11;CITY;Caradocagua;;
ve3633792;ve11;CITY;Los Pavos;;
ve3638312;ve11;CITY;La Crucesita;;
ve3638397;ve11;CITY;La Comunidad;;
ve3639067;ve11;CITY;Juncalito;;
ve3639086;ve11;CITY;Judibana;;
ve3639461;ve11;CITY;Huequito;;
ve3639652;ve11;CITY;El Hatillo;;
ve3639920;ve11;CITY;Guasiquí;;
ve3640258;ve11;CITY;Guanadito;;
ve3640275;ve11;CITY;Guamure;;
ve3640384;ve11;CITY;Guaibacoa;;
ve3640587;ve11;CITY;Goajiro;;
ve3642098;ve11;CITY;El Perico;;
ve3642227;ve11;CITY;Paraíso;;
ve3642726;ve11;CITY;El Mamón;;
ve3642727;ve11;CITY;El Mamón;;
ve3642882;ve11;CITY;El Kilometro Cincuenta y Dos;;
ve3642947;ve11;CITY;El Jebe;;
ve3643359;ve11;CITY;El Dividive;;
ve3643788;ve11;CITY;El Cayude;;
ve3643987;ve11;CITY;El Candado;;
ve3644010;ve11;CITY;El Camare;;
ve3644077;ve11;CITY;El Caballo;;
ve3644151;ve11;CITY;El Beneficio;;
ve3644672;ve11;CITY;Curarí;;
ve3644772;ve11;CITY;Cumujacoa;;
ve3645099;ve11;CITY;Corozalito;;
ve3645566;ve11;CITY;Ciénega Lejos;;
ve3645658;ve11;CITY;Chivuche;;
ve3645760;ve11;CITY;Chimpire;;
ve3645771;ve11;CITY;Chimaré;;
ve3625393;ve11;CITY;Viana;;
ve3625423;ve11;CITY;Ventura;;
ve3625665;ve11;CITY;Manaure;;
ve3626415;ve11;CITY;Tarama;;
