CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
vn;;COUNTRY;Vietnam;;
vn45;vn;REGION;Bà Rịa-Vũng Tàu;;
vn1562414;vn45;CITY;Vũng Tàu;;
vn1584807;vn45;CITY;Côn Sơn;;
vn1560452;vn45;CITY;Xuyên Mộc;;
vn1561210;vn45;CITY;Xóm Mỹ Xuân;;
vn1562278;vn45;CITY;Xã Long Hải;;
vn1562346;vn45;CITY;Xã Bình Giả;;
vn1562357;vn45;CITY;Xã An Ngãi;;
vn1570357;vn45;CITY;Phú Mỹ;;
vn1591661;vn45;CITY;Ấp Xuân Sơn;;
vn1592500;vn45;CITY;Ấp Phước Tĩnh;;
vn1593603;vn45;CITY;Ấp Cụ B;;
vn1593889;vn45;CITY;Ấp Bình Châu;;
vn8421418;vn45;CITY;Suối Nghệ;;
vn8421426;vn45;CITY;Hồ Tràm;;
vn1588223;vn45;CITY;Bà Rịa;;
vn1577777;vn45;CITY;Bầu Ma;;
vn1562230;vn45;CITY;Xã Như Lâm;;
vn1585496;vn45;CITY;Cỏ Ống;;
vn1592516;vn45;CITY;Phước Thành;;
vn1592552;vn45;CITY;Phước Cơ;;
vn1593027;vn45;CITY;Long Xuyen;;
vn1593567;vn45;CITY;Nhu Lam;;
vn1585313;vn45;CITY;Chợ Phước Hải;;
vn1561335;vn45;CITY;Xóm La Vân;;
vn1561711;vn45;CITY;Xóm Đá Dủng;;
vn1576222;vn45;CITY;La Sơn;;
vn1576756;vn45;CITY;Làng Phước Hòa;;
vn1577075;vn45;CITY;Làng Long Sơn;;
vn1577076;vn45;CITY;Làng Long Hương;;
vn1562188;vn45;CITY;Xã Thắng Nhứt;;
vn1562190;vn45;CITY;Xã Thắng Nhí;;
vn1562200;vn45;CITY;Xã Tam Phước;;
vn1562222;vn45;CITY;Phước Lợi;;
vn1562223;vn45;CITY;Xã Phước Lễ;;
vn1562273;vn45;CITY;Xã Long Tân;;
vn1562275;vn45;CITY;Xã Long Sơn;;
vn1562277;vn45;CITY;Xã Long Mỹ;;
vn1562279;vn45;CITY;Xã Long Diền;;
vn1562347;vn45;CITY;Xã Bình Ba;;
vn1562356;vn45;CITY;Xã An Nhứt;;
vn1565097;vn45;CITY;Thuận Biên;;
vn47;vn;REGION;Bình Thuận;;
vn1577995;vn47;CITY;La Gi;;
vn1592699;vn47;CITY;Ninh Thuận;;
vn1593306;vn47;CITY;Ấp Hòa Thanh;;
vn1593397;vn47;CITY;Hà Thủy;;
vn1593404;vn47;CITY;Ấp Hải Tân;;
vn1561016;vn47;CITY;Hiệp Nghĩa;;
vn1561278;vn47;CITY;Xóm Ma Ni;;
vn1574703;vn47;CITY;Me Pu Clong Du;;
vn1562168;vn47;CITY;Vo Dat;;
vn1562178;vn47;CITY;Xã Tram Da Mi;;
