CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
ye;;COUNTRY;Yemen;;
ye01;ye;REGION;Abyan;;
ye74219;ye01;CITY;Jawf al Maqbābah;;
ye79888;ye01;CITY;Am ‘Ayn;;
ye409244;ye01;CITY;Maqdah;;
ye74183;ye01;CITY;Jiblat al Waznah;;
ye74184;ye01;CITY;Jiblat al Faraj;;
ye75838;ye01;CITY;Far‘ān;;
ye76453;ye01;CITY;Dār Ḑaḩūkah;;
ye76886;ye01;CITY;Bā Zulayfah;;
ye77060;ye01;CITY;Bā Tays;;
ye77615;ye01;CITY;Awrumah;;
ye77663;ye01;CITY;Aţ Ţarīyah;;
ye77664;ye01;CITY;Aţ Ţarīyah;;
ye77702;ye01;CITY;Ath Thalib;;
ye77749;ye01;CITY;As Suwaydā’;;
ye77754;ye01;CITY;Umm Şurrah;;
ye77755;ye01;CITY;Am Şurrah;;
ye77802;ye01;CITY;Am Şawma‘ah;;
ye77812;ye01;CITY;Umm Sawād;;
ye77830;ye01;CITY;Samn;;
ye77857;ye01;CITY;Am Şala‘ah;;
ye77903;ye01;CITY;‘Aslān;;
ye78128;ye01;CITY;Ar Rawwā;;
ye78278;ye01;CITY;‘Arābah;;
ye78350;ye01;CITY;Am Nijdah;;
ye78363;ye01;CITY;An Nashsh;;
ye78419;ye01;CITY;‘Amūdīyah;;
ye78563;ye01;CITY;Al Qurna‘ah;;
ye78627;ye01;CITY;Al Qawz;;
ye78637;ye01;CITY;Al Qashabah;;
ye78639;ye01;CITY;Umm Qaryah;;
ye78670;ye01;CITY;Qārah;;
ye78717;ye01;CITY;Am Qā‘;;
ye78718;ye01;CITY;Am Qā‘;;
ye78786;ye01;CITY;Am Mishqālah;;
ye78795;ye01;CITY;Al Ḩiḑn;;
ye78796;ye01;CITY;Am Mirşāş;;
ye78891;ye01;CITY;Al Maşāni‘;;
ye78958;ye01;CITY;Al Makhzan al Qā‘ī;;
ye78959;ye01;CITY;Al Makhzan al Fawqī;;
ye78976;ye01;CITY;Al Ma‘jalah;;
ye78987;ye01;CITY;Al Maḩlaj;;
ye78990;ye01;CITY;Al Maḩall;;
ye79042;ye01;CITY;Al Ma‘ar;;
ye79111;ye01;CITY;Umm Khudayrah;;
ye79123;ye01;CITY;Am Khayyālah;;
