CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
zm;;COUNTRY;Zambia;;
zm08;zm;REGION;Copperbelt;;
zm911148;zm08;CITY;Kitwe;;
zm905395;zm08;CITY;Mufulira;;
zm909863;zm08;CITY;Luanshya;;
zm914959;zm08;CITY;Kalulushi;;
zm919544;zm08;CITY;Chililabombwe;;
zm920820;zm08;CITY;Chambishi;;
zm912226;zm08;CITY;Kataba;;
zm921133;zm08;CITY;Bwana Mkubwa;;
zm920070;zm08;CITY;Chifubu;;
zm905789;zm08;CITY;Mpongwe;;
zm907587;zm08;CITY;Masaiti;;
zm900813;zm08;CITY;Nkana;;
zm11256943;zm08;CITY;Lumumba;;
zm912364;zm08;CITY;Kasompe;;
zm915467;zm08;CITY;Kalabwe;;
zm919108;zm08;CITY;Chimyamauni;;
zm903898;zm08;CITY;Mushili;;
zm905306;zm08;CITY;Mujika;;
zm905749;zm08;CITY;Mpupulwa;;
zm908153;zm08;CITY;Malembeka;;
zm909699;zm08;CITY;Lucheshi;;
zm898693;zm08;CITY;Shibuchinga;;
zm901441;zm08;CITY;Nchinke;;
zm903631;zm08;CITY;Mutasa;;
zm920745;zm08;CITY;Chamwela;;
zm920876;zm08;CITY;Chamankondi;;
zm921407;zm08;CITY;Belleview;;
zm921496;zm08;CITY;Balanbeen;;
zm912143;zm08;CITY;Katata;;
zm912726;zm08;CITY;Kasamwa;;
zm913210;zm08;CITY;Kapapula;;
zm913826;zm08;CITY;Kangondi;;
zm914535;zm08;CITY;Kambowa Farm;;
zm915007;zm08;CITY;Kaluba;;
zm915254;zm08;CITY;Kalibwe;;
zm915478;zm08;CITY;Kalabaila;;
zm916574;zm08;CITY;Jeke Mabenga;;
zm917073;zm08;CITY;Garneton;;
zm917223;zm08;CITY;Fisenge;;
zm917847;zm08;CITY;Chiyaba;;
zm918429;zm08;CITY;Chisampala;;
zm918989;zm08;CITY;Chingulo;;
zm919210;zm08;CITY;Chimoto;;
