CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
zw;;COUNTRY;Zimbabwe;;
zw10;zw;REGION;Harare;;
zw1106542;zw10;CITY;Chitungwiza;;
zw878996;zw10;CITY;Winchendon;;
zw881516;zw10;CITY;Seki Township;;
zw881520;zw10;CITY;Seki African Township;;
zw881811;zw10;CITY;Saint Marys;;
zw890709;zw10;CITY;Groombridge;;
zw1085460;zw10;CITY;Strathmore;;
zw1085462;zw10;CITY;Glenavon Est;;
zw1085463;zw10;CITY;Mon Abri;;
zw1085464;zw10;CITY;Mtendere;;
zw1085465;zw10;CITY;Wallace Block;;
zw1085468;zw10;CITY;Stortford;;
zw1085469;zw10;CITY;Parkridge Estate;;
zw1085470;zw10;CITY;Crawborough;;
zw1085471;zw10;CITY;Zizalisari;;
zw1085476;zw10;CITY;Kingsmead;;
zw1085477;zw10;CITY;Dungarven;;
zw1085478;zw10;CITY;Bingley;;
zw1085481;zw10;CITY;Stubbington Park;;
zw1085482;zw10;CITY;Mount Pleasant Park;;
zw1085483;zw10;CITY;Comet Rise;;
zw1085484;zw10;CITY;Tudeley;;
zw1085488;zw10;CITY;Downlands Park;;
zw1085491;zw10;CITY;Salisbury Park;;
zw1085500;zw10;CITY;Barrington;;
zw1085501;zw10;CITY;Hartlands;;
zw1085502;zw10;CITY;Inkubusi;;
zw1085509;zw10;CITY;Lorelei;;
zw1085511;zw10;CITY;Dunowen;;
zw1085516;zw10;CITY;Derbyshire Township;;
zw7370846;zw10;CITY;Veneka Business Centre;;
zw7405251;zw10;CITY;Kaseke;;
zw05;zw;REGION;Mashonaland West;;
zw889453;zw05;CITY;Kadoma;;
zw884141;zw05;CITY;Norton;;
zw889215;zw05;CITY;Kariba;;
zw894239;zw05;CITY;Chegutu;;
zw889191;zw05;CITY;Karoi;;
zw882722;zw05;CITY;Raffingora;;
zw893397;zw05;CITY;Chirundu;;
zw894413;zw05;CITY;Chakari;;
zw895417;zw05;CITY;Banket;;
zw886146;zw05;CITY;Mangula;;
zw880030;zw05;CITY;Trelawney;;
zw881505;zw05;CITY;Selous;;
zw891335;zw05;CITY;Gadzema;;
zw891816;zw05;CITY;Eldorado;;
zw891842;zw05;CITY;Eiffel Flats;;
zw892601;zw05;CITY;Darwendale;;
zw894310;zw05;CITY;Charara;;
zw894679;zw05;CITY;Bumi Hills;;
zw884789;zw05;CITY;Maimi;;
zw885535;zw05;CITY;Mubayira;;
zw887648;zw05;CITY;Makuti;;
zw887908;zw05;CITY;Magunje;;
zw888051;zw05;CITY;Madadzi;;
zw888461;zw05;CITY;Lions Den;;
zw8300447;zw05;CITY;Vuti;;
zw7370433;zw05;CITY;Tegwe;;
zw11258892;zw05;CITY;Golden Valley;;
zw879656;zw05;CITY;Umsweswe;;
zw895329;zw05;CITY;Battlefields;;
zw884033;zw05;CITY;Nyabira;;
zw884904;zw05;CITY;Mutorashanga;;
zw887616;zw05;CITY;Makwiro;;
zw884609;zw05;CITY;Nbira;;
zw894414;zw05;CITY;Chikara;;
zw885030;zw05;CITY;Musonza;;
zw886568;zw05;CITY;Matswaire;;
zw891300;zw05;CITY;Gambisa;;
zw883457;zw05;CITY;Nyangwene;;
zw884219;zw05;CITY;Nkarakati;;
zw886930;zw05;CITY;Maryland Junction;;
zw888072;zw05;CITY;Machiroli;;
zw889270;zw05;CITY;Kanyonga Camp;;
zw882460;zw05;CITY;Rimuka;;
zw882912;zw05;CITY;Pfupajena;;
zw891087;zw05;CITY;Glenearn;;
zw891170;zw05;CITY;Georgia;;
zw892075;zw05;CITY;Duchess Hill;;
zw892288;zw05;CITY;Doma;;
zw893148;zw05;CITY;Chiwakanyama;;
zw893198;zw05;CITY;Chiva;;
zw893723;zw05;CITY;Chinex;;
zw894446;zw05;CITY;Chababomera;;
zw884384;zw05;CITY;Ngesi;;
zw884456;zw05;CITY;Newbiggin;;
zw884465;zw05;CITY;Neuso Business Centre;;
zw885534;zw05;CITY;Mubayira Township Reserve;;
zw885702;zw05;CITY;Mrazor;;
zw885835;zw05;CITY;Mormon Hill;;
zw886108;zw05;CITY;Milan;;
zw886225;zw05;CITY;Melton;;
zw886868;zw05;CITY;Mashami;;
zw887287;zw05;CITY;Manyati;;
zw887542;zw05;CITY;Malube;;
zw889049;zw05;CITY;Kazangarare;;
zw889072;zw05;CITY;Kawahove;;
zw889232;zw05;CITY;Kapoka;;
zw1085457;zw05;CITY;Good Hope;;
zw1085458;zw05;CITY;Teneriffe;;
zw1085466;zw05;CITY;Haydon;;
zw1085493;zw05;CITY;Gleneagles;;
zw1085499;zw05;CITY;Chulu;;
zw8469052;zw05;CITY;Zimbara;;
zw8300446;zw05;CITY;Marongora;;
zw8300450;zw05;CITY;Chehoko;;
zw8300451;zw05;CITY;Buffalo Downs;;
zw7370316;zw05;CITY;Masikote;;
zw7370344;zw05;CITY;Mazunga;;
zw7370406;zw05;CITY;Matsikita;;
zw7370412;zw05;CITY;Mapaima;;
zw7370418;zw05;CITY;Micher;;
zw7370421;zw05;CITY;Robson;;
zw7370422;zw05;CITY;Johannes;;
zw7370423;zw05;CITY;James;;
zw7370424;zw05;CITY;Peter;;
zw7370425;zw05;CITY;Lazarus;;
zw7370427;zw05;CITY;Rice;;
zw7370428;zw05;CITY;Nvaguwe;;
zw7370430;zw05;CITY;Makara;;
zw7370431;zw05;CITY;Gatora;;
zw7370432;zw05;CITY;Tunganbora;;
zw7370434;zw05;CITY;Naison;;
zw7370436;zw05;CITY;Mahau;;
zw7370437;zw05;CITY;Chundu;;
zw7370439;zw05;CITY;Peter;;
zw7370440;zw05;CITY;Adam;;
zw7370441;zw05;CITY;Chitindiva;;
zw7370442;zw05;CITY;Kakoma;;
zw7370549;zw05;CITY;Mpakati;;
zw7370551;zw05;CITY;Logan;;
zw7370555;zw05;CITY;Mpagari;;
zw7370557;zw05;CITY;Dick;;
zw7370561;zw05;CITY;Zinyemba;;
zw7370562;zw05;CITY;Kazunga;;
zw7370563;zw05;CITY;Chikowe;;
zw7370564;zw05;CITY;Bihkausara;;
zw7370565;zw05;CITY;Mafungautsi;;
zw7370590;zw05;CITY;Makuni;;
zw7370595;zw05;CITY;Vagonda;;
zw7370622;zw05;CITY;Mushaikwa;;
zw7370623;zw05;CITY;Vereta;;
zw7370624;zw05;CITY;Mukambi;;
zw7370625;zw05;CITY;Kadunga;;
zw7370626;zw05;CITY;Kazangare;;
zw7370627;zw05;CITY;Dondo;;
zw7370628;zw05;CITY;Matesanwa;;
zw7370629;zw05;CITY;Dondoro;;
zw7370630;zw05;CITY;Chimawmaka;;
zw7370631;zw05;CITY;Mapungantsi;;
zw7370632;zw05;CITY;Washayanyika;;
zw7370633;zw05;CITY;Kachidza;;
zw7370696;zw05;CITY;Kanyoka;;
zw7370700;zw05;CITY;Rabata;;
zw7370740;zw05;CITY;Maplanka;;
zw7370742;zw05;CITY;Muchororinga;;
zw7370743;zw05;CITY;Chimyemhere;;
zw7370744;zw05;CITY;Kunaka;;
zw7370745;zw05;CITY;Chinyangwe;;
zw7370746;zw05;CITY;Hondo;;
zw7370747;zw05;CITY;Chivere;;
zw7370748;zw05;CITY;Wenera;;
zw7370749;zw05;CITY;Mukumbirofa;;
zw7370750;zw05;CITY;Magumbura;;
zw7370751;zw05;CITY;Murodza;;
zw7370753;zw05;CITY;Mashayamambe;;
zw7370754;zw05;CITY;Ndirazepatswa;;
zw7370755;zw05;CITY;Zuzenika;;
zw7370756;zw05;CITY;Gawa;;
zw7370757;zw05;CITY;Neruwembo;;
zw7370758;zw05;CITY;Nyikadzino;;
zw7370760;zw05;CITY;Kamhali;;
zw7370766;zw05;CITY;Gachegache;;
zw7370785;zw05;CITY;Nyarumwe;;
zw7370786;zw05;CITY;Paratema;;
zw7370788;zw05;CITY;Matimba;;
zw7370789;zw05;CITY;Nyamasoka;;
zw7370790;zw05;CITY;Navimadzanwa;;
zw7370793;zw05;CITY;Kajamatimba;;
zw7370794;zw05;CITY;Chambati;;
zw7370795;zw05;CITY;Muchidzagora;;
zw7370796;zw05;CITY;Samasuro Bunda II;;
zw7370797;zw05;CITY;Chitau;;
zw7370798;zw05;CITY;Makanyaire;;
zw7370799;zw05;CITY;Makumbi;;
zw7370800;zw05;CITY;Mudema;;
zw7370801;zw05;CITY;Mazrimbakupa;;
zw7370802;zw05;CITY;Nzunguchewa;;
zw7371059;zw05;CITY;Bopofo;;
zw7371062;zw05;CITY;Matamba;;
zw7371063;zw05;CITY;Gasura;;
zw7371064;zw05;CITY;Makumba;;
zw7371065;zw05;CITY;Njoga;;
zw7371066;zw05;CITY;Wenzera;;
zw7371067;zw05;CITY;Kapire;;
zw7371068;zw05;CITY;Chivanga;;
zw7371070;zw05;CITY;Mberero;;
zw7371072;zw05;CITY;Matsika;;
zw7371073;zw05;CITY;Kangausaru;;
zw7371074;zw05;CITY;Chitehere;;
zw7371075;zw05;CITY;Machona;;
zw7371126;zw05;CITY;Nyahuma;;
zw7371127;zw05;CITY;Chendamora;;
zw7371128;zw05;CITY;Nazvaure;;
zw7371129;zw05;CITY;Dombo;;
zw7371130;zw05;CITY;Hondoma;;
zw7371131;zw05;CITY;Chaparanganda;;
zw7371132;zw05;CITY;Majinjiwa;;
zw7371133;zw05;CITY;Mujona;;
zw7371134;zw05;CITY;Jera;;
zw7371140;zw05;CITY;Mjikachi;;
zw7371141;zw05;CITY;Makuwerere;;
zw7371142;zw05;CITY;Marova;;
zw7371143;zw05;CITY;Mtinha;;
zw7371144;zw05;CITY;Kapambara;;
zw7371147;zw05;CITY;Mazindora;;
zw7371153;zw05;CITY;Nyamunga;;
zw7371157;zw05;CITY;Zvipani;;
zw7371160;zw05;CITY;Makota;;
zw7371161;zw05;CITY;Zinhu;;
zw7371162;zw05;CITY;Shavereshongwe;;
zw7371163;zw05;CITY;Nyamupinga;;
zw7371164;zw05;CITY;Kapesa;;
zw7371165;zw05;CITY;Kachamaenza;;
zw7371166;zw05;CITY;Mandina;;
zw7371167;zw05;CITY;Chabera;;
zw7371168;zw05;CITY;Chiwara;;
zw7371169;zw05;CITY;Ruzarde;;
zw7371170;zw05;CITY;Kanyurira;;
zw7371171;zw05;CITY;Chasauka;;
zw7371172;zw05;CITY;Nbewedzebonde;;
zw7371173;zw05;CITY;Katemanyoka;;
zw7371174;zw05;CITY;Hodzi;;
zw7371180;zw05;CITY;Makanyaire;;
zw7371181;zw05;CITY;Murimbika;;
zw7371182;zw05;CITY;Madimba;;
zw7371183;zw05;CITY;Mangwaira;;
zw7371184;zw05;CITY;Kamutsamombe;;
