CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
af;;COUNTRY;Afghanistan;;
af29;af;REGION;Paktika;;
af1120863;af29;CITY;Zarghūn Shahr;;
af1120879;af29;CITY;Zaṟah Sharan;;
af1121644;af29;CITY;Mashōṟêy;;
af1135492;af29;CITY;Kōtsakah;;
af1126886;af29;CITY;Lānjī Khēl-e Wasaţī;;
af1349477;af29;CITY;Dādgul Mēnah;;
af1349621;af29;CITY;Rōzī Khān Kalā;;
af1433473;af29;CITY;Shamālī Nakām;;
af1433838;af29;CITY;Yakhēl;;
af1433994;af29;CITY;Pindzikhā Junūbī;;
af1434252;af29;CITY;Pek Kowt;;
af1435077;af29;CITY;Jabār;;
af1435214;af29;CITY;Māz̧ilā Faqīr;;
af1435216;af29;CITY;Mōryāṉī;;
af1437369;af29;CITY;Shang Pārah;;
af1120784;af29;CITY;Zawākah;;
af1121507;af29;CITY;Wurzhānah Kêlay;;
af1121567;af29;CITY;Wuchêm;;
af1122066;af29;CITY;Tōrmukh;;
af1125506;af29;CITY;Shatore;;
af1126179;af29;CITY;Shabās Kalā;;
af1126212;af29;CITY;Sayyid Khēl;;
af1126974;af29;CITY;Sar Ḩowẕah;;
af1122724;af29;CITY;Tarwē;;
af1123815;af29;CITY;Srah Maīdān;;
af1130624;af29;CITY;Pīr Kōṯī Kêlay;;
af1130955;af29;CITY;Baṯan;;
af1131327;af29;CITY;Pādshā Khān Kêlay;;
af1144842;af29;CITY;Chīnōkhō Kêlay;;
af1146000;af29;CITY;Tsaṟāwnah;;
af1139028;af29;CITY;Jōţōr Khūnah;;
af1140784;af29;CITY;Gul Kōṯ;;
af1132831;af29;CITY;Munārī;;
af1132953;af29;CITY;Mullā Bāgh Kêlay;;
af1133771;af29;CITY;Ma‘ārif Khēl;;
af1133930;af29;CITY;Mandzē;;
af1133955;af29;CITY;Mangṟitay;;
af1134064;af29;CITY;Mamêy;;
af1147412;af29;CITY;Bakhshī Kêlay;;
af1147772;af29;CITY;Bābū Khêl;;
af1149050;af29;CITY;‘Alāqahdārī-ye Sulţānī;;
af1149667;af29;CITY;‘Abbās Khēl Shamālī;;
af1142278;af29;CITY;Faqīrānō Kêlay;;
af1142304;af29;CITY;Ayz̲h̲ah;;
af1143001;af29;CITY;Dēwānah Akā Khūnē;;
af1143078;af29;CITY;Dīnār Khēl;;
af1143086;af29;CITY;Ḏīlah;;
af1143264;af29;CITY;Dê Mullā Samanḏar Şāḩib Kêlay;;
af1480924;af29;CITY;Z̧abtō Khān Kōr;;
af1480931;af29;CITY;Ḩājī ‘Abdul Ghanī Kōr;;
af1481010;af29;CITY;Shahīn Kêlay;;
af1481105;af29;CITY;Shah Khēl;;
af1481114;af29;CITY;Dê ‘Omar Khān Chambar;;
