CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
bs;;COUNTRY;Bahamas;;
bs25;bs;REGION;Freeport;;
bs3571971;bs25;CITY;Lucaya;;
bs3571680;bs25;CITY;Pinders Point;;
bs3571434;bs25;CITY;Smith Point;;
bs3571189;bs25;CITY;Williams Town;;
bs46;bs;REGION;North Abaco;;
bs3572601;bs46;CITY;Cooper’s Town;;
bs3572553;bs46;CITY;Crown Haven;;
bs3571170;bs46;CITY;Wood Cay;;
bs3571803;bs46;CITY;Normans Castle;;
bs3572669;bs46;CITY;Cedar Harbour;;
bs3571840;bs46;CITY;Mount Hope;;
bs3572270;bs46;CITY;Green Turtle Village;;
bs3572370;bs46;CITY;Freetown;;
bs3572378;bs46;CITY;Fox Town;;
bs3572406;bs46;CITY;Fire Road Village;;
bs3572592;bs46;CITY;Cornishtown;;
bs3572780;bs46;CITY;Blackwood Village;;
bs47;bs;REGION;North Andros;;
bs3572906;bs47;CITY;Andros Town;;
bs3571810;bs47;CITY;Nicholl’s Town;;
bs3571365;bs47;CITY;Staniard Creek;;
bs3571615;bs47;CITY;Red Bay Settlement;;
bs3571904;bs47;CITY;Mastic Point;;
bs3572631;bs47;CITY;Coakley Town;;
bs3571366;bs47;CITY;Stafford Creek;;
bs3571980;bs47;CITY;Lowe Sound;;
bs3572606;bs47;CITY;Conch Sound Settlement;;
bs3571280;bs47;CITY;Twin Lakes;;
bs3571467;bs47;CITY;Seminets;;
bs3571729;bs47;CITY;Owens Town;;
bs3571850;bs47;CITY;Morgan’s Bluff;;
bs3571865;bs47;CITY;Minns;;
bs3571867;bs47;CITY;Millers Hill;;
bs3571992;bs47;CITY;Love Hill;;
bs3830930;bs47;CITY;New Town;;
bs3572234;bs47;CITY;Hard Bargain;;
bs3572703;bs47;CITY;Calabash Bay;;
bs3572778;bs47;CITY;Blanket Sound;;
bs3572891;bs47;CITY;August Town;;
bs22;bs;REGION;Harbour Island;;
bs3572462;bs22;CITY;Dunmore Town;;
bs52;bs;REGION;South Eleuthera;;
bs3571230;bs52;CITY;Wemyss Bight;;
bs3571332;bs52;CITY;Tarpum Bay;;
bs3571242;bs52;CITY;Waterford;;
bs3572514;bs52;CITY;Deep Creek;;
bs3830951;bs52;CITY;Kemps Point;;
bs3830953;bs52;CITY;Davis Harbor;;
bs3572279;bs52;CITY;Green Castle;;
bs3572511;bs52;CITY;Delancey Town;;
bs48;bs;REGION;North Eleuthera;;
bs3571318;bs48;CITY;The Bluff;;
bs3572544;bs48;CITY;Current;;
bs3572925;bs48;CITY;Alice Town;;
bs3571275;bs48;CITY;Upper Bogue;;
bs3572135;bs48;CITY;James Cistern;;
bs3572541;bs48;CITY;Current Island Settlement;;
bs3571985;bs48;CITY;Lower Bogue;;
bs3572071;bs48;CITY;Little Bay Settlement;;
bs3572269;bs48;CITY;Gregory Town;;
bs41;bs;REGION;East Grand Bahama;;
bs3571338;bs41;CITY;Sweeting Cay;;
bs3571706;bs41;CITY;Pelican Point;;
bs3571886;bs41;CITY;McLeans Town;;
bs3572333;bs41;CITY;Golden Grove;;
bs3572840;bs41;CITY;Bevans Town;;
bs24;bs;REGION;Acklins;;
bs3571426;bs24;CITY;Snug Corner;;
bs3572507;bs24;CITY;Delectable Point;;
bs3572930;bs24;CITY;Albert Town;;
bs3571370;bs24;CITY;Spring Point;;
bs3571543;bs24;CITY;Salina Point;;
bs3572804;bs24;CITY;Binnacle Hill;;
bs3571292;bs24;CITY;True Blue;;
