CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
ga;;COUNTRY;Gabon;;
ga02;ga;REGION;Haut-Ogooué;;
ga2398269;ga02;CITY;Moanda;;
ga2399831;ga02;CITY;Lékoni;;
ga2396898;ga02;CITY;Okondja;;
ga2397978;ga02;CITY;Mounana;;
ga2402493;ga02;CITY;Akiéni;;
ga8260633;ga02;CITY;Bakoumba;;
ga2399720;ga02;CITY;Léwou;;
ga2399854;ga02;CITY;Lebba;;
ga2399103;ga02;CITY;Massengo I;;
ga2399305;ga02;CITY;Mallima;;
ga2399757;ga02;CITY;Lengori;;
ga2399801;ga02;CITY;Lékila;;
ga2399805;ga02;CITY;Lekeï I;;
ga2400098;ga02;CITY;Kellé I;;
ga2400174;ga02;CITY;Kabaga I;;
ga2400808;ga02;CITY;Ekoungou;;
ga2400842;ga02;CITY;Ekalla;;
ga2401502;ga02;CITY;Bongo-Badouma;;
ga2402312;ga02;CITY;Andjogo;;
ga2396238;ga02;CITY;Tébé I;;
ga2396638;ga02;CITY;Oyouma;;
ga2396774;ga02;CITY;Ossinga II;;
ga2396775;ga02;CITY;Ossiandjobo;;
ga2396867;ga02;CITY;Olounga;;
ga2396974;ga02;CITY;Obia II;;
ga2396988;ga02;CITY;Obégué I;;
ga2397335;ga02;CITY;Nkiga;;
ga2397783;ga02;CITY;Mvengué;;
ga2397864;ga02;CITY;Mouyabi;;
ga2398088;ga02;CITY;Mougouango II;;
ga2398192;ga02;CITY;Mopata;;
ga2398651;ga02;CITY;Messami II;;
ga2399751;ga02;CITY;Léniombi II;;
ga2399793;ga02;CITY;Lékolo;;
ga2400135;ga02;CITY;Kandouo;;
ga2401130;ga02;CITY;Djoakaye II;;
ga2401610;ga02;CITY;Bissassa;;
ga2401879;ga02;CITY;Bekemi;;
ga2396079;ga02;CITY;Wéllé;;
ga2396800;ga02;CITY;Opinda;;
ga2397476;ga02;CITY;Ngounda;;
ga2397537;ga02;CITY;Ngongo;;
ga2397831;ga02;CITY;Mpfoubi;;
ga2398402;ga02;CITY;Mingara;;
ga2399033;ga02;CITY;Mavouama;;
ga2399036;ga02;CITY;Mavindji-Posso;;
ga2399101;ga02;CITY;Massengo III;;
ga2399102;ga02;CITY;Massengo II;;
ga2399168;ga02;CITY;Manogo;;
ga2399185;ga02;CITY;Mangoungou;;
ga2399266;ga02;CITY;Mamidi;;
ga2399383;ga02;CITY;Makatamagoye;;
ga2399397;ga02;CITY;Makana;;
ga2399415;ga02;CITY;Maïla;;
ga2399443;ga02;CITY;Magnima;;
ga2399452;ga02;CITY;Magama;;
ga2399469;ga02;CITY;Madzaya;;
ga2399481;ga02;CITY;Madiba;;
ga2399502;ga02;CITY;Mabvounoungou;;
ga2399521;ga02;CITY;Mabinga;;
ga2399556;ga02;CITY;Maba;;
ga2399618;ga02;CITY;Longa;;
ga2399649;ga02;CITY;Liyami;;
ga2399721;ga02;CITY;Lewaï;;
ga2399731;ga02;CITY;Letoubou;;
ga2399741;ga02;CITY;Lepouya;;
ga2399746;ga02;CITY;Lépaka;;
ga2399749;ga02;CITY;Léoinga II;;
ga2399752;ga02;CITY;Léniombi I;;
ga2399754;ga02;CITY;Lengounga;;
ga2399758;ga02;CITY;Lendoundoungou;;
ga2399759;ga02;CITY;Lendoundoungou;;
ga2399760;ga02;CITY;Lendoundoungou;;
ga2399783;ga02;CITY;Lekoussaga;;
ga2399784;ga02;CITY;Lekoussaga;;
ga2399785;ga02;CITY;Lékoussaga;;
ga2399788;ga02;CITY;Lekoumba;;
ga2399790;ga02;CITY;Lékori;;
ga2399792;ga02;CITY;Lekori;;
ga2399794;ga02;CITY;Lékolo;;
ga2399803;ga02;CITY;Lekeï III;;
ga2399804;ga02;CITY;Lekeï II;;
ga2399812;ga02;CITY;Lekamba;;
ga2399813;ga02;CITY;Lekamba;;
ga2399817;ga02;CITY;Lekadouba;;
ga2399843;ga02;CITY;Lebiri;;
ga2399844;ga02;CITY;Lebingué;;
ga2399845;ga02;CITY;Lebinga I;;
ga2399851;ga02;CITY;Lebba III;;
ga2399852;ga02;CITY;Lebba II;;
ga2399855;ga02;CITY;Lebaye;;
