CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
mn;;COUNTRY;Mongolia;;
mn15;mn;REGION;Övörhangay;;
mn2030474;mn15;CITY;Hovd;;
mn2031407;mn15;CITY;Erdene-Dzuu;;
mn2029647;mn15;CITY;Undur-unts somon;;
mn2031839;mn15;CITY;Turugen-hairuhan;;
mn2032483;mn15;CITY;Bayanteeg;;
mn2029634;mn15;CITY;Ongiin Hiid;;
mn2029792;mn15;CITY;Noyon Hutagtayn Hiid;;
mn2029372;mn15;CITY;Shanh;;
mn2029454;mn15;CITY;Sayriin Hashaatayn Süme;;
mn2030933;mn15;CITY;Hardzatayn Dugang;;
mn2031232;mn15;CITY;Günnariyn;;
mn2030716;mn15;CITY;Khoborin yurt;;
mn2028546;mn15;CITY;Tümelteyn Süme;;
mn2028617;mn15;CITY;Tsegeenii Hüryee;;
mn2029931;mn15;CITY;Muhariin Hiid;;
mn2030279;mn15;CITY;Hüytenii Hiid;;
mn2030948;mn15;CITY;Hara Usanii Hiid;;
mn2030989;mn15;CITY;Haraganaiin Örtöö;;
mn2031520;mn15;CITY;Dzüün Iret Hiid;;
mn2031622;mn15;CITY;Dzeeren Hiid;;
mn2031775;mn15;CITY;Dugang Shaydaiin Hiid;;
mn2031911;mn15;CITY;Delgereh;;
mn2031981;mn15;CITY;Danchin Hüryee;;
mn2031997;mn15;CITY;Dalay Guunii Hiid;;
mn2032160;mn15;CITY;Burgaasatayn Hiid;;
mn2032415;mn15;CITY;Belen Hüryee Hiid;;
mn2032863;mn15;CITY;Argalintayn Örtöö;;
mn2030200;mn15;CITY;Irgaytayn Süme;;
mn2032632;mn15;CITY;Baruun Süme;;
mn2032651;mn15;CITY;Baruun Hural;;
mn2028291;mn15;CITY;Ushigiin Jisa;;
mn2029169;mn15;CITY;Subarga Hiid;;
mn2030178;mn15;CITY;Jargalant;;
mn2032519;mn15;CITY;Bayan Jisa;;
mn2032605;mn15;CITY;Bathaan;;
mn2032648;mn15;CITY;Baruun Iret Hiid;;
mn2028463;mn15;CITY;Ulaan-am;;
mn2028555;mn15;CITY;Tugsïn-Hushuu;;
mn2032650;mn15;CITY;Baruun-Hüree;;
mn6619055;mn15;CITY;Dölgöön;;
mn07;mn;REGION;East Gobi Aymag;;
mn2032338;mn07;CITY;Borhoyn Tal;;
mn2030228;mn07;CITY;Ihjargalan;;
mn2030539;mn07;CITY;Honichin Hural;;
mn2033045;mn07;CITY;Abarahaiin Hiid;;
mn2029782;mn07;CITY;Nüdengiin Hural;;
mn2030554;mn07;CITY;Hongor Suma;;
mn2031559;mn07;CITY;Te-tsu-pan;;
mn2030944;mn07;CITY;Har-Ayrag;;
mn2031899;mn07;CITY;Delgerhet;;
mn2032511;mn07;CITY;Bayan Mönhö Suma;;
mn2033011;mn07;CITY;Agaruut;;
mn2028197;mn07;CITY;Yihe Naratayn Hiid;;
mn2028842;mn07;CITY;Tsabchiriin Hural;;
mn2029064;mn07;CITY;Tabuy Modonii Hural;;
mn2029114;mn07;CITY;Süüji Hiid;;
mn2030125;mn07;CITY;Jisa Hural;;
mn2030564;mn07;CITY;Hongoriin Hoyolin Hural;;
mn2030875;mn07;CITY;Hashaatayn Hural;;
mn2031051;mn07;CITY;Hamariin Hural;;
mn2031462;mn07;CITY;Elesenii Tsagaan Oboo Hural;;
mn2031661;mn07;CITY;Dzalaata;;
mn2031858;mn07;CITY;Deresenii Usanii Hiid;;
mn2031996;mn07;CITY;Dalayn Hiid;;
mn2032086;mn07;CITY;Buyan Suma;;
mn2032127;mn07;CITY;Büriden Süme;;
mn2032213;mn07;CITY;Bulangiin Hural;;
mn2032217;mn07;CITY;Bulang;;
mn2032462;mn07;CITY;Bayan Tsogto Suma;;
mn2032835;mn07;CITY;Arshaantayn Hüryee;;
mn2028279;mn07;CITY;Uula Hiid;;
mn2028647;mn07;CITY;Tsatsaiin Hural;;
mn2028681;mn07;CITY;Tsagaan Usanii Hural;;
mn2028781;mn07;CITY;Tsagaan Geriin Hural;;
mn2028818;mn07;CITY;Tsagaan Chuluutayn Hiid;;
mn2028834;mn07;CITY;Tsagaan Bulagiin Hural;;
mn2028891;mn07;CITY;Toliin Dzoo Hiid;;
