CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
tz;;COUNTRY;Tanzania;;
tz09;tz;REGION;Mbeya;;
tz158151;tz09;CITY;Katumba;;
tz149239;tz09;CITY;Ulenje;;
tz149437;tz09;CITY;Tukuyu;;
tz150453;tz09;CITY;Rujewa;;
tz156111;tz09;CITY;Kyela;;
tz156627;tz09;CITY;Kiwira;;
tz158422;tz09;CITY;Kandete;;
tz159107;tz09;CITY;Ipinda;;
tz159380;tz09;CITY;Igurusi;;
tz154666;tz09;CITY;Masoko;;
tz149028;tz09;CITY;Uyole;;
tz149253;tz09;CITY;Ulanga;;
tz150230;tz09;CITY;Santilya;;
tz150455;tz09;CITY;Ruiwa;;
tz152183;tz09;CITY;Mwaya;;
tz152237;tz09;CITY;Mwansanga;;
tz153105;tz09;CITY;Mpuguso;;
tz154493;tz09;CITY;Mawindi;;
tz154656;tz09;CITY;Masukulu;;
tz155433;tz09;CITY;Madibira;;
tz155559;tz09;CITY;Lusungo;;
tz155590;tz09;CITY;Lupata;;
tz156104;tz09;CITY;Kyimo;;
tz158657;tz09;CITY;Kabula;;
tz159136;tz09;CITY;Inyala;;
tz159253;tz09;CITY;Ikuti;;
tz159302;tz09;CITY;Ikolo;;
tz159320;tz09;CITY;Ikama;;
tz154197;tz09;CITY;Mdabulo;;
tz154471;tz09;CITY;Mazimba;;
tz155125;tz09;CITY;Makongolosi;;
tz155625;tz09;CITY;Lumbira;;
tz156391;tz09;CITY;Kungutas;;
tz158402;tz09;CITY;Kanjumjumere;;
tz158867;tz09;CITY;Itungi Port;;
tz159104;tz09;CITY;Ipogoro;;
tz160141;tz09;CITY;Dunda;;
tz160464;tz09;CITY;Chimala;;
tz149072;tz09;CITY;Utengule;;
tz149232;tz09;CITY;Ulomba;;
tz149771;tz09;CITY;Songwe;;
tz150084;tz09;CITY;Seso;;
tz150109;tz09;CITY;Sengambia;;
tz151462;tz09;CITY;Nkanga;;
tz151471;tz09;CITY;Njugilo;;
tz151583;tz09;CITY;Ngululiro;;
tz151597;tz09;CITY;Nguilo;;
tz151852;tz09;CITY;Ndara;;
tz154345;tz09;CITY;Mbogo;;
tz154551;tz09;CITY;Matundasi;;
tz154681;tz09;CITY;Masimba;;
tz154802;tz09;CITY;Mapishimingu;;
tz155029;tz09;CITY;Maleza;;
tz155593;tz09;CITY;Lupa Market;;
tz159031;tz09;CITY;Isangate;;
tz159039;tz09;CITY;Isambwa;;
tz159103;tz09;CITY;Ipogoro;;
tz159121;tz09;CITY;Ipanya;;
tz159184;tz09;CITY;Ilongwa;;
tz159196;tz09;CITY;Ilomba;;
tz159206;tz09;CITY;Ilogolo;;
tz159219;tz09;CITY;Ilembo;;
tz159358;tz09;CITY;Ihangi;;
tz159746;tz09;CITY;Gundu;;
tz160974;tz09;CITY;Bujonde;;
tz148786;tz09;CITY;Yala;;
tz148949;tz09;CITY;Vungwa;;
tz149024;tz09;CITY;Uyulo;;
tz149030;tz09;CITY;Uyaule;;
tz149059;tz09;CITY;Utuya;;
tz149061;tz09;CITY;Uturo;;
tz149068;tz09;CITY;Utiego;;
tz149073;tz09;CITY;Utengule;;
tz149082;tz09;CITY;Utambalila;;
tz149106;tz09;CITY;Usule;;
tz149158;tz09;CITY;Urunda;;
tz149259;tz09;CITY;Ukwawila;;
tz149262;tz09;CITY;Ukwaheri;;
tz149308;tz09;CITY;Ujola;;
tz149524;tz09;CITY;Thangu;;
tz149706;tz09;CITY;Suma;;
tz149772;tz09;CITY;Songwe;;
