CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
kg;;COUNTRY;Кыргызстан;;
kg07;kg;REGION;Иссык-Кульская Область;;
kg1527004;kg07;CITY;Балыкчи;;
kg1527173;kg07;CITY;Торуайгыр;;
kg1527571;kg07;CITY;Ново-Бознесеновка;;
kg1527828;kg07;CITY;Зеленый Гай;;
kg1527853;kg07;CITY;Конгурлёнг;;
kg1527881;kg07;CITY;Совхоз Кёк-Мойнак;;
kg1528241;kg07;CITY;Каджи-Сай;;
kg1528291;kg07;CITY;Чырпыкты;;
kg1528384;kg07;CITY;Жетыогуз;;
kg1528468;kg07;CITY;Дархан;;
kg1528646;kg07;CITY;Бозтери;;
kg1540848;kg07;CITY;Кёк-Мойнок Второе;;
kg1539149;kg07;CITY;Ходжаяр;;
kg1527088;kg07;CITY;Шор-Булак;;
kg1527170;kg07;CITY;Тоссор;;
kg1527175;kg07;CITY;Тёрт-Куль;;
kg1527188;kg07;CITY;Совхоз Тонг;;
kg1527193;kg07;CITY;Токтоян;;
kg1527205;kg07;CITY;Чонтогузбай;;
kg1527233;kg07;CITY;Тепке;;
kg1527237;kg07;CITY;Темировка;;
kg1527239;kg07;CITY;Темирканат;;
kg1527274;kg07;CITY;Tamchy;;
kg1527314;kg07;CITY;Светлая Поляна;;
kg1527384;kg07;CITY;Шаты;;
kg1527410;kg07;CITY;Семёновка;;
kg1527430;kg07;CITY;Сарытёбё;;
kg1527466;kg07;CITY;Сары;;
kg1527475;kg07;CITY;Совхоз Санташ;;
kg1527494;kg07;CITY;Пристань Пржевальск;;
kg1527516;kg07;CITY;Ойтал;;
kg1527524;kg07;CITY;Отузул;;
kg1527537;kg07;CITY;Орто-Токой;;
kg1527552;kg07;CITY;Орлиное;;
kg1527575;kg07;CITY;Константиновка;;
kg1527681;kg07;CITY;Луговое;;
kg1527682;kg07;CITY;Липенка;;
kg1527727;kg07;CITY;Kyzyldzhildyz;;
kg1527760;kg07;CITY;Кутурга;;
kg1527771;kg07;CITY;Курменты;;
kg1527776;kg07;CITY;Курбу;;
kg1527835;kg07;CITY;Кошкуль;;
kg1527842;kg07;CITY;Корумды;;
kg1527914;kg07;CITY;Комсомольское;;
kg1527929;kg07;CITY;Кичи-Урюкты;;
kg1527937;kg07;CITY;Кичи-Джаргылчак;;
kg1527980;kg07;CITY;Коктюбе;;
kg1528063;kg07;CITY;Каралтюбе;;
kg1528125;kg07;CITY;Кара-Кёль;;
kg1528131;kg07;CITY;Кара-Тоо;;
kg1528201;kg07;CITY;Жаркынбаево;;
kg1528282;kg07;CITY;Ырдык;;
